start,end,day,t0_min,t1_min,activity
2010-11-04 00:03:50,2010-11-04 05:40:43,0,3.84,340.73,Sleeping
2010-11-04 05:40:51,2010-11-04 05:43:30,0,340.86,343.5,Bed_to_Toilet
2010-11-04 05:43:45,2010-11-04 08:01:12,0,343.76,481.2,Sleeping
2010-11-04 08:11:09,2010-11-04 08:27:02,0,491.17,507.05,Meal_Preparation
2010-11-04 08:33:52,2010-11-04 08:35:45,0,513.88,515.76,Meal_Preparation
2010-11-04 09:29:23,2010-11-04 09:34:05,0,569.39,574.1,Relax
2010-11-04 09:34:16,2010-11-04 09:44:40,0,574.28,584.67,Housekeeping
2010-11-04 09:48:52,2010-11-04 09:53:02,0,588.87,593.05,Meal_Preparation
2010-11-04 09:54:58,2010-11-04 09:56:27,0,594.98,596.46,Meal_Preparation
2010-11-04 09:56:41,2010-11-04 09:59:04,0,596.7,599.07,Eating
2010-11-04 09:59:47,2010-11-04 10:02:48,0,599.8,602.82,Eating
2010-11-04 10:03:21,2010-11-04 10:04:25,0,603.37,604.43,Wash_Dishes
2010-11-04 11:29:08,2010-11-04 11:33:48,0,689.14,693.81,Housekeeping
2010-11-04 11:41:34,2010-11-04 11:41:43,0,701.57,701.72,Leave_Home
2010-11-04 11:43:30,2010-11-04 11:43:34,0,703.5,703.58,Enter_Home
2010-11-04 11:43:53,2010-11-04 11:43:58,0,703.9,703.97,Leave_Home
2010-11-04 11:47:48,2010-11-04 11:47:52,0,707.8,707.88,Enter_Home
2010-11-04 14:46:25,2010-11-04 15:13:24,0,886.43,913.41,Relax
2010-11-04 15:23:00,2010-11-04 15:25:33,0,923.0,925.56,Meal_Preparation
2010-11-04 15:25:35,2010-11-04 15:28:42,0,925.59,928.71,Eating
2010-11-04 15:47:48,2010-11-04 16:10:33,0,947.8,970.56,Work
2010-11-04 16:15:57,2010-11-04 16:21:58,0,975.96,981.97,Relax
2010-11-04 16:21:59,2010-11-04 16:31:26,0,982.0,991.45,Meal_Preparation
2010-11-04 16:32:53,2010-11-04 16:34:13,0,992.89,994.23,Meal_Preparation
2010-11-04 16:36:10,2010-11-04 17:06:00,0,996.17,1026.01,Meal_Preparation
2010-11-04 17:06:21,2010-11-04 17:27:12,0,1026.36,1047.2,Relax
2010-11-04 17:27:13,2010-11-04 17:27:55,0,1047.23,1047.92,Meal_Preparation
2010-11-04 17:28:26,2010-11-04 17:33:54,0,1048.45,1053.91,Relax
2010-11-04 17:35:16,2010-11-04 17:37:11,0,1055.27,1057.19,Eating
2010-11-04 17:37:24,2010-11-04 17:55:20,0,1057.41,1075.34,Wash_Dishes
2010-11-04 17:55:24,2010-11-04 17:57:47,0,1075.42,1077.79,Work
2010-11-05 00:00:11,2010-11-05 04:18:05,1,1440.19,1698.09,Sleeping
2010-11-05 04:18:09,2010-11-05 04:20:50,1,1698.16,1700.84,Bed_to_Toilet
2010-11-05 04:21:04,2010-11-05 07:48:11,1,1701.07,1908.19,Sleeping
2010-11-05 07:54:57,2010-11-05 07:58:23,1,1914.97,1918.39,Meal_Preparation
2010-11-05 07:58:49,2010-11-05 08:00:59,1,1918.82,1921.0,Work
2010-11-05 08:22:17,2010-11-05 08:35:20,1,1942.29,1955.34,Work
2010-11-05 08:35:50,2010-11-05 08:57:18,1,1955.84,1977.31,Work
2010-11-05 09:04:06,2010-11-05 09:05:14,1,1984.1,1985.25,Work
2010-11-05 09:26:22,2010-11-05 09:30:15,1,2006.37,2010.26,Work
2010-11-05 09:35:08,2010-11-05 09:37:03,1,2015.15,2017.06,Relax
2010-11-05 09:42:01,2010-11-05 11:12:02,1,2022.03,2112.04,Housekeeping
2010-11-05 11:14:14,2010-11-05 11:14:43,1,2114.25,2114.72,Leave_Home
2010-11-05 12:48:12,2010-11-05 12:48:16,1,2208.21,2208.28,Enter_Home
2010-11-05 12:59:38,2010-11-05 13:00:23,1,2219.63,2220.4,Leave_Home
2010-11-05 13:00:33,2010-11-05 13:01:23,1,2220.56,2221.38,Enter_Home
2010-11-05 13:25:15,2010-11-05 13:25:20,1,2245.26,2245.33,Leave_Home
2010-11-05 13:25:30,2010-11-05 13:25:35,1,2245.51,2245.59,Enter_Home
2010-11-05 13:27:35,2010-11-05 13:30:09,1,2247.59,2250.15,Work
2010-11-05 13:38:02,2010-11-05 13:45:53,1,2258.05,2265.9,Relax
2010-11-05 13:49:02,2010-11-05 13:49:08,1,2269.04,2269.15,Leave_Home
2010-11-05 15:50:59,2010-11-05 15:51:04,1,2390.99,2391.07,Enter_Home
2010-11-05 16:00:09,2010-11-05 16:00:14,1,2400.17,2400.24,Leave_Home
2010-11-05 16:19:06,2010-11-05 16:19:10,1,2419.12,2419.18,Enter_Home
2010-11-05 16:19:38,2010-11-05 16:20:04,1,2419.64,2420.08,Meal_Preparation
2010-11-05 16:21:25,2010-11-05 16:25:35,1,2421.43,2425.59,Meal_Preparation
2010-11-05 16:25:44,2010-11-05 16:29:13,1,2425.73,2429.23,Eating
2010-11-05 16:29:30,2010-11-05 16:30:21,1,2429.51,2430.35,Wash_Dishes
2010-11-05 16:30:40,2010-11-05 16:30:45,1,2430.68,2430.76,Leave_Home
2010-11-05 16:30:56,2010-11-05 16:31:00,1,2430.93,2431.0,Enter_Home
2010-11-05 22:20:33,2010-11-05 22:38:23,1,2780.57,2798.4,Work
2010-11-05 22:48:22,2010-11-06 04:23:40,1,2808.38,3143.67,Sleeping
2010-11-06 04:23:50,2010-11-06 04:27:00,2,3143.84,3147.0,Bed_to_Toilet
2010-11-06 04:27:34,2010-11-06 08:57:49,2,3147.58,3417.83,Sleeping
2010-11-06 09:09:44,2010-11-06 09:19:14,2,3429.74,3439.25,Meal_Preparation
2010-11-06 09:21:10,2010-11-06 09:28:18,2,3441.18,3448.31,Meal_Preparation
2010-11-06 09:28:19,2010-11-06 09:37:40,2,3448.33,3457.68,Eating
2010-11-06 09:38:24,2010-11-06 09:41:18,2,3458.41,3461.31,Wash_Dishes
2010-11-06 10:28:15,2010-11-06 10:30:39,2,3508.26,3510.66,Work
2010-11-06 10:36:44,2010-11-06 11:11:04,2,3516.75,3551.08,Housekeeping
2010-11-06 11:11:08,2010-11-06 11:25:23,2,3551.14,3565.39,Relax
2010-11-06 11:25:43,2010-11-06 11:48:21,2,3565.72,3588.36,Housekeeping
2010-11-06 11:55:15,2010-11-06 11:56:11,2,3595.26,3596.19,Meal_Preparation
2010-11-06 11:58:12,2010-11-06 12:02:08,2,3598.2,3602.14,Meal_Preparation
2010-11-06 12:02:29,2010-11-06 12:09:53,2,3602.49,3609.9,Eating
2010-11-06 12:09:59,2010-11-06 12:11:57,2,3610.0,3611.96,Wash_Dishes
2010-11-06 12:35:50,2010-11-06 12:49:00,2,3635.84,3649.0,Eating
2010-11-06 13:01:51,2010-11-06 13:01:56,2,3661.86,3661.93,Leave_Home
2010-11-06 16:59:10,2010-11-06 16:59:22,2,3899.18,3899.37,Enter_Home
2010-11-06 17:05:28,2010-11-06 17:05:32,2,3905.47,3905.55,Leave_Home
