t,stamp,mug_1,mug_2,plate_1,plate_2,bowl_1,glasses_1,book_1,remote_1,blanket_1,notebook_1,pen_1,medication_bottle_1,keys_1,wallet_1,jacket_1
0,d00 Thu 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
60,d00 Thu 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
120,d00 Thu 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
180,d00 Thu 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
240,d00 Thu 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
300,d00 Thu 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
360,d00 Thu 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
420,d00 Thu 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
480,d00 Thu 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
540,d00 Thu 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
600,d00 Thu 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
660,d00 Thu 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
720,d00 Thu 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
780,d00 Thu 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
840,d00 Thu 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
900,d00 Thu 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
960,d00 Thu 16:00,living,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
1020,d00 Thu 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1080,d00 Thu 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1140,d00 Thu 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1200,d00 Thu 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1260,d00 Thu 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1320,d00 Thu 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1380,d00 Thu 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1440,d01 Fri 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1500,d01 Fri 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1560,d01 Fri 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1620,d01 Fri 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1680,d01 Fri 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1740,d01 Fri 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1800,d01 Fri 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1860,d01 Fri 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
1920,d01 Fri 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
1980,d01 Fri 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
2040,d01 Fri 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2100,d01 Fri 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2160,d01 Fri 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
2220,d01 Fri 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2280,d01 Fri 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
2340,d01 Fri 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
2400,d01 Fri 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2460,d01 Fri 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2520,d01 Fri 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2580,d01 Fri 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2640,d01 Fri 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2700,d01 Fri 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
2760,d01 Fri 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
