start,end,day,t0_min,t1_min,activity
2009-06-10 03:20:59,2009-06-10 03:25:24,0,200.98,205.4,Night_Wandering
2009-06-10 03:45:16,2009-06-10 03:49:29,0,225.27,229.48,Bed_to_Toilet
2009-06-10 03:54:23,2009-06-10 03:58:45,0,234.38,238.75,Night_Wandering
2009-06-10 05:46:00,2009-06-10 05:51:39,0,346.0,351.65,R1_Wake
2009-06-10 05:59:10,2009-06-10 06:18:30,0,359.17,378.5,R2_Wake
2009-06-10 06:19:50,2009-06-10 06:21:23,0,379.83,381.38,R2_Take_Medicine
2009-06-10 06:27:30,2009-06-10 07:03:16,0,387.5,423.27,Breakfast
2009-06-10 08:27:37,2009-06-10 08:27:49,0,507.62,507.82,Leave_Home
2009-06-10 11:26:28,2009-06-10 11:26:48,0,686.47,686.8,Leave_Home
2009-06-10 12:22:58,2009-06-10 13:01:53,0,742.97,781.88,Lunch
2009-06-10 18:02:56,2009-06-10 18:50:15,0,1082.93,1130.25,Dinner
2009-06-10 19:53:32,2009-06-10 20:07:26,0,1193.53,1207.43,R2_Sleep
2009-06-10 20:54:09,2009-06-10 21:21:20,0,1254.15,1281.33,R1_Sleep
2009-06-11 03:46:49,2009-06-11 03:48:54,1,1666.82,1668.9,Bed_to_Toilet
2009-06-11 03:48:55,2009-06-11 03:53:27,1,1668.92,1673.45,Night_Wandering
2009-06-11 05:29:15,2009-06-11 05:46:06,1,1769.25,1786.1,R1_Wake
2009-06-11 06:38:07,2009-06-11 06:52:53,1,1838.12,1852.88,R2_Wake
2009-06-11 06:53:23,2009-06-11 06:54:26,1,1853.38,1854.43,R2_Take_Medicine
2009-06-11 06:55:44,2009-06-11 07:34:32,1,1855.73,1894.53,Breakfast
2009-06-11 10:40:22,2009-06-11 10:40:39,1,2080.37,2080.65,Leave_Home
2009-06-11 12:21:50,2009-06-11 12:53:11,1,2181.83,2213.18,Lunch
2009-06-11 19:16:30,2009-06-11 20:12:12,1,2596.5,2652.2,Dinner
2009-06-11 21:07:54,2009-06-11 21:09:14,1,2707.9,2709.23,R2_Sleep
2009-06-11 21:52:34,2009-06-11 22:12:27,1,2752.57,2772.45,R1_Sleep
2009-06-12 00:48:20,2009-06-12 00:58:20,2,2928.33,2938.33,Bed_to_Toilet
2009-06-12 03:46:22,2009-06-12 03:49:40,2,3106.37,3109.67,Night_Wandering
2009-06-12 06:00:22,2009-06-12 06:04:55,2,3240.37,3244.92,R1_Wake
2009-06-12 06:36:20,2009-06-12 06:56:42,2,3276.33,3296.7,R1_Work
2009-06-12 06:56:54,2009-06-12 07:19:32,2,3296.9,3319.53,R2_Wake
2009-06-12 07:21:02,2009-06-12 07:23:51,2,3321.03,3323.85,R2_Take_Medicine
2009-06-12 07:24:10,2009-06-12 07:40:11,2,3324.17,3340.18,Breakfast
2009-06-12 08:03:16,2009-06-12 08:03:37,2,3363.27,3363.62,Leave_Home
2009-06-12 17:57:34,2009-06-12 18:29:15,2,3957.57,3989.25,Dinner
2009-06-12 20:00:26,2009-06-12 20:18:13,2,4080.43,4098.22,R2_Sleep
2009-06-12 21:30:27,2009-06-12 21:48:20,2,4170.45,4188.33,R1_Sleep
2009-06-13 03:59:07,2009-06-13 04:08:13,3,4559.12,4568.22,Night_Wandering
2009-06-13 06:30:56,2009-06-13 06:32:56,3,4710.93,4712.93,R1_Wake
2009-06-13 07:05:05,2009-06-13 07:24:21,3,4745.08,4764.35,R2_Wake
2009-06-13 07:26:17,2009-06-13 07:27:08,3,4766.28,4767.13,R2_Take_Medicine
2009-06-13 07:44:17,2009-06-13 07:44:36,3,4784.28,4784.6,Leave_Home
