start,end,day,t0_min,t1_min,activity
2009-10-16 00:08:50,2009-10-16 03:55:50,0,8.83,235.83,Sleep
2009-10-16 03:55:53,2009-10-16 03:58:28,0,235.88,238.47,Bed_to_Toilet
2009-10-16 03:58:44,2009-10-16 08:40:01,0,238.73,520.02,Sleep
2009-10-16 08:42:01,2009-10-16 08:42:56,0,522.02,522.93,Morning_Meds
2009-10-16 08:43:59,2009-10-16 08:44:29,0,523.98,524.48,Watch_TV
2009-10-16 08:45:38,2009-10-16 08:58:52,0,525.63,538.87,Kitchen_Activity
2009-10-16 08:59:02,2009-10-16 09:14:47,0,539.03,554.78,Chores
2009-10-16 09:16:01,2009-10-16 09:16:33,0,556.02,556.55,Leave_Home
2009-10-16 09:18:00,2009-10-16 10:01:38,0,558.0,601.63,Read
2009-10-16 10:01:50,2009-10-16 10:04:14,0,601.83,604.23,Chores
2009-10-16 10:07:19,2009-10-16 10:38:15,0,607.32,638.25,Read
2009-10-16 10:50:21,2009-10-16 11:01:22,0,650.35,661.37,Chores
2009-10-16 11:01:25,2009-10-16 11:03:50,0,661.42,663.83,Guest_Bathroom
2009-10-16 11:14:19,2009-10-16 11:27:54,0,674.32,687.9,Master_Bathroom
2009-10-16 12:32:50,2009-10-16 14:43:42,0,752.83,883.7,Leave_Home
2009-10-16 14:43:56,2009-10-16 15:52:25,0,883.93,952.42,Kitchen_Activity
2009-10-16 14:49:54,2009-10-16 14:50:01,0,889.9,890.02,Leave_Home
2009-10-16 15:52:43,2009-10-16 17:10:48,0,952.72,1030.8,Watch_TV
2009-10-16 17:11:41,2009-10-16 17:22:30,0,1031.68,1042.5,Desk_Activity
2009-10-16 17:23:41,2009-10-16 17:24:54,0,1043.68,1044.9,Master_Bathroom
2009-10-16 17:35:34,2009-10-16 18:30:14,0,1055.57,1110.23,Watch_TV
2009-10-16 18:30:24,2009-10-16 18:50:37,0,1110.4,1130.62,Kitchen_Activity
2009-10-16 18:50:58,2009-10-16 18:51:44,0,1130.97,1131.73,Leave_Home
2009-10-16 18:52:14,2009-10-16 18:56:22,0,1132.23,1136.37,Desk_Activity
2009-10-16 18:56:26,2009-10-16 20:36:09,0,1136.43,1236.15,Watch_TV
2009-10-16 20:36:20,2009-10-16 20:36:31,0,1236.33,1236.52,Eve_Meds
2009-10-16 20:39:14,2009-10-16 20:40:16,0,1239.23,1240.27,Guest_Bathroom
2009-10-16 20:40:23,2009-10-16 20:40:53,0,1240.38,1240.88,Kitchen_Activity
2009-10-16 20:41:12,2009-10-16 20:54:29,0,1241.2,1254.48,Master_Bathroom
2009-10-16 21:03:28,2009-10-16 21:29:11,0,1263.47,1289.18,Sleep
2009-10-16 21:29:11,2009-10-16 21:31:00,0,1289.18,1291.0,Bed_to_Toilet
2009-10-16 22:20:15,2009-10-16 22:21:22,0,1340.25,1341.37,Bed_to_Toilet
2009-10-16 22:21:23,2009-10-17 09:14:11,0,1341.38,1994.18,Sleep
2009-10-17 09:17:51,2009-10-17 09:18:13,1,1997.85,1998.22,Morning_Meds
2009-10-17 09:20:47,2009-10-17 09:21:33,1,2000.78,2001.55,Leave_Home
2009-10-17 09:29:48,2009-10-17 10:35:36,1,2009.8,2075.6,Read
2009-10-17 10:35:50,2009-10-17 12:06:33,1,2075.83,2166.55,Kitchen_Activity
2009-10-17 11:04:41,2009-10-17 12:08:33,1,2104.68,2168.55,Chores
2009-10-17 12:08:44,2009-10-17 12:46:35,1,2168.73,2206.58,Read
2009-10-17 12:48:01,2009-10-17 13:41:06,1,2208.02,2261.1,Chores
2009-10-17 12:49:21,2009-10-17 12:50:24,1,2209.35,2210.4,Guest_Bathroom
2009-10-17 12:50:33,2009-10-17 13:21:16,1,2210.55,2241.27,Kitchen_Activity
