start,end,day,t0_min,t1_min,activity
2009-09-25 13:06:01,2009-09-25 15:13:10,0,786.02,913.17,R1_Sleeping_in_Bed
2009-09-25 15:13:45,2009-09-25 15:14:21,0,913.75,914.35,Personal_Hygiene
2009-09-25 15:38:58,2009-09-25 15:40:58,0,938.97,940.97,Bathing
2009-09-25 15:41:03,2009-09-25 15:41:29,0,941.05,941.48,Personal_Hygiene
2009-09-25 16:15:46,2009-09-25 16:21:44,0,975.77,981.73,Personal_Hygiene
2009-09-25 16:48:50,2009-09-25 16:52:32,0,1008.83,1012.53,Personal_Hygiene
2009-09-25 16:52:57,2009-09-25 17:05:28,0,1012.95,1025.47,Bathing
2009-09-25 17:21:32,2009-09-25 17:21:49,0,1041.53,1041.82,Leave_Home
2009-09-25 18:34:54,2009-09-25 18:34:56,0,1114.9,1114.93,Enter_Home
2009-09-25 18:35:06,2009-09-25 18:35:21,0,1115.1,1115.35,Meal_Preparation
2009-09-25 18:35:08,2009-09-25 18:35:27,0,1115.13,1115.45,Watch_TV
2009-09-25 18:35:44,2009-09-25 18:36:24,0,1115.73,1116.4,Personal_Hygiene
2009-09-25 18:37:48,2009-09-25 19:02:17,0,1117.8,1142.28,Meal_Preparation
2009-09-25 18:37:50,2009-09-25 18:38:12,0,1117.83,1118.2,Personal_Hygiene
2009-09-25 18:40:03,2009-09-25 18:43:43,0,1120.05,1123.72,Watch_TV
2009-09-25 18:44:58,2009-09-25 18:45:39,0,1124.97,1125.65,Watch_TV
2009-09-25 18:53:31,2009-09-25 18:55:02,0,1133.52,1135.03,Watch_TV
2009-09-25 19:00:09,2009-09-25 19:00:23,0,1140.15,1140.38,Watch_TV
2009-09-25 19:01:00,2009-09-25 19:02:14,0,1141.0,1142.23,Watch_TV
2009-09-25 19:02:35,2009-09-25 19:07:23,0,1142.58,1147.38,Watch_TV
2009-09-25 19:09:27,2009-09-25 19:10:31,0,1149.45,1150.52,Watch_TV
2009-09-25 19:11:44,2009-09-25 19:12:32,0,1151.73,1152.53,Watch_TV
2009-09-25 19:13:56,2009-09-25 19:40:15,0,1153.93,1180.25,Meal_Preparation
2009-09-25 19:27:32,2009-09-25 19:28:35,0,1167.53,1168.58,Watch_TV
2009-09-25 19:32:27,2009-09-25 19:37:41,0,1172.45,1177.68,Watch_TV
2009-09-25 19:38:49,2009-09-25 19:39:46,0,1178.82,1179.77,Watch_TV
2009-09-25 19:40:42,2009-09-25 19:45:17,0,1180.7,1185.28,Watch_TV
2009-09-25 19:46:11,2009-09-25 20:02:59,0,1186.18,1202.98,Meal_Preparation
2009-09-25 19:47:23,2009-09-25 19:47:31,0,1187.38,1187.52,Watch_TV
2009-09-25 19:52:31,2009-09-25 20:00:24,0,1192.52,1200.4,Watch_TV
2009-09-25 20:03:09,2009-09-25 20:49:29,0,1203.15,1249.48,Eating
2009-09-25 20:49:45,2009-09-25 21:54:18,0,1249.75,1314.3,Eating
2009-09-25 21:54:42,2009-09-25 21:55:10,0,1314.7,1315.17,Personal_Hygiene
2009-09-25 21:56:48,2009-09-25 22:04:07,0,1316.8,1324.12,Watch_TV
2009-09-25 22:09:22,2009-09-25 22:24:25,0,1329.37,1344.42,Watch_TV
2009-09-25 23:30:46,2009-09-25 23:30:59,0,1410.77,1410.98,Watch_TV
2009-09-25 23:35:20,2009-09-26 06:59:04,0,1415.33,1859.07,R1_Sleeping_in_Bed
2009-09-25 23:47:50,2009-09-25 23:48:31,0,1427.83,1428.52,Personal_Hygiene
2009-09-25 23:49:37,2009-09-25 23:50:46,0,1429.62,1430.77,Personal_Hygiene
2009-09-26 00:48:28,2009-09-26 00:49:46,1,1488.47,1489.77,Bed_Toilet_Transition
2009-09-26 01:06:28,2009-09-26 01:17:21,1,1506.47,1517.35,Watch_TV
2009-09-26 01:20:05,2009-09-26 07:30:46,1,1520.08,1890.77,R2_Sleeping_in_Bed
2009-09-26 03:08:10,2009-09-26 03:08:55,1,1628.17,1628.92,Bed_Toilet_Transition
2009-09-26 03:50:45,2009-09-26 03:51:30,1,1670.75,1671.5,Bed_Toilet_Transition
2009-09-26 04:57:10,2009-09-26 04:57:46,1,1737.17,1737.77,Bed_Toilet_Transition
2009-09-26 05:07:31,2009-09-26 05:08:28,1,1747.52,1748.47,Bed_Toilet_Transition
2009-09-26 07:01:01,2009-09-26 07:02:22,1,1861.02,1862.37,Bed_Toilet_Transition
2009-09-26 07:02:40,2009-09-26 07:23:18,1,1862.67,1883.3,R1_Sleeping_in_Bed
2009-09-26 07:31:40,2009-09-26 07:43:28,1,1891.67,1903.47,Personal_Hygiene
2009-09-26 08:19:44,2009-09-26 08:20:20,1,1939.73,1940.33,Bed_Toilet_Transition
2009-09-26 08:26:21,2009-09-26 08:39:36,1,1946.35,1959.6,Meal_Preparation
2009-09-26 08:40:04,2009-09-26 08:53:19,1,1960.07,1973.32,Eating
2009-09-26 08:54:23,2009-09-26 08:54:45,1,1974.38,1974.75,Leave_Home
2009-09-26 09:16:58,2009-09-26 12:05:43,1,1996.97,2165.72,R1_Sleeping_in_Bed
2009-09-26 12:13:06,2009-09-26 12:13:12,1,2173.1,2173.2,Enter_Home
2009-09-26 12:26:39,2009-09-26 13:13:13,1,2186.65,2233.22,R1_Sleeping_in_Bed
2009-09-26 13:18:35,2009-09-26 13:21:26,1,2238.58,2241.43,Meal_Preparation
2009-09-26 13:21:46,2009-09-26 13:28:05,1,2241.77,2248.08,Eating
2009-09-26 13:34:14,2009-09-26 13:44:04,1,2254.23,2264.07,Watch_TV
2009-09-26 13:44:51,2009-09-26 13:45:24,1,2264.85,2265.4,Personal_Hygiene
2009-09-26 13:48:57,2009-09-26 13:49:24,1,2268.95,2269.4,Work_Table
2009-09-26 14:19:32,2009-09-26 14:19:49,1,2299.53,2299.82,Personal_Hygiene
2009-09-26 14:28:25,2009-09-26 14:37:01,1,2308.42,2317.02,Leave_Home
2009-09-26 14:45:06,2009-09-26 14:54:34,1,2325.1,2334.57,Bathing
2009-09-26 15:08:30,2009-09-26 16:00:32,1,2348.5,2400.53,Work_Bedroom_2
2009-09-26 16:01:50,2009-09-26 16:02:20,1,2401.83,2402.33,Personal_Hygiene
2009-09-26 16:11:11,2009-09-26 16:11:25,1,2411.18,2411.42,Leave_Home
2009-09-26 18:28:42,2009-09-26 18:28:51,1,2548.7,2548.85,Enter_Home
2009-09-26 18:30:02,2009-09-26 19:00:45,1,2550.03,2580.75,Meal_Preparation
2009-09-26 19:11:52,2009-09-26 19:13:30,1,2591.87,2593.5,Personal_Hygiene
2009-09-26 19:13:51,2009-09-26 19:26:53,1,2593.85,2606.88,Eating
2009-09-26 19:28:57,2009-09-26 19:29:26,1,2608.95,2609.43,Leave_Home
2009-09-26 20:47:55,2009-09-26 20:47:57,1,2687.92,2687.95,Enter_Home
2009-09-26 20:48:38,2009-09-26 22:13:37,1,2688.63,2773.62,Work_Table
2009-09-26 20:58:18,2009-09-26 20:58:53,1,2698.3,2698.88,Watch_TV
2009-09-26 21:05:08,2009-09-26 21:06:02,1,2705.13,2706.03,Watch_TV
2009-09-26 22:14:31,2009-09-26 22:15:02,1,2774.52,2775.03,Personal_Hygiene
2009-09-26 22:15:16,2009-09-26 23:04:54,1,2775.27,2824.9,Work_Table
2009-09-27 00:26:28,2009-09-27 10:43:33,2,2906.47,3523.55,R2_Sleeping_in_Bed
2009-09-27 00:57:35,2009-09-27 00:59:36,2,2937.58,2939.6,Bed_Toilet_Transition
2009-09-27 01:14:26,2009-09-27 01:15:28,2,2954.43,2955.47,Bed_Toilet_Transition
