island_id,area_m2,n_verts,centroid_x,centroid_z,y_min,y_max,indoor_fraction,rooms,anchors
1,994.82,1236,9.04,-3.56,0.20,0.80,0.69,bathroom;bedroom;dining_room;kitchen;laundry_room;living_room;office;outdoor,bedroom.bed;bedroom.nightstand;dining.table;dining.table_pulled_out;dining.table_tucked;kitchen.cabinet;kitchen.counter;kitchen.counter_pulled_out;kitchen.counter_tucked;living_room.shelf;office.desk;office.shelf
0,45.32,42,4.17,-14.70,3.20,3.40,0.00,,
10,15.75,45,8.16,5.38,2.60,2.60,0.80,,
2,9.33,51,9.33,-7.46,0.20,0.80,1.00,,living_room.corner;living_room.open_floor;living_room.sofa;living_room.window_sill
4,7.59,9,1.51,-7.06,3.40,3.40,0.00,,
12,6.53,6,8.18,9.77,3.40,3.40,0.00,,
7,4.25,15,7.94,-0.94,3.60,4.00,0.00,,
3,2.73,21,-2.19,-6.01,0.80,0.80,0.00,,
8,1.72,6,7.73,-2.56,0.60,0.60,1.00,,
5,1.63,15,7.29,-6.58,1.20,1.20,1.00,,
11,1.26,6,13.43,6.54,2.60,2.60,1.00,,
9,1.09,18,13.54,-0.46,2.60,2.60,1.00,,
6,1.04,6,16.76,-6.51,1.00,1.00,1.00,,
