milestone,fingerprint,scene,eval_folder,policy,wait_hours,label,category,hazard_class,question_type,correct,abstained,confidence,brier,answer_latency_s,distance_traveled_m,policy_invocations
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,book_1,book,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,bowl_1,bowl,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,candle_1,candle,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,potted_plant_1,potted_plant,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.25,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,book_1,book,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,bowl_1,bowl,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,candle_1,candle,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,potted_plant_1,potted_plant,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,0.5,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,book_1,book,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,bowl_1,bowl,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,candle_1,candle,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,potted_plant_1,potted_plant,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,1.0,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,book_1,book,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,bowl_1,bowl,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,candle_1,candle,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,potted_plant_1,potted_plant,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,2.0,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,book_1,book,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,bowl_1,bowl,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,candle_1,candle,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,cup_1,cup,volatile,location,False,False,1.0,0.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,potted_plant_1,potted_plant,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,answer_immediately,4.0,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,book_1,book,volatile,location,True,False,1.0,1.0,12.317315532696327,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,bowl_1,bowl,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,candle_1,candle,volatile,location,True,False,1.0,1.0,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,potted_plant_1,potted_plant,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.25,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,book_1,book,volatile,location,True,False,1.0,1.0,12.317315532696327,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,bowl_1,bowl,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,candle_1,candle,volatile,location,True,False,1.0,1.0,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,keys_1,keys,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,phone_1,phone,stable,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,potted_plant_1,potted_plant,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,stool_1,stool,volatile,location,,True,,0.5,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,0.5,vase_1,vase,stable,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,book_1,book,volatile,location,,True,,0.5,12.317315532696327,11.08618588727453,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,bowl_1,bowl,volatile,location,True,False,1.0,1.0,0.0,0.0,1
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,candle_1,candle,volatile,location,,True,,0.5,27.668647447801575,26.36738262461586,2
e0,25e52eee014c3c72,102343992,102343992_family_with_kids_day4,always_resense,1.0,cup_1,cup,volatile,location,True,False,1.0,1.0,0.0,0.0,1
