policy,hazard_class,baseline_abstained_abstain,right_to_abstain,right_to_wrong,unchanged_right,unchanged_wrong,wrong_to_abstain,wrong_to_right
always_resense,stable,10,0,0,10,0,0,0
always_resense,volatile,13,0,0,11,3,0,3
confidence_stop,stable,10,0,0,10,0,0,0
confidence_stop,volatile,13,0,0,11,6,0,0
decay_threshold,stable,10,0,0,10,0,0,0
decay_threshold,volatile,13,0,0,11,5,0,1
decay_voi,stable,10,0,0,10,0,0,0
decay_voi,volatile,13,0,0,11,3,0,3
decay_voi_routing,stable,10,0,0,10,0,0,0
decay_voi_routing,volatile,13,0,0,11,3,0,3
tod_prior,stable,10,0,0,5,0,0,0
tod_prior,volatile,13,4,2,5,2,1,3
