t,stamp,bowl_1,bowl_2,plate_1,mug_1,mug_2,phone_marisol,charger_1,keys_marisol,wallet_marisol,water_bottle_1,book_1,headphones_1,medication_bottle_1,blanket_1,jacket_marisol,remote_1,umbrella_1
0,d00 Mon 00:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
60,d00 Mon 01:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
120,d00 Mon 02:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
180,d00 Mon 03:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
240,d00 Mon 04:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
300,d00 Mon 05:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
360,d00 Mon 06:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
420,d00 Mon 07:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
480,d00 Mon 08:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
540,d00 Mon 09:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
600,d00 Mon 10:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
660,d00 Mon 11:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
720,d00 Mon 12:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
780,d00 Mon 13:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
840,d00 Mon 14:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
