t,stamp,mug_1,mug_2,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,water_bottle_2,remote_1,charger_1,charger_2,glasses_1,glasses_2,notebook_1,pen_1,medication_bottle_1,medication_bottle_2,jacket_1,jacket_2,wallet_1,wallet_2
0,d00 Mon 00:00,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
60,d00 Mon 01:00,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
120,d00 Mon 02:00,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
180,d00 Mon 03:00,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
240,d00 Mon 04:00,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
300,d00 Mon 05:00,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
360,d00 Mon 06:00,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
420,d00 Mon 07:00,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
480,d00 Mon 08:00,kitchen,kitchen,living,living,bedroom_2,entry,entry,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
540,d00 Mon 09:00,kitchen,kitchen,living,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
600,d00 Mon 10:00,kitchen,kitchen,living,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
660,d00 Mon 11:00,kitchen,kitchen,living,living,entry,living,entry,living,kitchen,living,entry,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
720,d00 Mon 12:00,kitchen,kitchen,living,living,entry,living,entry,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
780,d00 Mon 13:00,kitchen,kitchen,living,living,entry,living,kitchen,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
840,d00 Mon 14:00,kitchen,kitchen,bedroom_2,living,entry,living,bedroom_2,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2
900,d00 Mon 15:00,kitchen,kitchen,bedroom_2,living,bedroom_2,living,bedroom_2,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2
960,d00 Mon 16:00,kitchen,kitchen,living,living,bedroom_2,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
1020,d00 Mon 17:00,kitchen,kitchen,living,living,bedroom_2,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
1080,d00 Mon 18:00,kitchen,kitchen,living,living,bedroom_2,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
1140,d00 Mon 19:00,kitchen,kitchen,living,living,bedroom_2,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
1200,d00 Mon 20:00,kitchen,kitchen,living,living,bedroom_2,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
1260,d00 Mon 21:00,kitchen,kitchen,living,living,bedroom_2,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
1320,d00 Mon 22:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1380,d00 Mon 23:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1440,d01 Tue 00:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1500,d01 Tue 01:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1560,d01 Tue 02:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1620,d01 Tue 03:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1680,d01 Tue 04:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1740,d01 Tue 05:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1800,d01 Tue 06:00,kitchen,kitchen,living,living,bedroom_2,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
1860,d01 Tue 07:00,kitchen,kitchen,living,living,bedroom_2,entry,entry,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
1920,d01 Tue 08:00,kitchen,kitchen,living,living,bedroom_2,entry,entry,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
1980,d01 Tue 09:00,kitchen,kitchen,living,living,bedroom_2,living,kitchen,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
2040,d01 Tue 10:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,entry,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
2100,d01 Tue 11:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
2160,d01 Tue 12:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
2220,d01 Tue 13:00,kitchen,kitchen,living,living,entry,entry,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
2280,d01 Tue 14:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_2
2340,d01 Tue 15:00,kitchen,kitchen,bedroom_2,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_2
2400,d01 Tue 16:00,kitchen,kitchen,living,living,entry,entry,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
2460,d01 Tue 17:00,kitchen,kitchen,living,living,entry,entry,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
2520,d01 Tue 18:00,kitchen,kitchen,living,living,entry,entry,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
2580,d01 Tue 19:00,kitchen,kitchen,living,living,entry,entry,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
2640,d01 Tue 20:00,kitchen,kitchen,living,living,entry,entry,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
2700,d01 Tue 21:00,kitchen,kitchen,living,living,entry,entry,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
2760,d01 Tue 22:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
