t,stamp,mug_1,mug_2,bowl_1,bowl_2,plate_1,plate_2,laptop_1,laptop_2,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,water_bottle_2,backpack_1,backpack_2,jacket_1,jacket_2,charger_1,charger_2,notebook_1,pen_1,medication_bottle_1,toy_1,toy_2,blanket_1,blanket_2,dog_leash_1,towel_1,towel_2,wallet_1,wallet_2,umbrella_1,remote_1,headphones_1,lunchbox_1,lunchbox_2,gaming_controller_1
0,d00 Mon 00:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
60,d00 Mon 01:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
120,d00 Mon 02:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
180,d00 Mon 03:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
240,d00 Mon 04:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
300,d00 Mon 05:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
360,d00 Mon 06:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
420,d00 Mon 07:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
480,d00 Mon 08:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
540,d00 Mon 09:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
