t,stamp,laptop_arthur,phone_arthur,keys_arthur,glasses_arthur,water_bottle_arthur,tablet_elena,phone_elena,keys_elena,makeup_kit_elena,notebook_elena,pen_elena,toy_leo,blanket_leo,water_bottle_leo,plate_shared,bowl_shared,mug_arthur,mug_elena,remote_shared,laundry_basket_shared
0,d00 Mon 00:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
60,d00 Mon 01:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
120,d00 Mon 02:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
180,d00 Mon 03:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
240,d00 Mon 04:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
300,d00 Mon 05:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
360,d00 Mon 06:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
420,d00 Mon 07:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
480,d00 Mon 08:00,desk_b1,bookshelf_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,desk_b1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,kitchen_table_k1,couch_l1,coffee_table_l1,entry_floor_e1
540,d00 Mon 09:00,desk_b1,bookshelf_l1,bookshelf_l1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,desk_b1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,kitchen_table_k1,couch_l1,coffee_table_l1,entry_floor_e1
600,d00 Mon 10:00,desk_b1,bookshelf_l1,bookshelf_l1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,desk_b1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,kitchen_table_k1,couch_l1,coffee_table_l1,entry_floor_e1
660,d00 Mon 11:00,desk_b1,bookshelf_l1,bookshelf_l1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,desk_b1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,kitchen_table_k1,couch_l1,coffee_table_l1,entry_floor_e1
720,d00 Mon 12:00,desk_b1,bookshelf_l1,bookshelf_l1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,desk_b1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,kitchen_table_k1,couch_l1,coffee_table_l1,entry_floor_e1
780,d00 Mon 13:00,desk_b1,bookshelf_l1,entry_table_e1,kitchen_table_k1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,couch_l1,couch_l1,couch_l1,couch_l1,sink_k1,sink_k1,couch_l1,couch_l1,couch_l1,entry_floor_e1
840,d00 Mon 14:00,couch_l1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,entry_floor_e1
