t,stamp,mug_arthur,mug_martha,mug_shared_1,phone_arthur,phone_martha,keys_arthur,keys_martha,wallet_arthur,wallet_martha,glasses_arthur,glasses_martha,book_arthur_1,book_martha_1,notebook_arthur,notebook_martha,water_bottle_arthur,water_bottle_martha,remote_shared,laptop_martha,watering_can_shared,jacket_martha,blanket_shared,pen_arthur,vacuum_cleaner_shared
0,d00 Mon 00:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
60,d00 Mon 01:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
120,d00 Mon 02:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
180,d00 Mon 03:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
240,d00 Mon 04:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
300,d00 Mon 05:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
360,d00 Mon 06:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
420,d00 Mon 07:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
480,d00 Mon 08:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen
540,d00 Mon 09:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
600,d00 Mon 10:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,living,living,living,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,living,entry
660,d00 Mon 11:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
720,d00 Mon 12:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
780,d00 Mon 13:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
840,d00 Mon 14:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,outside,entry,outside,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
900,d00 Mon 15:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
960,d00 Mon 16:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
1020,d00 Mon 17:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
1080,d00 Mon 18:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
1140,d00 Mon 19:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
1200,d00 Mon 20:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
1260,d00 Mon 21:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
1320,d00 Mon 22:00,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,bathroom
1380,d00 Mon 23:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
