t,stamp,phone_maya,keys_maya,wallet_maya,backpack_maya,laptop_maya,charger_maya,mug_maya,water_bottle_maya,lunchbox_maya,book_maya,notebook_maya,pen_maya,jacket_maya,phone_elliot,keys_elliot,wallet_elliot,backpack_elliot,laptop_elliot,charger_elliot,mug_elliot,headphones_elliot,lunchbox_elliot,jacket_elliot,glasses_elliot,plate_1,plate_2,bowl_1,bowl_2,pot_1,pan_1,remote_1,blanket_1,laundry_basket_1,vacuum_cleaner_1,watering_can_1,towel_1
0,d00 Mon 00:00,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
60,d00 Mon 01:00,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
120,d00 Mon 02:00,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
180,d00 Mon 03:00,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
240,d00 Mon 04:00,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
300,d00 Mon 05:00,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
360,d00 Mon 06:00,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
420,d00 Mon 07:00,bathroom,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_1,entry,kitchen,bathroom
480,d00 Mon 08:00,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,kitchen,bathroom
540,d00 Mon 09:00,outside,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,kitchen,bathroom
600,d00 Mon 10:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
660,d00 Mon 11:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
720,d00 Mon 12:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
780,d00 Mon 13:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
840,d00 Mon 14:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
900,d00 Mon 15:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
960,d00 Mon 16:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
1020,d00 Mon 17:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,entry,kitchen,bathroom
1080,d00 Mon 18:00,entry,entry,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,bathroom
1140,d00 Mon 19:00,entry,entry,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1200,d00 Mon 20:00,entry,entry,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1260,d00 Mon 21:00,entry,entry,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1320,d00 Mon 22:00,entry,entry,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1380,d00 Mon 23:00,entry,entry,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1440,d01 Tue 00:00,entry,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1500,d01 Tue 01:00,entry,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1560,d01 Tue 02:00,entry,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1620,d01 Tue 03:00,entry,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1680,d01 Tue 04:00,entry,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1740,d01 Tue 05:00,entry,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1800,d01 Tue 06:00,entry,entry,bedroom_1,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1860,d01 Tue 07:00,bathroom,entry,bathroom,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,entry,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
1920,d01 Tue 08:00,kitchen,entry,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen
1980,d01 Tue 09:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
2040,d01 Tue 10:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
2100,d01 Tue 11:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
2160,d01 Tue 12:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
2220,d01 Tue 13:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
2280,d01 Tue 14:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
2340,d01 Tue 15:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
2400,d01 Tue 16:00,outside,outside,outside,outside,bedroom_1,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,bathroom
