t,stamp,phone_nadia,keys_nadia,wallet_nadia,laptop_nadia,water_bottle_nadia,lunchbox_nadia,book_nadia,notebook_nadia,mug_nadia,glasses_nadia,phone_evan,keys_evan,wallet_evan,backpack_evan,laptop_evan,notebook_evan,pen_evan,jacket_evan,mug_evan,phone_leila,keys_leila,wallet_leila,backpack_leila,laptop_leila,headphones_leila,charger_leila,water_bottle_leila,makeup_kit_leila,hairbrush_leila,yoga_mat_leila,phone_mateo,keys_mateo,backpack_mateo,water_bottle_mateo,lunchbox_mateo,notebook_mateo,pen_mateo,toy_mateo,blanket_mateo,tablet_1,remote_1,charger_1,plate_1,plate_2,plate_3,plate_4,bowl_1,bowl_2,pot_1,pan_1,laundry_basket_1,towel_1,vacuum_cleaner_1
0,d00 Mon 00:00,entry_table_e1,entry_table_e1,entry_table_e1,desk_b1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,cupboard_k1,nightstand_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,chair_k1,chair_k1,entry_hook_e1,cupboard_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,bedroom_floor_b3,entry_floor_e1,counter_k1,counter_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
60,d00 Mon 01:00,entry_table_e1,entry_table_e1,entry_table_e1,desk_b1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,cupboard_k1,nightstand_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,chair_k1,chair_k1,entry_hook_e1,cupboard_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,bedroom_floor_b3,entry_floor_e1,counter_k1,counter_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
120,d00 Mon 02:00,entry_table_e1,entry_table_e1,entry_table_e1,desk_b1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,cupboard_k1,nightstand_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,chair_k1,chair_k1,entry_hook_e1,cupboard_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,bedroom_floor_b3,entry_floor_e1,counter_k1,counter_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
180,d00 Mon 03:00,entry_table_e1,entry_table_e1,entry_table_e1,desk_b1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,cupboard_k1,nightstand_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,chair_k1,chair_k1,entry_hook_e1,cupboard_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,bedroom_floor_b3,entry_floor_e1,counter_k1,counter_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
240,d00 Mon 04:00,entry_table_e1,entry_table_e1,entry_table_e1,desk_b1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,cupboard_k1,nightstand_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,chair_k1,chair_k1,entry_hook_e1,cupboard_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,bedroom_floor_b3,entry_floor_e1,counter_k1,counter_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
300,d00 Mon 05:00,entry_table_e1,entry_table_e1,entry_table_e1,desk_b1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,cupboard_k1,nightstand_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,chair_k1,chair_k1,entry_hook_e1,cupboard_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,bedroom_floor_b3,entry_floor_e1,counter_k1,counter_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
360,d00 Mon 06:00,entry_table_e1,entry_table_e1,entry_table_e1,desk_b1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,cupboard_k1,nightstand_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,chair_k1,chair_k1,entry_hook_e1,cupboard_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,bedroom_floor_b3,entry_floor_e1,counter_k1,counter_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
420,d00 Mon 07:00,person:resident_1,entry_table_e1,entry_table_e1,desk_b1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,counter_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,counter_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,bathroom_shelf_ba1,dish_rack_k1,bedroom_floor_b2,counter_k1,bedroom_floor_b3,entry_floor_e1,counter_k1,counter_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
480,d00 Mon 08:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,nightstand_b2,desk_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
540,d00 Mon 09:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,desk_b2,nightstand_b2,person:resident_3,desk_b2,desk_b2,person:resident_3,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
600,d00 Mon 10:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,desk_b2,nightstand_b2,person:resident_3,desk_b2,desk_b2,person:resident_3,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
660,d00 Mon 11:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,desk_b2,nightstand_b2,person:resident_3,desk_b2,desk_b2,person:resident_3,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
720,d00 Mon 12:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,desk_b2,nightstand_b2,person:resident_3,desk_b2,desk_b2,person:resident_3,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
780,d00 Mon 13:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,desk_b2,nightstand_b2,person:resident_3,desk_b2,desk_b2,person:resident_3,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
840,d00 Mon 14:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,desk_b2,nightstand_b2,person:resident_3,desk_b2,desk_b2,person:resident_3,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
900,d00 Mon 15:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,desk_b2,nightstand_b2,person:resident_3,desk_b2,desk_b2,person:resident_3,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,sink_k1,cupboard_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
960,d00 Mon 16:00,chair_k1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,nightstand_b1,person:resident_1,sink_k1,chair_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,cupboard_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,kitchen_table_k1,kitchen_table_k1,sink_k1,desk_b3,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,nightstand_b2,sink_k1,cupboard_k1,sink_k1,sink_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1
1020,d00 Mon 17:00,entry_table_e1,entry_table_e1,entry_table_e1,kitchen_table_k1,dish_rack_k1,sink_k1,nightstand_b1,counter_k1,sink_k1,chair_k1,person:resident_2,kitchen_table_k1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,nightstand_b2,desk_b2,sink_k1,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,kitchen_table_k1,kitchen_table_k1,sink_k1,desk_b3,kitchen_table_k1,couch_l1,sink_k1,counter_k1,sink_k1,sink_k1,sink_k1,nightstand_b2,kitchen_table_k1,cupboard_k1,sink_k1,sink_k1,counter_k1,cupboard_k1,sink_k1,towel_rack_ba1,sink_k1
