t,stamp,phone_dana,keys_dana,wallet_dana,lunchbox_dana,mug_dana,notebook_dana,pen_dana,book_dana,glasses_dana,jacket_dana,blanket_1,phone_maya,keys_maya,wallet_maya,laptop_maya,backpack_maya,mug_maya,headphones_maya,notebook_maya,makeup_kit_maya,hairbrush_maya,phone_eli,keys_eli,wallet_eli,backpack_eli,water_bottle_eli,lunchbox_eli,jacket_eli,gaming_controller_eli,headphones_eli,charger_1,remote_1,plate_1,plate_2,plate_3,bowl_1,bowl_2,pot_1,pan_1,laundry_basket_1,vacuum_cleaner_1,towel_1,towel_2
0,d00 Mon 00:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
60,d00 Mon 01:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
120,d00 Mon 02:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
180,d00 Mon 03:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
240,d00 Mon 04:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
300,d00 Mon 05:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
360,d00 Mon 06:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
420,d00 Mon 07:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,entry,bedroom_3,entry,entry,kitchen,entry,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
480,d00 Mon 08:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
540,d00 Mon 09:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
600,d00 Mon 10:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
660,d00 Mon 11:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
720,d00 Mon 12:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
780,d00 Mon 13:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,kitchen
840,d00 Mon 14:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,kitchen
900,d00 Mon 15:00,outside,outside,kitchen,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,kitchen
960,d00 Mon 16:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bathroom,kitchen
