belief,policy,age_bin,n,truth_out,fired_old,correct_old,fired_over_truth_old,fired_new,correct_new,fired_over_truth_new
LastObservation,NeverSense,0-6h,11079,562,0,0,0.0,0,0,0.0
LastObservation,NeverSense,6-24h,23713,3158,264,103,0.084,1,1,0.0
LastObservation,NeverSense,24-72h,8441,1929,3234,879,1.677,7,3,0.004
LastObservation,NeverSense,72h+,1767,546,897,288,1.643,0,0,0.0
LastObservation,NeverSense,all,45000,6195,4395,1270,0.709,8,4,0.001
LastObservation,SequentialSearch,0-6h,11079,562,44,39,0.078,14,10,0.025
LastObservation,SequentialSearch,6-24h,23713,3158,1279,511,0.405,104,64,0.033
LastObservation,SequentialSearch,24-72h,8441,1929,3081,825,1.597,67,38,0.035
LastObservation,SequentialSearch,72h+,1767,546,780,220,1.429,12,6,0.022
LastObservation,SequentialSearch,all,45000,6195,5184,1595,0.837,197,118,0.032
MostFrequentLocation(hl=24h),NeverSense,0-6h,11079,562,0,0,0.0,0,0,0.0
MostFrequentLocation(hl=24h),NeverSense,6-24h,23713,3158,257,99,0.081,0,0,0.0
MostFrequentLocation(hl=24h),NeverSense,24-72h,8441,1929,3268,886,1.694,3,3,0.002
MostFrequentLocation(hl=24h),NeverSense,72h+,1767,546,914,285,1.674,0,0,0.0
MostFrequentLocation(hl=24h),NeverSense,all,45000,6195,4439,1270,0.717,3,3,0.0
MostFrequentLocation(hl=24h),SequentialSearch,0-6h,11079,562,40,36,0.071,16,14,0.028
MostFrequentLocation(hl=24h),SequentialSearch,6-24h,23713,3158,1203,482,0.381,84,64,0.027
MostFrequentLocation(hl=24h),SequentialSearch,24-72h,8441,1929,2947,813,1.528,59,41,0.031
MostFrequentLocation(hl=24h),SequentialSearch,72h+,1767,546,773,225,1.416,11,8,0.02
MostFrequentLocation(hl=24h),SequentialSearch,all,45000,6195,4963,1556,0.801,170,127,0.027
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,0-6h,11079,562,41,3,0.073,0,0,0.0
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,6-24h,23713,3158,608,131,0.193,0,0,0.0
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,24-72h,8441,1929,3338,910,1.73,3,1,0.002
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,72h+,1767,546,872,257,1.597,0,0,0.0
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,all,45000,6195,4859,1301,0.784,3,1,0.0
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,0-6h,11079,562,74,39,0.132,16,9,0.028
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,6-24h,23713,3158,1551,493,0.491,92,51,0.029
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,24-72h,8441,1929,2887,783,1.497,57,29,0.03
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,72h+,1767,546,738,203,1.352,9,6,0.016
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,all,45000,6195,5250,1518,0.847,174,95,0.028
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,0-6h,11079,562,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,6-24h,23713,3158,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,24-72h,8441,1929,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,72h+,1767,546,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,all,45000,6195,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,0-6h,11079,562,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,6-24h,23713,3158,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,24-72h,8441,1929,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,72h+,1767,546,0,0,0.0,0,0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,all,45000,6195,0,0,0.0,0,0,0.0
