household,object_id,object_class,n_questions,moves_per_day,displaced_share
hh_001,backpack_mara,backpack,65,3.1071,0.4768
hh_001,blanket_mara,blanket,66,0.0,0.0
hh_001,book_mara,book,69,2.5714,0.5888
hh_001,bowl_shared_1,bowl,62,0.6429,0.1568
hh_001,bowl_shared_2,bowl,65,1.0714,0.4871
hh_001,charger_mara,charger,64,2.3929,0.5019
hh_001,glasses_mara,glasses,64,1.1786,0.7055
hh_001,hairbrush_mara,hairbrush,61,0.7143,0.2099
hh_001,headphones_mara,headphones,63,2.5357,0.5891
hh_001,jacket_mara,jacket,67,2.5,0.3874
hh_001,keys_mara,keys,67,2.5,0.43
hh_001,laptop_mara,laptop,62,2.3571,0.4622
hh_001,laundry_basket_mara,laundry_basket,65,2.2143,0.3151
hh_001,lunchbox_mara,lunchbox,68,2.5,0.5753
hh_001,makeup_kit_mara,makeup_kit,59,2.6071,0.3385
hh_001,medication_bottle_mara,medication_bottle,65,0.75,0.2506
hh_001,mug_mara,mug,64,3.2143,0.6736
hh_001,mug_shared_1,mug,63,0.1071,0.0832
hh_001,notebook_mara,notebook,65,2.7143,0.6002
hh_001,pan_shared_1,pan,68,2.5714,0.6369
hh_001,pen_mara,pen,66,1.75,0.5375
hh_001,phone_mara,phone,60,3.1071,0.6696
hh_001,plate_shared_1,plate,61,1.8929,0.5307
hh_001,plate_shared_2,plate,68,1.8571,0.5572
hh_001,pot_shared_1,pot,67,0.7857,0.4974
hh_001,remote_shared_1,remote,61,0.7857,0.6781
hh_001,suitcase_mara,suitcase,59,2.2143,0.2828
hh_001,tablet_mara,tablet,66,2.3929,0.5854
hh_001,towel_mara,towel,66,2.25,0.3621
hh_001,umbrella_mara,umbrella,63,2.6071,0.395
hh_001,vacuum_cleaner_shared_1,vacuum_cleaner,62,0.1429,0.4717
hh_001,wallet_mara,wallet,62,2.5357,0.5203
hh_001,water_bottle_mara,water_bottle,67,2.9643,0.7172
hh_001,watering_can_mara,watering_can,67,0.0714,0.2255
hh_001,yoga_mat_mara,yoga_mat,63,2.25,0.6423
hh_002,backpack_leo,backpack,35,2.5357,0.4179
hh_002,backpack_marco,backpack,39,2.25,0.4795
hh_002,backpack_priya,backpack,35,1.75,0.3624
hh_002,backpack_sofia,backpack,38,2.1786,0.4858
hh_002,blanket_elena,blanket,36,1.7857,0.2895
hh_002,blanket_leo,blanket,39,4.0,0.5076
hh_002,book_elena,book,37,2.9286,0.5115
hh_002,bowl_shared_1,bowl,41,7.5,0.5592
hh_002,charger_shared_1,charger,38,2.9286,0.3283
hh_002,gaming_controller_shared_1,gaming_controller,37,1.1071,0.4394
hh_002,gaming_controller_sofia,gaming_controller,38,0.3929,0.4554
hh_002,glasses_elena,glasses,41,2.25,0.227
hh_002,hairbrush_priya,hairbrush,36,1.6071,0.5508
hh_002,headphones_sofia,headphones,34,0.4286,0.7603
hh_002,jacket_leo,jacket,37,2.5,0.6135
hh_002,jacket_marco,jacket,34,1.9286,0.5699
hh_002,jacket_priya,jacket,34,1.8214,0.4387
hh_002,jacket_sofia,jacket,41,2.0714,0.4952
hh_002,keys_elena,keys,38,2.0357,0.162
hh_002,keys_leo,keys,35,2.2857,0.5732
hh_002,keys_marco,keys,42,2.1786,0.5214
hh_002,keys_priya,keys,41,1.75,0.3284
hh_002,keys_sofia,keys,41,2.1071,0.4665
hh_002,laptop_marco,laptop,35,2.1071,0.3691
hh_002,laptop_sofia,laptop,38,2.0714,0.3082
hh_002,laundry_basket_shared_1,laundry_basket,34,0.3571,0.4302
hh_002,lunchbox_leo,lunchbox,41,2.3929,0.6512
hh_002,lunchbox_marco,lunchbox,35,2.8214,0.6836
hh_002,lunchbox_priya,lunchbox,42,3.0,0.6391
hh_002,makeup_kit_priya,makeup_kit,36,13.0357,0.5261
hh_002,medication_bottle_elena_1,medication_bottle,38,1.4286,0.3369
hh_002,mug_elena,mug,39,13.9286,0.466
hh_002,notebook_elena,notebook,41,2.0357,0.1085
hh_002,notebook_leo,notebook,40,2.5,0.5061
hh_002,notebook_priya,notebook,38,0.8214,0.6788
hh_002,notebook_sofia,notebook,38,2.3571,0.4567
hh_002,pan_shared_1,pan,35,4.2857,0.4693
hh_002,pen_leo,pen,34,2.7857,0.5764
hh_002,pen_sofia,pen,35,4.7143,0.6045
hh_002,phone_elena,phone,41,2.4643,0.3548
hh_002,phone_leo,phone,38,2.8214,0.5815
hh_002,phone_marco,phone,40,2.8214,0.6148
hh_002,phone_priya,phone,39,2.1071,0.5963
hh_002,phone_sofia,phone,42,3.7857,0.7003
hh_002,plate_shared_1,plate,36,3.7143,0.3227
hh_002,pot_shared_1,pot,37,0.3929,0.4782
hh_002,remote_shared_1,remote,36,2.25,0.6278
hh_002,suitcase_shared_1,suitcase,35,1.4286,0.1952
hh_002,tablet_leo,tablet,39,3.3929,0.735
hh_002,toy_leo_1,toy,34,0.6071,0.4759
hh_002,umbrella_shared_1,umbrella,38,0.1429,0.4928
hh_002,vacuum_cleaner_shared_1,vacuum_cleaner,37,0.0,0.0
hh_002,wallet_elena,wallet,36,2.0714,0.2212
hh_002,wallet_marco,wallet,37,1.9643,0.5697
hh_002,wallet_priya,wallet,37,1.9643,0.6457
hh_002,water_bottle_leo,water_bottle,33,2.4286,0.5047
hh_002,water_bottle_marco,water_bottle,36,1.8929,0.5409
hh_002,water_bottle_priya,water_bottle,36,1.9286,0.4005
hh_002,water_bottle_sofia,water_bottle,37,2.1786,0.3907
hh_002,watering_can_elena,watering_can,40,1.3571,0.0291
hh_003,backpack_nico,backpack,50,3.9643,0.4524
hh_003,backpack_talia,backpack,50,1.8929,0.2602
hh_003,blanket_talia,blanket,50,1.9286,0.2916
hh_003,book_marisol,book,50,2.0714,0.2857
hh_003,bowl_shared_1,bowl,50,5.6786,0.506
hh_003,charger_marisol,charger,50,0.0,0.0
hh_003,charger_nico,charger,50,3.9643,0.4478
hh_003,dog_leash_shared_1,dog_leash,50,0.8571,0.581
hh_003,gaming_controller_shared_1,gaming_controller,50,1.1429,0.5863
hh_003,glasses_marisol,glasses,50,3.4286,0.2399
hh_003,hairbrush_marisol,hairbrush,50,4.3571,0.1024
hh_003,headphones_nico,headphones,50,1.0357,0.4657
hh_003,headphones_talia,headphones,50,0.6429,0.6655
hh_003,jacket_marisol,jacket,50,2.4286,0.3193
hh_003,jacket_nico,jacket,50,4.1429,0.5595
hh_003,keys_marisol,keys,50,2.6071,0.3899
hh_003,keys_nico,keys,50,4.0714,0.5104
hh_003,keys_talia,keys,50,2.1071,0.4909
hh_003,laptop_talia,laptop,50,2.5357,0.3653
hh_003,laundry_basket_shared_1,laundry_basket,50,0.75,0.4296
hh_003,lunchbox_nico,lunchbox,50,4.0,0.3575
hh_003,lunchbox_talia,lunchbox,50,2.0357,0.4437
hh_003,medication_bottle_marisol,medication_bottle,50,0.2143,0.1028
hh_003,mug_marisol,mug,50,1.5,0.257
hh_003,mug_talia,mug,50,2.1429,0.105
hh_003,notebook_marisol,notebook,50,0.6786,0.3596
hh_003,notebook_talia,notebook,50,0.3214,0.2242
hh_003,pan_shared_1,pan,50,1.3571,0.4792
hh_003,pen_marisol,pen,50,0.3929,0.2996
hh_003,pen_talia,pen,50,0.7143,0.6267
hh_003,phone_marisol,phone,50,3.3929,0.6118
hh_003,phone_nico,phone,50,3.8571,0.3617
hh_003,phone_talia,phone,50,3.3929,0.5464
hh_003,plate_shared_1,plate,50,3.1071,0.582
hh_003,pot_shared_1,pot,50,0.0714,0.1053
hh_003,remote_shared_1,remote,50,0.6429,0.5909
hh_003,towel_marisol,towel,50,1.4286,0.1514
hh_003,umbrella_shared_1,umbrella,50,1.4643,0.5762
hh_003,vacuum_cleaner_shared_1,vacuum_cleaner,50,0.0,0.0
hh_003,wallet_marisol,wallet,50,2.5357,0.3319
hh_003,wallet_nico,wallet,50,3.9286,0.3905
hh_003,wallet_talia,wallet,50,2.1786,0.361
hh_003,water_bottle_marisol,water_bottle,50,2.5714,0.4135
hh_003,water_bottle_nico,water_bottle,50,3.8571,0.4644
hh_003,water_bottle_talia,water_bottle,50,0.6071,0.2508
hh_004,backpack_imani,backpack,60,2.5,0.5287
hh_004,backpack_marie,backpack,65,2.9286,0.4278
hh_004,blanket_shared_1,blanket,60,5.0714,0.1318
hh_004,book_marie,book,61,3.2143,0.5344
hh_004,bowl_shared_1,bowl,63,1.0357,0.4307
hh_004,bowl_shared_2,bowl,59,6.3929,0.3003
hh_004,charger_imani,charger,62,2.3214,0.3489
hh_004,charger_marie,charger,60,2.9643,0.5004
hh_004,headphones_imani,headphones,56,2.8214,0.5596
hh_004,headphones_marie,headphones,59,3.1429,0.5845
hh_004,jacket_imani,jacket,62,3.1071,0.4111
hh_004,jacket_marie,jacket,58,2.75,0.423
hh_004,keys_imani,keys,58,2.6786,0.5776
hh_004,keys_marie,keys,57,2.8214,0.4233
hh_004,laptop_marie,laptop,55,3.7857,0.5836
hh_004,laundry_basket_shared_1,laundry_basket,58,2.0,0.0614
hh_004,lunchbox_imani,lunchbox,59,4.3929,0.3607
hh_004,lunchbox_marie,lunchbox,58,4.0714,0.6156
hh_004,medication_bottle_imani,medication_bottle,63,2.6071,0.3684
hh_004,mug_imani,mug,61,4.4643,0.4015
hh_004,mug_marie,mug,57,4.3929,0.3521
hh_004,notebook_shared_1,notebook,58,0.7143,0.151
hh_004,pan_shared_1,pan,58,8.75,0.6675
hh_004,pen_shared_1,pen,55,2.3214,0.4625
hh_004,phone_imani,phone,61,2.6429,0.4873
hh_004,phone_marie,phone,58,3.4286,0.4679
hh_004,plate_shared_1,plate,59,2.2143,0.4125
hh_004,plate_shared_2,plate,61,6.8571,0.3237
hh_004,pot_shared_1,pot,59,0.3571,0.0297
hh_004,remote_shared_1,remote,59,3.8929,0.4468
hh_004,tablet_imani,tablet,55,2.6429,0.5764
hh_004,towel_shared_1,towel,60,2.1429,0.0791
hh_004,towel_shared_2,towel,56,0.75,0.2269
hh_004,vacuum_cleaner_shared_1,vacuum_cleaner,59,0.0,0.0
hh_004,wallet_imani,wallet,61,2.3929,0.5589
hh_004,wallet_marie,wallet,61,2.8929,0.5672
hh_004,water_bottle_imani,water_bottle,59,4.3571,0.6003
hh_004,water_bottle_marie,water_bottle,60,3.25,0.5492
hh_005,backpack_darren,backpack,61,2.6786,0.3827
hh_005,backpack_mara,backpack,63,2.3214,0.3544
hh_005,blanket_shared_1,blanket,62,0.6429,0.4389
hh_005,book_darren,book,60,3.3571,0.5648
hh_005,book_mara,book,58,2.9286,0.5461
hh_005,bowl_shared_1,bowl,63,2.0714,0.5183
hh_005,charger_darren,charger,61,2.8214,0.448
hh_005,charger_mara,charger,61,2.6786,0.4344
hh_005,gaming_controller_darren,gaming_controller,57,0.9286,0.6402
hh_005,glasses_darren,glasses,61,3.5357,0.5423
hh_005,glasses_mara,glasses,65,2.75,0.6897
hh_005,headphones_darren,headphones,59,3.0714,0.5687
hh_005,jacket_darren,jacket,58,2.9286,0.6548
hh_005,jacket_mara,jacket,61,2.5,0.5475
hh_005,keys_darren,keys,64,2.4643,0.4272
hh_005,keys_mara,keys,62,2.4643,0.4403
hh_005,laptop_mara,laptop,65,2.7143,0.4623
hh_005,laundry_basket_shared_1,laundry_basket,58,0.8571,0.0747
hh_005,lunchbox_darren,lunchbox,62,3.0,0.5466
hh_005,lunchbox_mara,lunchbox,62,3.25,0.5366
hh_005,mug_mara,mug,61,2.3929,0.371
hh_005,mug_shared_1,mug,59,4.1071,0.6246
hh_005,notebook_mara,notebook,60,2.9643,0.5837
hh_005,pan_shared_1,pan,60,2.9643,0.4634
hh_005,pen_mara,pen,61,3.25,0.4779
hh_005,phone_darren,phone,60,3.0714,0.5615
hh_005,phone_mara,phone,58,3.4643,0.6964
hh_005,plate_shared_1,plate,61,1.6071,0.4351
hh_005,pot_shared_1,pot,62,1.8929,0.518
hh_005,remote_shared_1,remote,61,1.25,0.611
hh_005,towel_shared_1,towel,58,2.25,0.3755
hh_005,vacuum_cleaner_shared_1,vacuum_cleaner,62,0.5,0.3466
hh_005,wallet_darren,wallet,60,2.5357,0.4031
hh_005,wallet_mara,wallet,61,2.5714,0.6839
hh_005,water_bottle_darren,water_bottle,64,3.3214,0.5167
hh_005,water_bottle_mara,water_bottle,60,2.7857,0.6043
hh_005,yoga_mat_mara,yoga_mat,59,0.7143,0.5197
hh_006,backpack_marie,backpack,88,2.5,0.4365
hh_006,blanket_marie,blanket,83,0.4643,0.2584
