household,belief,object_id,object_class,has_siblings,n_sightings,n_questions,accuracy
hh_001,last_observation,backpack_mara,backpack,False,22,9,0.7777777777777778
hh_001,last_observation,blanket_mara,blanket,False,35,26,1.0
hh_001,last_observation,book_mara,book,False,12,113,0.4247787610619469
hh_001,last_observation,bowl_shared_1,bowl,True,34,114,0.9122807017543859
hh_001,last_observation,bowl_shared_2,bowl,True,35,122,0.680327868852459
hh_001,last_observation,charger_mara,charger,False,23,76,0.7763157894736842
hh_001,last_observation,glasses_mara,glasses,False,35,118,0.711864406779661
hh_001,last_observation,hairbrush_mara,hairbrush,False,32,29,0.7931034482758621
hh_001,last_observation,headphones_mara,headphones,False,21,37,0.5945945945945946
hh_001,last_observation,jacket_mara,jacket,False,21,26,0.9230769230769231
hh_001,last_observation,keys_mara,keys,False,21,54,0.7222222222222222
hh_001,last_observation,laptop_mara,laptop,False,24,19,0.7894736842105263
hh_001,last_observation,laundry_basket_mara,laundry_basket,False,22,81,0.8641975308641975
hh_001,last_observation,lunchbox_mara,lunchbox,False,23,20,0.4
hh_001,last_observation,makeup_kit_mara,makeup_kit,False,22,37,0.8378378378378378
hh_001,last_observation,medication_bottle_mara,medication_bottle,False,36,249,0.8755020080321285
hh_001,last_observation,mug_mara,mug,True,34,140,0.3357142857142857
hh_001,last_observation,mug_shared_1,mug,True,35,133,1.0
hh_001,last_observation,notebook_mara,notebook,False,23,10,0.4
hh_001,last_observation,pan_shared_1,pan,False,35,38,0.5263157894736842
hh_001,last_observation,pen_mara,pen,False,35,17,0.7647058823529411
hh_001,last_observation,phone_mara,phone,False,23,156,0.3333333333333333
hh_001,last_observation,plate_shared_1,plate,True,35,121,0.5206611570247934
hh_001,last_observation,plate_shared_2,plate,True,35,140,0.45
hh_001,last_observation,pot_shared_1,pot,False,35,32,0.84375
hh_001,last_observation,remote_shared_1,remote,False,34,52,0.5
hh_001,last_observation,suitcase_mara,suitcase,False,23,5,0.4
hh_001,last_observation,tablet_mara,tablet,False,20,1,0.0
hh_001,last_observation,towel_mara,towel,False,18,168,0.8869047619047619
hh_001,last_observation,umbrella_mara,umbrella,False,22,14,0.8571428571428571
hh_001,last_observation,vacuum_cleaner_shared_1,vacuum_cleaner,False,35,30,1.0
hh_001,last_observation,wallet_mara,wallet,False,19,15,0.9333333333333333
hh_001,last_observation,water_bottle_mara,water_bottle,False,25,36,0.3611111111111111
hh_001,last_observation,watering_can_mara,watering_can,False,35,5,1.0
hh_001,last_observation,yoga_mat_mara,yoga_mat,False,15,7,0.5714285714285714
hh_001,most_frequent,backpack_mara,backpack,False,22,9,0.8888888888888888
hh_001,most_frequent,blanket_mara,blanket,False,35,26,1.0
hh_001,most_frequent,book_mara,book,False,12,113,0.8761061946902655
hh_001,most_frequent,bowl_shared_1,bowl,True,34,114,1.0
hh_001,most_frequent,bowl_shared_2,bowl,True,35,122,0.9508196721311475
hh_001,most_frequent,charger_mara,charger,False,23,76,0.8157894736842105
hh_001,most_frequent,glasses_mara,glasses,False,35,118,1.0
hh_001,most_frequent,hairbrush_mara,hairbrush,False,32,29,1.0
hh_001,most_frequent,headphones_mara,headphones,False,21,37,0.9459459459459459
hh_001,most_frequent,jacket_mara,jacket,False,21,26,0.9615384615384616
hh_001,most_frequent,keys_mara,keys,False,21,54,0.9629629629629629
hh_001,most_frequent,laptop_mara,laptop,False,24,19,0.9473684210526315
hh_001,most_frequent,laundry_basket_mara,laundry_basket,False,22,81,0.8641975308641975
hh_001,most_frequent,lunchbox_mara,lunchbox,False,23,20,0.95
hh_001,most_frequent,makeup_kit_mara,makeup_kit,False,22,37,1.0
hh_001,most_frequent,medication_bottle_mara,medication_bottle,False,36,249,0.9919678714859438
hh_001,most_frequent,mug_mara,mug,True,34,140,0.9785714285714285
hh_001,most_frequent,mug_shared_1,mug,True,35,133,0.9774436090225563
hh_001,most_frequent,notebook_mara,notebook,False,23,10,0.9
hh_001,most_frequent,pan_shared_1,pan,False,35,38,0.868421052631579
hh_001,most_frequent,pen_mara,pen,False,35,17,0.9411764705882353
hh_001,most_frequent,phone_mara,phone,False,23,156,0.8846153846153846
hh_001,most_frequent,plate_shared_1,plate,True,35,121,0.9338842975206612
hh_001,most_frequent,plate_shared_2,plate,True,35,140,0.9142857142857143
hh_001,most_frequent,pot_shared_1,pot,False,35,32,1.0
hh_001,most_frequent,remote_shared_1,remote,False,34,52,0.75
hh_001,most_frequent,suitcase_mara,suitcase,False,23,5,0.4
hh_001,most_frequent,tablet_mara,tablet,False,20,1,0.0
hh_001,most_frequent,towel_mara,towel,False,18,168,0.9107142857142857
hh_001,most_frequent,umbrella_mara,umbrella,False,22,14,0.8571428571428571
hh_001,most_frequent,vacuum_cleaner_shared_1,vacuum_cleaner,False,35,30,1.0
hh_001,most_frequent,wallet_mara,wallet,False,19,15,1.0
hh_001,most_frequent,water_bottle_mara,water_bottle,False,25,36,0.9722222222222222
hh_001,most_frequent,watering_can_mara,watering_can,False,35,5,1.0
hh_001,most_frequent,yoga_mat_mara,yoga_mat,False,15,7,1.0
hh_001,timetable,backpack_mara,backpack,False,22,9,0.5555555555555556
hh_001,timetable,blanket_mara,blanket,False,35,26,1.0
hh_001,timetable,book_mara,book,False,12,113,0.40707964601769914
hh_001,timetable,bowl_shared_1,bowl,True,34,114,0.9473684210526315
hh_001,timetable,bowl_shared_2,bowl,True,35,122,0.7540983606557377
hh_001,timetable,charger_mara,charger,False,23,76,0.7105263157894737
hh_001,timetable,glasses_mara,glasses,False,35,118,0.4661016949152542
hh_001,timetable,hairbrush_mara,hairbrush,False,32,29,0.9655172413793104
hh_001,timetable,headphones_mara,headphones,False,21,37,0.6486486486486487
hh_001,timetable,jacket_mara,jacket,False,21,26,0.8846153846153846
hh_001,timetable,keys_mara,keys,False,21,54,0.7037037037037037
hh_001,timetable,laptop_mara,laptop,False,24,19,0.9473684210526315
hh_001,timetable,laundry_basket_mara,laundry_basket,False,22,81,0.8641975308641975
hh_001,timetable,lunchbox_mara,lunchbox,False,23,20,0.75
hh_001,timetable,makeup_kit_mara,makeup_kit,False,22,37,0.7837837837837838
hh_001,timetable,medication_bottle_mara,medication_bottle,False,36,249,0.9558232931726908
hh_001,timetable,mug_mara,mug,True,34,140,0.8357142857142857
hh_001,timetable,mug_shared_1,mug,True,35,133,0.9774436090225563
hh_001,timetable,notebook_mara,notebook,False,23,10,0.7
hh_001,timetable,pan_shared_1,pan,False,35,38,0.7631578947368421
hh_001,timetable,pen_mara,pen,False,35,17,0.47058823529411764
hh_001,timetable,phone_mara,phone,False,23,156,0.41025641025641024
hh_001,timetable,plate_shared_1,plate,True,35,121,0.7933884297520661
hh_001,timetable,plate_shared_2,plate,True,35,140,0.7857142857142857
hh_001,timetable,pot_shared_1,pot,False,35,32,0.875
hh_001,timetable,remote_shared_1,remote,False,34,52,0.3269230769230769
hh_001,timetable,suitcase_mara,suitcase,False,23,5,0.4
hh_001,timetable,tablet_mara,tablet,False,20,1,0.0
hh_001,timetable,towel_mara,towel,False,18,168,0.9107142857142857
hh_001,timetable,umbrella_mara,umbrella,False,22,14,0.7857142857142857
hh_001,timetable,vacuum_cleaner_shared_1,vacuum_cleaner,False,35,30,0.6666666666666666
hh_001,timetable,wallet_mara,wallet,False,19,15,0.9333333333333333
hh_001,timetable,water_bottle_mara,water_bottle,False,25,36,0.7777777777777778
hh_001,timetable,watering_can_mara,watering_can,False,35,5,1.0
hh_001,timetable,yoga_mat_mara,yoga_mat,False,15,7,0.8571428571428571
hh_001,daytype_mixture,backpack_mara,backpack,False,22,9,0.6666666666666666
hh_001,daytype_mixture,blanket_mara,blanket,False,35,26,1.0
hh_001,daytype_mixture,book_mara,book,False,12,113,0.5486725663716814
hh_001,daytype_mixture,bowl_shared_1,bowl,True,34,114,0.9385964912280702
hh_001,daytype_mixture,bowl_shared_2,bowl,True,35,122,0.7459016393442623
hh_001,daytype_mixture,charger_mara,charger,False,23,76,0.6973684210526315
hh_001,daytype_mixture,glasses_mara,glasses,False,35,118,0.5254237288135594
hh_001,daytype_mixture,hairbrush_mara,hairbrush,False,32,29,0.9310344827586207
hh_001,daytype_mixture,headphones_mara,headphones,False,21,37,0.7837837837837838
hh_001,daytype_mixture,jacket_mara,jacket,False,21,26,0.9615384615384616
hh_001,daytype_mixture,keys_mara,keys,False,21,54,0.7962962962962963
hh_001,daytype_mixture,laptop_mara,laptop,False,24,19,0.9473684210526315
hh_001,daytype_mixture,laundry_basket_mara,laundry_basket,False,22,81,0.8641975308641975
hh_001,daytype_mixture,lunchbox_mara,lunchbox,False,23,20,0.65
hh_001,daytype_mixture,makeup_kit_mara,makeup_kit,False,22,37,0.8378378378378378
hh_001,daytype_mixture,medication_bottle_mara,medication_bottle,False,36,249,0.9036144578313253
hh_001,daytype_mixture,mug_mara,mug,True,34,140,0.8642857142857143
hh_001,daytype_mixture,mug_shared_1,mug,True,35,133,0.9473684210526315
hh_001,daytype_mixture,notebook_mara,notebook,False,23,10,0.7
hh_001,daytype_mixture,pan_shared_1,pan,False,35,38,0.6052631578947368
hh_001,daytype_mixture,pen_mara,pen,False,35,17,0.9411764705882353
hh_001,daytype_mixture,phone_mara,phone,False,23,156,0.46794871794871795
hh_001,daytype_mixture,plate_shared_1,plate,True,35,121,0.6776859504132231
hh_001,daytype_mixture,plate_shared_2,plate,True,35,140,0.6214285714285714
hh_001,daytype_mixture,pot_shared_1,pot,False,35,32,0.625
hh_001,daytype_mixture,remote_shared_1,remote,False,34,52,0.36538461538461536
hh_001,daytype_mixture,suitcase_mara,suitcase,False,23,5,0.4
