belief,policy,mode,alpha,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global
LastObservation,NeverSense,NeverSense,,10,22500,0.560267,0.55635,0.0,0.0,0.0,90,
LastObservation,SequentialSearch,SequentialSearch,,10,22500,0.722222,0.697219,1.0,90.0,0.0,90,
LastObservation,"ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.721022,0.696424,1.0,90.0,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.720356,0.697028,1.0,90.0,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.05,global)",global,0.05,10,22500,0.721467,0.696357,1.0,90.0,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.720978,0.695844,1.0,90.0,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.721467,0.697838,1.0,90.0,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.721467,0.696412,1.0,90.0,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.723556,0.69936,1.0,90.0,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.7432,0.719227,0.961556,86.54,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.3,global)",global,0.3,10,22500,0.721022,0.696126,1.0,90.0,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,10,22500,0.738133,0.718179,0.965867,86.928,0.0,90,1.000000
LastObservation,"ConformalSense(alpha=0.4,global)",global,0.4,10,22500,0.590444,0.586883,0.007467,0.672,0.0,90,0.500000
LastObservation,"ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,10,22500,0.696178,0.683174,0.597156,53.744,0.0,90,0.500000
LastObservation,"ConformalSense(alpha=0.5,global)",global,0.5,10,22500,0.590444,0.58675,0.007467,0.672,0.0,90,0.000000
LastObservation,"ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,10,22500,0.705156,0.68853,0.575244,51.772,0.0,90,0.000000
MostFrequentLocation(hl=24h),NeverSense,NeverSense,,10,22500,0.556711,0.552255,0.0,0.0,0.0,90,
MostFrequentLocation(hl=24h),SequentialSearch,SequentialSearch,,10,22500,0.701156,0.669103,1.0,90.0,0.0,90,
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.704978,0.671586,1.0,90.0,0.0,90,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.702489,0.670255,1.0,90.0,0.0,90,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.05,global)",global,0.05,10,22500,0.702133,0.669308,1.0,90.0,0.0,90,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.704578,0.671768,1.0,90.0,0.0,90,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.704533,0.672211,1.0,90.0,0.0,90,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.727644,0.68576,1.0,90.0,0.0,90,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.704756,0.671342,1.0,90.0,0.0,90,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.716089,0.689076,0.979911,88.192,0.0,90,1.000000
