belief,alpha,mode,age_bin,n,n_covered,coverage,qhat,target,n_calibration,fallback_to_global
LastObservation,0.02,global,0-6h,4947,4947,1.0,1.0,0.98,6132,
LastObservation,0.02,global,6-24h,11660,11660,1.0,1.0,0.98,12053,
LastObservation,0.02,global,24-72h,4691,4691,1.0,1.0,0.98,3750,
LastObservation,0.02,global,72h+,1202,1202,1.0,1.0,0.98,565,
LastObservation,0.02,age_binned,0-6h,4947,4947,1.0,1.0,0.98,6132,False
LastObservation,0.02,age_binned,6-24h,11660,11660,1.0,1.0,0.98,12053,False
LastObservation,0.02,age_binned,24-72h,4691,4691,1.0,1.0,0.98,3750,False
LastObservation,0.02,age_binned,72h+,1202,1202,1.0,1.0,0.98,565,False
LastObservation,0.05,global,0-6h,4947,4947,1.0,1.0,0.95,6132,
LastObservation,0.05,global,6-24h,11660,11660,1.0,1.0,0.95,12053,
LastObservation,0.05,global,24-72h,4691,4691,1.0,1.0,0.95,3750,
LastObservation,0.05,global,72h+,1202,1202,1.0,1.0,0.95,565,
LastObservation,0.05,age_binned,0-6h,4947,4947,1.0,1.0,0.95,6132,False
LastObservation,0.05,age_binned,6-24h,11660,11660,1.0,1.0,0.95,12053,False
LastObservation,0.05,age_binned,24-72h,4691,4691,1.0,1.0,0.95,3750,False
LastObservation,0.05,age_binned,72h+,1202,1202,1.0,1.0,0.95,565,False
LastObservation,0.1,global,0-6h,4947,4947,1.0,1.0,0.9,6132,
LastObservation,0.1,global,6-24h,11660,11660,1.0,1.0,0.9,12053,
LastObservation,0.1,global,24-72h,4691,4691,1.0,1.0,0.9,3750,
LastObservation,0.1,global,72h+,1202,1202,1.0,1.0,0.9,565,
LastObservation,0.1,age_binned,0-6h,4947,4947,1.0,1.0,0.9,6132,False
LastObservation,0.1,age_binned,6-24h,11660,11660,1.0,1.0,0.9,12053,False
LastObservation,0.1,age_binned,24-72h,4691,4691,1.0,1.0,0.9,3750,False
LastObservation,0.1,age_binned,72h+,1202,1202,1.0,1.0,0.9,565,False
LastObservation,0.2,global,0-6h,4947,4947,1.0,1.0,0.8,6132,
LastObservation,0.2,global,6-24h,11660,11660,1.0,1.0,0.8,12053,
LastObservation,0.2,global,24-72h,4691,4691,1.0,1.0,0.8,3750,
LastObservation,0.2,global,72h+,1202,1202,1.0,1.0,0.8,565,
LastObservation,0.2,age_binned,0-6h,4947,4096,0.827977,0.0,0.8,6132,False
LastObservation,0.2,age_binned,6-24h,11660,11660,1.0,1.0,0.8,12053,False
LastObservation,0.2,age_binned,24-72h,4691,4691,1.0,1.0,0.8,3750,False
LastObservation,0.2,age_binned,72h+,1202,1202,1.0,1.0,0.8,565,False
MostFrequentLocation(hl=24h),0.02,global,0-6h,4947,4947,1.0,1.0,0.98,6132,
MostFrequentLocation(hl=24h),0.02,global,6-24h,11660,11660,1.0,1.0,0.98,12053,
MostFrequentLocation(hl=24h),0.02,global,24-72h,4691,4691,1.0,1.0,0.98,3750,
MostFrequentLocation(hl=24h),0.02,global,72h+,1202,1202,1.0,1.0,0.98,565,
MostFrequentLocation(hl=24h),0.02,age_binned,0-6h,4947,4947,1.0,1.0,0.98,6132,False
MostFrequentLocation(hl=24h),0.02,age_binned,6-24h,11660,11660,1.0,1.0,0.98,12053,False
MostFrequentLocation(hl=24h),0.02,age_binned,24-72h,4691,4691,1.0,1.0,0.98,3750,False
MostFrequentLocation(hl=24h),0.02,age_binned,72h+,1202,1202,1.0,1.0,0.98,565,False
MostFrequentLocation(hl=24h),0.05,global,0-6h,4947,4947,1.0,1.0,0.95,6132,
MostFrequentLocation(hl=24h),0.05,global,6-24h,11660,11660,1.0,1.0,0.95,12053,
MostFrequentLocation(hl=24h),0.05,global,24-72h,4691,4691,1.0,1.0,0.95,3750,
MostFrequentLocation(hl=24h),0.05,global,72h+,1202,1202,1.0,1.0,0.95,565,
MostFrequentLocation(hl=24h),0.05,age_binned,0-6h,4947,4947,1.0,1.0,0.95,6132,False
MostFrequentLocation(hl=24h),0.05,age_binned,6-24h,11660,11660,1.0,1.0,0.95,12053,False
MostFrequentLocation(hl=24h),0.05,age_binned,24-72h,4691,4691,1.0,1.0,0.95,3750,False
MostFrequentLocation(hl=24h),0.05,age_binned,72h+,1202,1202,1.0,1.0,0.95,565,False
MostFrequentLocation(hl=24h),0.1,global,0-6h,4947,4947,1.0,1.0,0.9,6132,
MostFrequentLocation(hl=24h),0.1,global,6-24h,11660,11660,1.0,1.0,0.9,12053,
MostFrequentLocation(hl=24h),0.1,global,24-72h,4691,4691,1.0,1.0,0.9,3750,
MostFrequentLocation(hl=24h),0.1,global,72h+,1202,1202,1.0,1.0,0.9,565,
MostFrequentLocation(hl=24h),0.1,age_binned,0-6h,4947,4373,0.88397,0.999654,0.9,6132,False
MostFrequentLocation(hl=24h),0.1,age_binned,6-24h,11660,11660,1.0,1.0,0.9,12053,False
MostFrequentLocation(hl=24h),0.1,age_binned,24-72h,4691,4691,1.0,1.0,0.9,3750,False
MostFrequentLocation(hl=24h),0.1,age_binned,72h+,1202,1202,1.0,1.0,0.9,565,False
MostFrequentLocation(hl=24h),0.2,global,0-6h,4947,4947,1.0,1.0,0.8,6132,
MostFrequentLocation(hl=24h),0.2,global,6-24h,11660,11660,1.0,1.0,0.8,12053,
MostFrequentLocation(hl=24h),0.2,global,24-72h,4691,4691,1.0,1.0,0.8,3750,
MostFrequentLocation(hl=24h),0.2,global,72h+,1202,1202,1.0,1.0,0.8,565,
