belief,policy,mode,alpha,tau,gamma,feedback,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global
LastObservation,NeverSense,NeverSense,,,,,10,22500,0.586933,0.583337,0.0,0.0,0.0,45,
LastObservation,SequentialSearch,SequentialSearch,,,,,10,22500,0.666178,0.644534,0.5,45.0,0.0,45,
LastObservation,"ConformalSense(alpha=0.02,global)",global,0.02,,,,10,22500,0.667067,0.644108,0.5,45.0,0.0,45,0.999908
LastObservation,"ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,,,,10,22500,0.665289,0.643611,0.5,45.0,0.0,45,0.999908
LastObservation,"ConformalSense(alpha=0.05,global)",global,0.05,,,,10,22500,0.667822,0.645226,0.5,45.0,0.0,45,0.999795
LastObservation,"ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,,,,10,22500,0.666356,0.644501,0.5,45.0,0.0,45,0.999795
LastObservation,"ConformalSense(alpha=0.1,global)",global,0.1,,,,10,22500,0.667644,0.645296,0.5,45.0,0.0,45,0.999667
LastObservation,"ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,,,,10,22500,0.676222,0.651739,0.5,45.0,0.0,45,0.999667
LastObservation,"ConformalSense(alpha=0.2,global)",global,0.2,,,,10,22500,0.676756,0.651916,0.479956,43.196,0.0,45,0.999197
LastObservation,"ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,,,,10,22500,0.686578,0.658429,0.496667,44.7,0.0,45,0.999197
LastObservation,"ConformalSense(alpha=0.3,global)",global,0.3,,,,10,22500,0.669422,0.645409,0.442044,39.784,0.0,45,0.997277
LastObservation,"ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,,,,10,22500,0.682356,0.653901,0.482933,43.464,0.0,45,0.997277
LastObservation,"ConformalSense(alpha=0.4,global)",global,0.4,,,,10,22500,0.708133,0.646677,0.373378,33.604,0.0,45,0.018034
LastObservation,"ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,,,,10,22500,0.689511,0.648784,0.481778,43.36,0.0,45,0.018034
LastObservation,"ConformalSense(alpha=0.5,global)",global,0.5,,,,10,22500,0.717511,0.649364,0.476622,42.896,0.0,45,0.015333
LastObservation,"ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,,,,10,22500,0.689289,0.649475,0.489156,44.024,0.0,45,0.015333
