belief,alpha_target,gamma,feedback,mode,day,n,coverage,target,update_rate,mean_alpha,mean_qhat
LastObservation,0.3,0.0,oracle,aci_static,3,900,0.774444,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,4,900,0.734444,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,5,900,0.751111,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,6,900,0.798889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,7,900,0.735556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,8,900,0.717778,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,9,900,0.736667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,10,900,0.748889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,11,900,0.771111,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,12,900,0.762222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,13,900,0.816667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,14,900,0.718889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,15,900,0.711111,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,16,900,0.705556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,17,900,0.734444,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,18,900,0.745556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,19,900,0.733333,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,20,900,0.801111,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,21,900,0.782222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,22,900,0.723333,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,23,900,0.716667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,24,900,0.724444,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,25,900,0.737778,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,26,900,0.737778,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,27,900,0.787778,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,all,22500,0.748311,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.01,oracle,aci_oracle,3,900,0.734444,0.7,1.0,0.312767,0.918261
LastObservation,0.3,0.01,oracle,aci_oracle,4,900,0.683333,0.7,1.0,0.317678,0.870777
LastObservation,0.3,0.01,oracle,aci_oracle,5,900,0.743333,0.7,1.0,0.320256,0.796024
LastObservation,0.3,0.01,oracle,aci_oracle,6,900,0.721111,0.7,1.0,0.361678,0.346125
LastObservation,0.3,0.01,oracle,aci_oracle,7,900,0.661111,0.7,1.0,0.3366,0.655214
LastObservation,0.3,0.01,oracle,aci_oracle,8,900,0.703333,0.7,1.0,0.328611,0.767366
LastObservation,0.3,0.01,oracle,aci_oracle,9,900,0.681111,0.7,1.0,0.332478,0.681681
LastObservation,0.3,0.01,oracle,aci_oracle,10,900,0.697778,0.7,1.0,0.326167,0.756277
LastObservation,0.3,0.01,oracle,aci_oracle,11,900,0.72,0.7,1.0,0.332167,0.735972
LastObservation,0.3,0.01,oracle,aci_oracle,12,900,0.743333,0.7,1.0,0.347811,0.610825
LastObservation,0.3,0.01,oracle,aci_oracle,13,900,0.708889,0.7,1.0,0.375733,0.332643
LastObservation,0.3,0.01,oracle,aci_oracle,14,900,0.646667,0.7,1.0,0.346733,0.58294
LastObservation,0.3,0.01,oracle,aci_oracle,15,900,0.671111,0.7,1.0,0.321611,0.846515
LastObservation,0.3,0.01,oracle,aci_oracle,16,900,0.686667,0.7,1.0,0.309278,0.952508
LastObservation,0.3,0.01,oracle,aci_oracle,17,900,0.702222,0.7,1.0,0.305111,0.916372
LastObservation,0.3,0.01,oracle,aci_oracle,18,900,0.708889,0.7,1.0,0.306,0.912012
