belief,policy,mode,alpha,tau,gamma,feedback,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global,budget,sweep
LastObservation,NeverSense,NeverSense,,,,,10,22500,0.586933,0.583337,0.0,0.0,0.0,24,,24,budget24
LastObservation,SequentialSearch,SequentialSearch,,,,,10,22500,0.641067,0.626694,0.266667,24.0,0.0,24,,24,budget24
LastObservation,"ConformalSense(alpha=0.02,global)",global,0.02,,,,10,22500,0.641689,0.627872,0.266667,24.0,0.0,24,0.999908,24,budget24
LastObservation,"ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,,,,10,22500,0.641333,0.627766,0.266667,24.0,0.0,24,0.999908,24,budget24
LastObservation,"ConformalSense(alpha=0.05,global)",global,0.05,,,,10,22500,0.639556,0.626421,0.266667,24.0,0.0,24,0.999795,24,budget24
LastObservation,"ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,,,,10,22500,0.640978,0.627295,0.266667,24.0,0.0,24,0.999795,24,budget24
LastObservation,"ConformalSense(alpha=0.1,global)",global,0.1,,,,10,22500,0.641156,0.627497,0.266667,24.0,0.0,24,0.999667,24,budget24
LastObservation,"ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,,,,10,22500,0.644,0.628572,0.266667,24.0,0.0,24,0.999667,24,budget24
LastObservation,"ConformalSense(alpha=0.2,global)",global,0.2,,,,10,22500,0.650222,0.632023,0.261556,23.54,0.0,24,0.999197,24,budget24
LastObservation,"ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,,,,10,22500,0.648578,0.631083,0.266533,23.988,0.0,24,0.999197,24,budget24
LastObservation,"ConformalSense(alpha=0.3,global)",global,0.3,,,,10,22500,0.645422,0.627016,0.251289,22.616,0.0,24,0.997277,24,budget24
LastObservation,"ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,,,,10,22500,0.647333,0.629641,0.263867,23.748,0.0,24,0.997277,24,budget24
LastObservation,"ConformalSense(alpha=0.4,global)",global,0.4,,,,10,22500,0.653778,0.618055,0.234667,21.12,0.0,24,0.018034,24,budget24
LastObservation,"ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,,,,10,22500,0.642889,0.623709,0.265067,23.856,0.0,24,0.018034,24,budget24
LastObservation,"ConformalSense(alpha=0.5,global)",global,0.5,,,,10,22500,0.644756,0.619145,0.266267,23.964,0.0,24,0.015333,24,budget24
LastObservation,"ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,,,,10,22500,0.637067,0.621898,0.266489,23.984,0.0,24,0.015333,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.2,global)",resolvable,0.2,0.2,,,10,22500,0.650444,0.631217,0.261867,23.568,0.0,24,0.999197,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.4,global)",resolvable,0.2,0.4,,,10,22500,0.651644,0.631378,0.2612,23.508,0.0,24,0.999197,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.6,global)",resolvable,0.2,0.6,,,10,22500,0.651778,0.630477,0.261956,23.576,0.0,24,0.999197,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.8,global)",resolvable,0.2,0.8,,,10,22500,0.6464,0.622499,0.261378,23.524,0.0,24,0.999197,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.2,global)",resolvable,0.3,0.2,,,10,22500,0.646622,0.627086,0.2504,22.536,0.0,24,0.997277,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.4,global)",resolvable,0.3,0.4,,,10,22500,0.651244,0.627696,0.248667,22.38,0.0,24,0.997277,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.6,global)",resolvable,0.3,0.6,,,10,22500,0.6536,0.626039,0.249156,22.424,0.0,24,0.997277,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.8,global)",resolvable,0.3,0.8,,,10,22500,0.654844,0.62247,0.238133,21.432,0.0,24,0.997277,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.4,tau=0.2,global)",resolvable,0.4,0.2,,,10,22500,0.586844,0.583324,0.0,0.0,0.0,24,0.018034,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.4,tau=0.4,global)",resolvable,0.4,0.4,,,10,22500,0.587022,0.583306,0.0,0.0,0.0,24,0.018034,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.4,tau=0.6,global)",resolvable,0.4,0.6,,,10,22500,0.586933,0.583315,0.0,0.0,0.0,24,0.018034,24,budget24
LastObservation,"ResolvableMassSense(alpha=0.4,tau=0.8,global)",resolvable,0.4,0.8,,,10,22500,0.586978,0.583335,0.0,0.0,0.0,24,0.018034,24,budget24
LastObservation,"ACISense(alpha=0.3,gamma=0,oracle)",aci_static,0.3,,0.0,oracle,10,22500,0.645022,0.626748,0.249289,22.436,0.0,24,0.997277,24,budget24
LastObservation,"ACISense(alpha=0.3,gamma=0.01,oracle)",aci_oracle,0.3,,0.01,oracle,10,22500,0.644844,0.628215,0.242844,21.856,0.0,24,0.997277,24,budget24
LastObservation,"ACISense(alpha=0.3,gamma=0.01,sensed)",aci_sensed,0.3,,0.01,sensed,10,22500,0.6468,0.629124,0.244889,22.04,0.0,24,0.997277,24,budget24
LastObservation,"ACISense(alpha=0.3,gamma=0.05,oracle)",aci_oracle,0.3,,0.05,oracle,10,22500,0.647733,0.63039,0.260311,23.428,0.0,24,0.997277,24,budget24
LastObservation,"ACISense(alpha=0.3,gamma=0.05,sensed)",aci_sensed,0.3,,0.05,sensed,10,22500,0.631067,0.616973,0.182578,16.432,0.0,24,0.997277,24,budget24
LastObservation,"ACISense(alpha=0.3,gamma=0.1,oracle)",aci_oracle,0.3,,0.1,oracle,10,22500,0.644178,0.628587,0.265867,23.928,0.0,24,0.997277,24,budget24
LastObservation,"ACISense(alpha=0.3,gamma=0.1,sensed)",aci_sensed,0.3,,0.1,sensed,10,22500,0.613911,0.605283,0.12,10.8,0.0,24,0.997277,24,budget24
MostFrequentLocation(hl=24h),NeverSense,NeverSense,,,,,10,22500,0.592756,0.588511,0.0,0.0,0.0,24,,24,budget24
MostFrequentLocation(hl=24h),SequentialSearch,SequentialSearch,,,,,10,22500,0.646711,0.62451,0.266667,24.0,0.0,24,,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.02,global)",global,0.02,,,,10,22500,0.6484,0.625588,0.266667,24.0,0.0,24,0.999706,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,,,,10,22500,0.646489,0.624002,0.266667,24.0,0.0,24,0.999706,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.05,global)",global,0.05,,,,10,22500,0.647022,0.624373,0.266667,24.0,0.0,24,0.999353,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,,,,10,22500,0.647556,0.624938,0.266667,24.0,0.0,24,0.999353,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.1,global)",global,0.1,,,,10,22500,0.649556,0.625068,0.266667,24.0,0.0,24,0.999109,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,,,,10,22500,0.653022,0.627387,0.266667,24.0,0.0,24,0.999109,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.2,global)",global,0.2,,,,10,22500,0.655067,0.628184,0.266667,24.0,0.0,24,0.991045,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,,,,10,22500,0.658222,0.633085,0.2664,23.976,0.0,24,0.991045,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.3,global)",global,0.3,,,,10,22500,0.685911,0.641528,0.231022,20.792,0.0,24,0.798785,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,,,,10,22500,0.673111,0.636791,0.261289,23.516,0.0,24,0.798785,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.4,global)",global,0.4,,,,10,22500,0.670178,0.632927,0.185422,16.688,0.0,24,0.362145,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,,,,10,22500,0.668133,0.633036,0.265644,23.908,0.0,24,0.362145,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.5,global)",global,0.5,,,,10,22500,0.6716,0.630502,0.2664,23.976,0.0,24,0.173989,24,budget24
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,,,,10,22500,0.661022,0.626525,0.266489,23.984,0.0,24,0.173989,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.2,tau=0.2,global)",resolvable,0.2,0.2,,,10,22500,0.6552,0.627953,0.266667,24.0,0.0,24,0.991045,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.2,tau=0.4,global)",resolvable,0.2,0.4,,,10,22500,0.656756,0.628327,0.266667,24.0,0.0,24,0.991045,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.2,tau=0.6,global)",resolvable,0.2,0.6,,,10,22500,0.655911,0.627659,0.266667,24.0,0.0,24,0.991045,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.2,tau=0.8,global)",resolvable,0.2,0.8,,,10,22500,0.653378,0.626354,0.266667,24.0,0.0,24,0.991045,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.3,tau=0.2,global)",resolvable,0.3,0.2,,,10,22500,0.685689,0.642827,0.229422,20.648,0.0,24,0.798785,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.3,tau=0.4,global)",resolvable,0.3,0.4,,,10,22500,0.685556,0.642691,0.229422,20.648,0.0,24,0.798785,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.3,tau=0.6,global)",resolvable,0.3,0.6,,,10,22500,0.685911,0.641938,0.230178,20.716,0.0,24,0.798785,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.3,tau=0.8,global)",resolvable,0.3,0.8,,,10,22500,0.683822,0.640697,0.2092,18.828,0.0,24,0.798785,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.4,tau=0.2,global)",resolvable,0.4,0.2,,,10,22500,0.592667,0.588506,0.0,0.0,0.0,24,0.362145,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.4,tau=0.4,global)",resolvable,0.4,0.4,,,10,22500,0.592711,0.588516,0.0,0.0,0.0,24,0.362145,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.4,tau=0.6,global)",resolvable,0.4,0.6,,,10,22500,0.592756,0.588511,0.0,0.0,0.0,24,0.362145,24,budget24
MostFrequentLocation(hl=24h),"ResolvableMassSense(alpha=0.4,tau=0.8,global)",resolvable,0.4,0.8,,,10,22500,0.592711,0.588514,0.0,0.0,0.0,24,0.362145,24,budget24
MostFrequentLocation(hl=24h),"ACISense(alpha=0.3,gamma=0,oracle)",aci_static,0.3,,0.0,oracle,10,22500,0.6864,0.642254,0.230711,20.764,0.0,24,0.798785,24,budget24
