config,eps,half_life_h,subset,n,median_ess,q25_ess,q75_ess,p10_ess,p90_ess,max_ess,accuracy,routine_accuracy,eligible
eps0.05__hlnone,0.05,,calibration,22500,1.0,1.0,1.005,1.0,1.11,3.199,0.646,0.702756,0
eps0.05__hlnone,0.05,,test,22500,1.0,1.0,1.1,1.0,1.313,3.413,0.649244,0.713867,0
eps0.05__hlnone,0.05,,fleet,45000,1.0,1.0,1.011,1.0,1.205,3.413,0.647622,0.708311,0
eps0.05__hl96h,0.05,96.0,calibration,22500,1.006,1.0,1.167,1.0,1.757,4.285,0.659867,0.702756,0
eps0.05__hl96h,0.05,96.0,test,22500,1.028,1.0,1.401,1.0,1.972,5.871,0.664889,0.713867,0
eps0.05__hl96h,0.05,96.0,fleet,45000,1.012,1.0,1.296,1.0,1.916,5.871,0.662378,0.708311,0
eps0.05__hl48h,0.05,48.0,calibration,22500,1.059,1.001,1.542,1.0,2.13,5.595,0.676933,0.702756,0
eps0.05__hl48h,0.05,48.0,test,22500,1.107,1.004,1.716,1.0,2.395,5.009,0.677733,0.713867,0
eps0.05__hl48h,0.05,48.0,fleet,45000,1.084,1.002,1.616,1.0,2.247,5.595,0.677333,0.708311,0
eps0.05__hl24h,0.05,24.0,calibration,22500,1.251,1.022,1.978,1.001,2.773,7.901,0.696756,0.702756,0
eps0.05__hl24h,0.05,24.0,test,22500,1.313,1.04,2.046,1.003,2.847,9.216,0.691867,0.713867,0
eps0.05__hl24h,0.05,24.0,fleet,45000,1.282,1.03,2.003,1.001,2.806,9.216,0.694311,0.708311,0
eps0.05__hl12h,0.05,12.0,calibration,22500,1.844,1.157,2.985,1.016,4.682,26.586,0.716133,0.702756,0
eps0.05__hl12h,0.05,12.0,test,22500,2.045,1.259,3.344,1.04,5.266,22.134,0.709733,0.713867,0
eps0.05__hl12h,0.05,12.0,fleet,45000,1.943,1.201,3.166,1.027,4.997,26.586,0.712933,0.708311,0
eps0.05__hl6h,0.05,6.0,calibration,22500,3.797,1.889,8.261,1.145,17.072,606.189,0.735778,0.702756,0
eps0.05__hl6h,0.05,6.0,test,22500,4.851,2.264,12.145,1.347,27.249,265.119,0.7356,0.713867,0
eps0.05__hl6h,0.05,6.0,fleet,45000,4.266,2.063,10.064,1.225,22.079,606.189,0.735689,0.708311,0
eps0.2__hlnone,0.2,,calibration,22500,1.003,1.0,1.085,1.0,1.572,3.792,0.646178,0.702756,0
eps0.2__hlnone,0.2,,test,22500,1.016,1.0,1.385,1.0,2.0,4.838,0.6492,0.713867,0
eps0.2__hlnone,0.2,,fleet,45000,1.004,1.0,1.219,1.0,1.866,4.838,0.647689,0.708311,0
eps0.2__hl96h,0.2,96.0,calibration,22500,1.103,1.006,1.664,1.0,2.27,6.437,0.661911,0.702756,0
eps0.2__hl96h,0.2,96.0,test,22500,1.284,1.031,1.993,1.001,2.836,8.118,0.669511,0.713867,0
eps0.2__hl96h,0.2,96.0,fleet,45000,1.183,1.012,1.848,1.0,2.555,8.118,0.665711,0.708311,0
eps0.2__hl48h,0.2,48.0,calibration,22500,1.442,1.06,2.224,1.005,3.332,8.815,0.682711,0.702756,0
eps0.2__hl48h,0.2,48.0,test,22500,1.666,1.115,2.589,1.016,3.955,12.271,0.685778,0.713867,0
eps0.2__hl48h,0.2,48.0,fleet,45000,1.528,1.082,2.39,1.009,3.653,12.271,0.684244,0.708311,0
eps0.2__hl24h,0.2,24.0,calibration,22500,2.147,1.329,3.495,1.049,5.269,16.302,0.709067,0.702756,0
eps0.2__hl24h,0.2,24.0,test,22500,2.403,1.49,3.984,1.111,5.95,19.176,0.705067,0.713867,0
eps0.2__hl24h,0.2,24.0,fleet,45000,2.256,1.411,3.72,1.073,5.623,19.176,0.707067,0.708311,0
eps0.2__hl12h,0.2,12.0,calibration,22500,4.514,2.327,8.713,1.361,15.209,91.468,0.740311,0.702756,0
eps0.2__hl12h,0.2,12.0,test,22500,5.8,2.967,11.345,1.659,19.592,117.867,0.734622,0.713867,1
eps0.2__hl12h,0.2,12.0,fleet,45000,5.115,2.6,9.994,1.492,17.54,117.867,0.737467,0.708311,1
eps0.2__hl6h,0.2,6.0,calibration,22500,17.972,6.654,47.791,2.627,101.703,738.329,0.760933,0.702756,1
eps0.2__hl6h,0.2,6.0,test,22500,27.491,9.04,76.403,3.808,149.965,557.156,0.755689,0.713867,1
eps0.2__hl6h,0.2,6.0,fleet,45000,21.954,7.686,61.181,3.17,128.386,738.329,0.758311,0.708311,1
eps0.4__hlnone,0.4,,calibration,22500,1.053,1.001,1.457,1.0,2.182,6.387,0.646356,0.702756,0
eps0.4__hlnone,0.4,,test,22500,1.151,1.005,1.761,1.0,2.463,7.599,0.649956,0.713867,0
eps0.4__hlnone,0.4,,fleet,45000,1.097,1.003,1.7,1.0,2.325,7.599,0.648156,0.708311,0
eps0.4__hl96h,0.4,96.0,calibration,22500,1.557,1.123,2.545,1.016,3.829,11.803,0.669956,0.702756,0
eps0.4__hl96h,0.4,96.0,test,22500,2.041,1.288,3.323,1.052,5.062,14.588,0.681289,0.713867,0
eps0.4__hl96h,0.4,96.0,fleet,45000,1.799,1.179,2.889,1.03,4.446,14.588,0.675622,0.708311,0
eps0.4__hl48h,0.4,48.0,calibration,22500,2.583,1.531,4.333,1.133,6.534,16.041,0.698667,0.702756,0
eps0.4__hl48h,0.4,48.0,test,22500,3.187,1.864,5.492,1.256,8.714,31.404,0.7044,0.713867,0
eps0.4__hl48h,0.4,48.0,fleet,45000,2.822,1.684,4.939,1.179,7.588,31.404,0.701533,0.708311,0
eps0.4__hl24h,0.4,24.0,calibration,22500,5.76,3.059,10.03,1.702,16.314,50.575,0.737067,0.702756,1
eps0.4__hl24h,0.4,24.0,test,22500,7.707,4.106,13.353,2.239,20.654,68.119,0.731733,0.713867,1
eps0.4__hl24h,0.4,24.0,fleet,45000,6.714,3.476,11.761,1.928,18.609,68.119,0.7344,0.708311,1
eps0.4__hl12h,0.4,12.0,calibration,22500,23.049,10.348,45.987,4.668,74.953,291.197,0.763822,0.702756,1
eps0.4__hl12h,0.4,12.0,test,22500,33.243,15.505,63.346,7.037,102.402,341.788,0.758089,0.713867,1
eps0.4__hl12h,0.4,12.0,fleet,45000,27.709,12.585,54.099,5.657,88.977,341.788,0.760956,0.708311,1
eps0.4__hl6h,0.4,6.0,calibration,22500,107.903,41.758,214.551,15.88,338.464,779.374,0.759511,0.702756,1
eps0.4__hl6h,0.4,6.0,test,22500,152.157,59.589,285.999,22.699,405.911,707.431,0.754978,0.713867,1
eps0.4__hl6h,0.4,6.0,fleet,45000,127.246,49.355,250.181,19.095,378.72,779.374,0.757244,0.708311,1
eps0.6__hlnone,0.6,,calibration,22500,1.417,1.05,2.277,1.001,3.486,17.413,0.650756,0.702756,0
eps0.6__hlnone,0.6,,test,22500,1.768,1.102,2.803,1.007,4.749,17.432,0.657511,0.713867,0
eps0.6__hlnone,0.6,,fleet,45000,1.569,1.067,2.533,1.003,4.103,17.432,0.654133,0.708311,0
eps0.6__hl96h,0.6,96.0,calibration,22500,3.379,2.043,6.086,1.31,10.161,31.385,0.691778,0.702756,0
eps0.6__hl96h,0.6,96.0,test,22500,4.996,2.779,9.26,1.696,14.411,37.991,0.705644,0.713867,0
eps0.6__hl96h,0.6,96.0,fleet,45000,4.082,2.289,7.776,1.444,12.399,37.991,0.698711,0.708311,0
eps0.6__hl48h,0.6,48.0,calibration,22500,9.187,4.825,16.374,2.676,23.583,60.817,0.733022,0.702756,1
eps0.6__hl48h,0.6,48.0,test,22500,13.482,7.155,23.207,3.866,33.508,89.749,0.736489,0.713867,1
eps0.6__hl48h,0.6,48.0,fleet,45000,11.11,5.763,19.939,3.126,28.868,89.749,0.734756,0.708311,1
eps0.6__hl24h,0.6,24.0,calibration,22500,36.223,20.167,59.854,10.301,84.796,197.008,0.762133,0.702756,1
