household_id,day_index,ess,correct,routine_correct
hh_001,3,3.4857,0,0
hh_001,3,3.5149,1,1
hh_001,3,3.9922,1,0
hh_001,3,4.0023,0,0
hh_001,3,4.0341,0,1
hh_001,3,3.6899,1,1
hh_001,3,3.7185,1,1
hh_001,3,3.738,0,1
hh_001,3,3.7613,1,0
hh_001,3,3.814,1,1
hh_001,3,3.871,0,0
hh_001,3,3.8744,0,0
hh_001,3,3.8805,1,1
hh_001,3,3.8997,0,0
hh_001,3,3.904,0,0
hh_001,3,3.9447,1,0
hh_001,3,3.9462,1,1
hh_001,3,3.9696,1,1
hh_001,3,3.9702,1,0
hh_001,3,4.008,1,1
hh_001,3,3.2876,1,1
hh_001,3,3.3118,0,0
hh_001,3,3.3138,1,1
hh_001,3,3.3172,1,1
hh_001,3,3.3723,1,1
hh_001,3,3.3755,1,1
hh_001,3,3.421,0,0
hh_001,3,3.5461,1,1
hh_001,3,3.5617,1,1
hh_001,3,3.5759,1,1
hh_001,3,3.5848,1,1
hh_001,3,3.597,1,0
hh_001,3,4.8778,0,0
hh_001,3,4.8787,1,1
hh_001,3,4.8865,1,0
hh_001,3,4.9595,1,1
hh_001,3,4.9616,1,1
hh_001,3,5.0807,1,1
hh_001,3,5.1183,1,1
hh_001,3,5.1196,1,1
hh_001,3,5.1554,0,0
hh_001,3,5.1915,1,1
hh_001,3,5.2133,1,1
hh_001,3,5.2509,1,1
hh_001,3,5.265,0,1
hh_001,3,5.3004,0,0
hh_001,3,5.3309,1,1
hh_001,3,5.3712,0,0
hh_001,3,5.4228,1,0
hh_001,3,5.435,1,1
hh_001,3,5.4362,1,1
hh_001,3,4.5373,1,1
hh_001,3,4.5579,1,1
hh_001,3,4.5779,1,1
hh_001,3,4.6497,0,0
hh_001,3,4.7153,0,0
hh_001,3,4.7601,1,1
hh_001,3,4.7681,1,1
hh_001,3,4.7875,1,1
hh_001,3,4.8235,1,1
hh_001,3,4.9135,1,1
hh_001,3,4.9267,1,1
hh_001,3,4.9689,1,1
hh_001,3,5.0062,1,1
hh_001,3,11.3029,1,1
hh_001,3,11.3917,1,1
hh_001,3,11.3958,1,1
hh_001,3,11.4351,1,1
hh_001,3,11.506,1,1
hh_001,3,11.5494,1,1
hh_001,3,11.5739,1,1
hh_001,3,11.5744,1,1
hh_001,3,11.6003,1,1
hh_001,3,11.6106,1,1
hh_001,3,11.6598,1,1
hh_001,3,11.6717,1,1
hh_001,3,11.7036,1,1
hh_001,3,11.7546,1,1
hh_001,3,11.7683,1,1
hh_001,3,11.8324,1,1
hh_001,3,11.8468,1,1
hh_001,3,11.9378,1,1
hh_001,3,12.0028,1,1
hh_001,3,12.0247,1,1
hh_001,3,10.6521,1,1
hh_001,3,10.7483,1,1
hh_001,3,10.7778,1,1
hh_001,3,10.7799,1,1
hh_001,3,10.899,1,1
hh_001,3,11.0259,1,1
hh_001,4,12.8629,1,1
hh_001,4,12.9071,1,1
hh_001,4,13.0618,1,0
hh_001,4,13.2026,0,0
hh_001,4,4.7116,1,1
hh_001,4,4.7737,1,1
hh_001,4,4.7751,1,0
hh_001,4,4.7796,1,1
hh_001,4,4.8267,1,1
hh_001,4,4.9602,1,1
hh_001,4,4.9658,1,1
hh_001,4,5.0052,0,0
hh_001,4,5.0364,0,0
hh_001,4,5.0527,0,0
hh_001,4,5.0647,1,1
hh_001,4,5.0729,0,1
hh_001,4,5.0779,1,1
hh_001,4,5.0805,1,1
hh_001,4,5.1323,1,1
hh_001,4,5.2103,1,1
hh_001,4,5.2199,0,0
hh_001,4,5.8689,1,1
hh_001,4,5.8882,1,1
hh_001,4,5.8986,0,0
hh_001,4,5.9404,1,1
hh_001,4,6.1037,1,1
hh_001,4,6.1944,1,1
hh_001,4,6.2046,0,0
hh_001,4,6.2901,1,1
hh_001,4,6.3542,1,1
hh_001,4,6.3786,1,1
hh_001,4,6.4109,1,1
hh_001,4,7.528,1,1
hh_001,4,7.5564,1,1
hh_001,4,7.7668,1,1
hh_001,4,7.7978,1,1
hh_001,4,7.8948,1,1
hh_001,4,7.94,1,1
hh_001,4,8.1757,1,1
hh_001,4,8.2185,0,0
hh_001,4,8.2526,1,1
hh_001,4,8.2885,1,1
hh_001,4,8.2922,1,1
hh_001,4,8.3974,1,1
hh_001,4,8.4129,1,1
hh_001,4,8.4442,1,1
hh_001,4,8.4666,1,0
hh_001,4,8.505,1,1
hh_001,4,8.5233,1,1
hh_001,4,8.5267,1,1
hh_001,4,8.5361,1,1
hh_001,4,8.5554,1,1
hh_001,4,8.5643,1,1
hh_001,4,8.5736,1,1
hh_001,4,8.5986,1,1
hh_001,4,8.6845,1,1
hh_001,4,8.687,1,1
hh_001,4,8.6917,1,1
hh_001,4,8.6985,0,0
hh_001,4,8.7127,1,1
hh_001,4,8.7712,1,1
hh_001,4,8.7827,1,1
hh_001,4,8.8056,1,1
hh_001,4,8.828,1,1
hh_001,4,8.8468,0,0
hh_001,4,9.6095,1,1
hh_001,4,9.6201,0,0
hh_001,4,9.6863,1,1
hh_001,4,9.6916,1,0
hh_001,4,9.7347,1,0
hh_001,4,9.7973,1,1
hh_001,4,9.817,1,1
hh_001,4,9.8291,1,1
hh_001,4,9.9035,0,0
hh_001,4,9.9152,0,0
hh_001,4,9.9406,1,1
hh_001,4,10.0293,0,0
hh_001,4,10.0569,1,1
hh_001,4,10.0584,1,1
hh_001,4,10.0844,1,1
hh_001,4,3.9087,1,0
hh_001,4,3.9565,1,1
hh_001,4,3.9644,0,1
hh_001,4,3.9793,1,1
hh_001,4,3.9844,1,0
hh_001,4,3.9963,1,1
hh_001,4,4.0038,1,1
hh_001,4,4.0049,1,0
hh_001,4,4.0354,0,1
hh_001,4,4.0463,1,1
hh_001,5,5.4924,1,1
hh_001,5,5.5073,1,1
hh_001,5,5.5748,1,1
hh_001,5,5.583,1,1
hh_001,5,5.584,0,1
hh_001,5,5.6584,0,0
hh_001,5,5.6808,0,1
hh_001,5,5.7055,1,0
hh_001,5,3.0801,1,1
hh_001,5,3.0987,0,1
hh_001,5,3.1022,1,1
hh_001,5,3.1429,0,0
hh_001,5,3.1499,1,1
hh_001,5,3.1786,1,1
hh_001,5,3.1792,0,1
hh_001,5,3.1871,1,1
hh_001,5,3.2503,1,1
hh_001,5,3.2637,0,1
hh_001,5,3.3165,0,1
hh_001,5,3.3678,0,0
hh_001,5,3.3882,1,0
hh_001,5,3.4187,1,1
