belief,budget,policy,policy_config,cost_aware,room_change_cost,task_accuracy,accuracy_vs_c0,senses_per_question,senses_vs_c0,cost_per_question,same_room_sense_fraction,forced_answer_rate
LastObservation,24,NeverSense,NeverSense,False,0,0.586933,0.0,0.0,0.0,0.0,,0.0
LastObservation,24,NeverSense,NeverSense,False,0.25,0.586933,0.0,0.0,0.0,0.0,,0.0
LastObservation,24,NeverSense,NeverSense,False,0.5,0.586933,0.0,0.0,0.0,0.0,,0.0
LastObservation,24,NeverSense,NeverSense,False,1,0.586933,0.0,0.0,0.0,0.0,,0.0
LastObservation,24,NeverSense,NeverSense,False,2,0.586933,0.0,0.0,0.0,0.0,,0.0
LastObservation,24,SequentialSearch,SequentialSearch,False,0,0.641511,0.0,0.266667,0.0,0.266667,0.394667,0.0
LastObservation,24,SequentialSearch,SequentialSearch,False,0.25,0.632933,-0.008578,0.229022,-0.037645,0.262789,0.410246,0.652222
LastObservation,24,SequentialSearch,SequentialSearch,False,0.5,0.626756,-0.014755,0.203956,-0.062711,0.264356,0.407714,0.410356
LastObservation,24,SequentialSearch,SequentialSearch,False,1,0.6196,-0.021911,0.1696,-0.097067,0.266667,0.427673,0.037822
LastObservation,24,SequentialSearch,SequentialSearch,False,2,0.608711,-0.0328,0.128356,-0.138311,0.266667,0.461219,0.078933
LastObservation,24,ResolvableMassSense,ResolvableMassSense_best,False,0,0.655111,0.0,0.239467,0.0,0.239467,0.453972,0.0
LastObservation,24,ResolvableMassSense,ResolvableMassSense_best,False,0.25,0.644711,-0.0104,0.2132,-0.026267,0.240633,0.485303,0.067778
LastObservation,24,ResolvableMassSense,ResolvableMassSense_best,False,0.5,0.637333,-0.017778,0.193511,-0.045956,0.242267,0.496096,0.044444
LastObservation,24,ResolvableMassSense,ResolvableMassSense_best,False,1,0.632311,-0.0228,0.169956,-0.069511,0.249289,0.533211,0.015911
LastObservation,24,ResolvableMassSense,ResolvableMassSense_best,False,2,0.6204,-0.034711,0.137556,-0.101911,0.251867,0.584491,0.024533
LastObservation,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0,0.630978,0.0,0.204622,0.0,0.204622,0.635534,0.0
LastObservation,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0.25,0.627778,-0.0032,0.188667,-0.015955,0.202711,0.702238,0.032667
LastObservation,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0.5,0.623867,-0.007111,0.180622,-0.024,0.207044,0.707431,0.0128
LastObservation,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,1,0.620267,-0.010711,0.160978,-0.043644,0.207778,0.709277,0.002489
LastObservation,24,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,2,0.616267,-0.014711,0.131956,-0.072666,0.207511,0.713708,0.003467
LastObservation,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0,0.649956,0.0,0.253244,0.0,0.253244,0.568094,0.0
LastObservation,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.25,0.6376,-0.012356,0.220089,-0.033155,0.238711,0.661551,0.041156
LastObservation,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.5,0.637644,-0.012312,0.2172,-0.036044,0.253089,0.669531,0.039778
LastObservation,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,1,0.634578,-0.015378,0.195556,-0.057688,0.257422,0.683636,0.011822
LastObservation,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,2,0.625956,-0.024,0.162844,-0.0904,0.254311,0.719159,0.014933
LastObservation,90,NeverSense,NeverSense,False,0,0.586889,0.0,0.0,0.0,0.0,,0.0
LastObservation,90,NeverSense,NeverSense,False,0.25,0.586889,0.0,0.0,0.0,0.0,,0.0
LastObservation,90,NeverSense,NeverSense,False,0.5,0.586889,0.0,0.0,0.0,0.0,,0.0
LastObservation,90,NeverSense,NeverSense,False,1,0.586889,0.0,0.0,0.0,0.0,,0.0
LastObservation,90,NeverSense,NeverSense,False,2,0.586889,0.0,0.0,0.0,0.0,,0.0
LastObservation,90,SequentialSearch,SequentialSearch,False,0,0.705689,0.0,1.0,0.0,1.0,0.261644,0.0
LastObservation,90,SequentialSearch,SequentialSearch,False,0.25,0.694089,-0.0116,0.845244,-0.154756,0.9966,0.283731,0.5176
LastObservation,90,SequentialSearch,SequentialSearch,False,0.5,0.6872,-0.018489,0.739511,-0.260489,0.998111,0.300619,0.297333
LastObservation,90,SequentialSearch,SequentialSearch,False,1,0.675556,-0.030133,0.597422,-0.402578,1.0,0.326142,0.046178
LastObservation,90,SequentialSearch,SequentialSearch,False,2,0.662222,-0.043467,0.441956,-0.558044,1.0,0.368665,0.088667
LastObservation,90,ResolvableMassSense,ResolvableMassSense_best,False,0,0.805911,0.0,0.780711,0.0,0.780711,0.317374,0.0
LastObservation,90,ResolvableMassSense,ResolvableMassSense_best,False,0.25,0.78,-0.025911,0.708756,-0.071955,0.825411,0.341632,0.109733
LastObservation,90,ResolvableMassSense,ResolvableMassSense_best,False,0.5,0.764844,-0.041067,0.650133,-0.130578,0.859889,0.354731,0.072622
LastObservation,90,ResolvableMassSense,ResolvableMassSense_best,False,1,0.733378,-0.072533,0.559822,-0.220889,0.906044,0.38155,0.023511
LastObservation,90,ResolvableMassSense,ResolvableMassSense_best,False,2,0.696622,-0.109289,0.4368,-0.343911,0.938756,0.425417,0.048578
LastObservation,90,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0,0.676622,0.0,0.587867,0.0,0.587867,0.369396,0.0
LastObservation,90,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0.25,0.673511,-0.003111,0.537067,-0.0508,0.575611,0.712926,0.0188
LastObservation,90,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,0.5,0.674444,-0.002178,0.489733,-0.098134,0.558133,0.720664,0.009378
LastObservation,90,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,1,0.673733,-0.002889,0.428844,-0.159023,0.547111,0.72422,0.0008
LastObservation,90,VoIThresholdSense,VoIThresholdSense_lambda0.01,True,2,0.665822,-0.0108,0.3584,-0.229467,0.547467,0.736235,0.001111
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0,0.705467,0.0,0.815289,0.0,0.815289,0.328118,0.0
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.25,0.704756,-0.000711,0.782978,-0.032311,0.842078,0.698076,0.108978
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.5,0.701511,-0.003956,0.741556,-0.073733,0.851756,0.702787,0.066756
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,1,0.6936,-0.011867,0.659378,-0.155911,0.851156,0.709153,0.012356
LastObservation,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,2,0.682356,-0.023111,0.5516,-0.263689,0.852489,0.727258,0.020311
PeriodicPersistence,24,NeverSense,NeverSense,False,0,0.5924,0.0,0.0,0.0,0.0,,0.0
