belief,budget,room_change_cost,n_paired,best_cost_aware,best_cost_blind,gap,ci_low,ci_high
LastObservation,24,0,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,-0.005156,-0.00944,-0.000871
LastObservation,24,0.25,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,-0.007111,-0.011224,-0.002998
LastObservation,24,0.5,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,0.000311,-0.003619,0.004241
LastObservation,24,1,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,0.002267,-0.00129,0.005823
LastObservation,24,2,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,0.005556,0.002426,0.008685
PeriodicPersistence,24,0,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,-0.009022,-0.012725,-0.005319
PeriodicPersistence,24,0.25,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,-0.005111,-0.008616,-0.001607
PeriodicPersistence,24,0.5,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,0.002889,-0.000499,0.006277
PeriodicPersistence,24,1,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,0.007333,0.004,0.010666
PeriodicPersistence,24,2,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,0.009378,0.006048,0.012708
PerpetuaStar,24,0,22500,VoIThresholdSense_lambda0.2,ResolvableMassSense_best,0.014133,0.009404,0.018863
PerpetuaStar,24,0.25,22500,VoIThresholdSense_lambda0.2,ResolvableMassSense_best,0.017956,0.013066,0.022845
PerpetuaStar,24,0.5,22500,VoIThresholdSense_lambda0.2,ResolvableMassSense_best,0.022622,0.017704,0.02754
PerpetuaStar,24,1,22500,VoIThresholdSense_lambda0.2,ResolvableMassSense_best,0.002222,-0.002949,0.007393
PerpetuaStar,24,2,22500,VoIBudgetPriceSense_gamma0.01,ResolvableMassSense_best,-0.003289,-0.007681,0.001103
OracleBelief,24,0,22500,VoIBudgetPriceSense_gamma0.1,NeverSense,0.018489,0.013295,0.023682
OracleBelief,24,0.25,22500,VoIBudgetPriceSense_gamma0.1,NeverSense,0.018756,0.014133,0.023378
OracleBelief,24,0.5,22500,VoIBudgetPriceSense_gamma0.1,NeverSense,0.015689,0.010905,0.020473
OracleBelief,24,1,22500,VoIThresholdSense_lambda0.01,NeverSense,0.001022,-0.003996,0.006041
OracleBelief,24,2,22500,VoIThresholdSense_lambda0.01,NeverSense,-0.005378,-0.01023,-0.000526
LastObservation,90,0,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,-0.100444,-0.105544,-0.095345
LastObservation,90,0.25,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,-0.075244,-0.080206,-0.070283
LastObservation,90,0.5,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,-0.063333,-0.068131,-0.058536
LastObservation,90,1,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,-0.039778,-0.044233,-0.035323
LastObservation,90,2,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,-0.014267,-0.01851,-0.010024
PeriodicPersistence,90,0,22500,VoIThresholdSense_lambda0.02,ResolvableMassSense_best,-0.076,-0.080715,-0.071285
PeriodicPersistence,90,0.25,22500,VoIThresholdSense_lambda0.02,ResolvableMassSense_best,-0.048533,-0.053373,-0.043693
PeriodicPersistence,90,0.5,22500,VoIThresholdSense_lambda0.02,ResolvableMassSense_best,-0.027022,-0.031936,-0.022109
PeriodicPersistence,90,1,22500,VoIThresholdSense_lambda0.02,ResolvableMassSense_best,0.008578,0.003466,0.01369
PeriodicPersistence,90,2,22500,VoIThresholdSense_lambda0.02,ResolvableMassSense_best,0.028267,0.023316,0.033218
PerpetuaStar,90,0,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,0.036133,0.031871,0.040395
PerpetuaStar,90,0.25,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,0.048622,0.043981,0.053264
PerpetuaStar,90,0.5,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,0.0604,0.055513,0.065287
PerpetuaStar,90,1,22500,VoIThresholdSense_lambda0.05,ResolvableMassSense_best,0.069644,0.064618,0.074671
PerpetuaStar,90,2,22500,VoIThresholdSense_lambda0.05,SequentialSearch,0.071244,0.06564,0.076849
OracleBelief,90,0,22500,VoIBudgetPriceSense_gamma0.1,SequentialSearch,0.115911,0.1105,0.121322
OracleBelief,90,0.25,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,0.105111,0.100292,0.10993
OracleBelief,90,0.5,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,0.092756,0.087805,0.097706
OracleBelief,90,1,22500,VoIBudgetPriceSense_gamma0.1,ResolvableMassSense_best,0.068356,0.063253,0.073458
OracleBelief,90,2,22500,VoIThresholdSense_lambda0.01,ResolvableMassSense_best,0.037289,0.032279,0.042299
