belief,policy,budget,room_change_cost,belief_name,policy_name,n_households,n_questions,task_accuracy,belief_accuracy,senses_per_question,senses_per_day,cost_per_question,cost_per_day,same_room_sense_fraction,forced_answer_rate,median_ess
LastObservation,NeverSense,24,0,LastObservation,NeverSense,10,22500,0.586933,0.583364,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,24,0.25,LastObservation,NeverSense,10,22500,0.586933,0.583364,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,24,0.5,LastObservation,NeverSense,10,22500,0.586933,0.583364,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,24,1,LastObservation,NeverSense,10,22500,0.586933,0.583364,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,24,2,LastObservation,NeverSense,10,22500,0.586933,0.583364,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,90,0,LastObservation,NeverSense,10,22500,0.586889,0.5833,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,90,0.25,LastObservation,NeverSense,10,22500,0.586889,0.5833,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,90,0.5,LastObservation,NeverSense,10,22500,0.586889,0.5833,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,90,1,LastObservation,NeverSense,10,22500,0.586889,0.5833,0.0,0.0,0.0,0.0,,0.0,
LastObservation,NeverSense,90,2,LastObservation,NeverSense,10,22500,0.586889,0.5833,0.0,0.0,0.0,0.0,,0.0,
LastObservation,ResolvableMassSense_best,24,0,LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.8,global)",10,22500,0.655111,0.62233,0.239467,21.552,0.239467,21.552,0.453972,0.0,
LastObservation,ResolvableMassSense_best,24,0.25,LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.8,global)",10,22500,0.644711,0.617023,0.2132,19.188,0.240633,21.657,0.485303,0.067778,
LastObservation,ResolvableMassSense_best,24,0.5,LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.8,global)",10,22500,0.637333,0.612943,0.193511,17.416,0.242267,21.804,0.496096,0.044444,
LastObservation,ResolvableMassSense_best,24,1,LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.8,global)",10,22500,0.632311,0.610237,0.169956,15.296,0.249289,22.436,0.533211,0.015911,
LastObservation,ResolvableMassSense_best,24,2,LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.8,global)",10,22500,0.6204,0.603275,0.137556,12.38,0.251867,22.668,0.584491,0.024533,
LastObservation,ResolvableMassSense_best,90,0,LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.805911,0.700955,0.780711,70.264,0.780711,70.264,0.317374,0.0,
LastObservation,ResolvableMassSense_best,90,0.25,LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.78,0.686644,0.708756,63.788,0.825411,74.287,0.341632,0.109733,
LastObservation,ResolvableMassSense_best,90,0.5,LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.764844,0.679897,0.650133,58.512,0.859889,77.39,0.354731,0.072622,
LastObservation,ResolvableMassSense_best,90,1,LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.733378,0.667619,0.559822,50.384,0.906044,81.544,0.38155,0.023511,
LastObservation,ResolvableMassSense_best,90,2,LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.696622,0.650309,0.4368,39.312,0.938756,84.488,0.425417,0.048578,
LastObservation,SequentialSearch,24,0,LastObservation,SequentialSearch,10,22500,0.641511,0.627009,0.266667,24.0,0.266667,24.0,0.394667,0.0,
LastObservation,SequentialSearch,24,0.25,LastObservation,SequentialSearch,10,22500,0.632933,0.620831,0.229022,20.612,0.262789,23.651,0.410246,0.652222,
LastObservation,SequentialSearch,24,0.5,LastObservation,SequentialSearch,10,22500,0.626756,0.616394,0.203956,18.356,0.264356,23.792,0.407714,0.410356,
LastObservation,SequentialSearch,24,1,LastObservation,SequentialSearch,10,22500,0.6196,0.609652,0.1696,15.264,0.266667,24.0,0.427673,0.037822,
LastObservation,SequentialSearch,24,2,LastObservation,SequentialSearch,10,22500,0.608711,0.601733,0.128356,11.552,0.266667,24.0,0.461219,0.078933,
LastObservation,SequentialSearch,90,0,LastObservation,SequentialSearch,10,22500,0.705689,0.669914,1.0,90.0,1.0,90.0,0.261644,0.0,
LastObservation,SequentialSearch,90,0.25,LastObservation,SequentialSearch,10,22500,0.694089,0.662906,0.845244,76.072,0.9966,89.694,0.283731,0.5176,
LastObservation,SequentialSearch,90,0.5,LastObservation,SequentialSearch,10,22500,0.6872,0.657728,0.739511,66.556,0.998111,89.83,0.300619,0.297333,
LastObservation,SequentialSearch,90,1,LastObservation,SequentialSearch,10,22500,0.675556,0.650093,0.597422,53.768,1.0,90.0,0.326142,0.046178,
LastObservation,SequentialSearch,90,2,LastObservation,SequentialSearch,10,22500,0.662222,0.641236,0.441956,39.776,1.0,90.0,0.368665,0.088667,
LastObservation,VoIBudgetPriceSense_gamma0.1,24,0,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.649956,0.63198,0.253244,22.792,0.253244,22.792,0.568094,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.1,24,0.25,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.6376,0.622678,0.220089,19.808,0.238711,21.484,0.661551,0.041156,
LastObservation,VoIBudgetPriceSense_gamma0.1,24,0.5,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.637644,0.622974,0.2172,19.548,0.253089,22.778,0.669531,0.039778,
LastObservation,VoIBudgetPriceSense_gamma0.1,24,1,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.634578,0.619482,0.195556,17.6,0.257422,23.168,0.683636,0.011822,
LastObservation,VoIBudgetPriceSense_gamma0.1,24,2,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.625956,0.611654,0.162844,14.656,0.254311,22.888,0.719159,0.014933,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,0,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.705467,0.671071,0.815289,73.376,0.815289,73.376,0.328118,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,0.25,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.704756,0.670225,0.782978,70.468,0.842078,75.787,0.698076,0.108978,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,0.5,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.701511,0.668204,0.741556,66.74,0.851756,76.658,0.702787,0.066756,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,1,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.6936,0.66163,0.659378,59.344,0.851156,76.604,0.709153,0.012356,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,2,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.682356,0.652783,0.5516,49.644,0.852489,76.724,0.727258,0.020311,
LastObservation,VoIThresholdSense_lambda0.01,24,0,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.630978,0.617374,0.204622,18.416,0.204622,18.416,0.635534,0.0,
LastObservation,VoIThresholdSense_lambda0.01,24,0.25,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.627778,0.614201,0.188667,16.98,0.202711,18.244,0.702238,0.032667,
LastObservation,VoIThresholdSense_lambda0.01,24,0.5,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.623867,0.611935,0.180622,16.256,0.207044,18.634,0.707431,0.0128,
LastObservation,VoIThresholdSense_lambda0.01,24,1,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.620267,0.608942,0.160978,14.488,0.207778,18.7,0.709277,0.002489,
LastObservation,VoIThresholdSense_lambda0.01,24,2,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.616267,0.605144,0.131956,11.876,0.207511,18.676,0.713708,0.003467,
LastObservation,VoIThresholdSense_lambda0.01,90,0,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.676622,0.644475,0.587867,52.908,0.587867,52.908,0.369396,0.0,
LastObservation,VoIThresholdSense_lambda0.01,90,0.25,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.673511,0.640995,0.537067,48.336,0.575611,51.805,0.712926,0.0188,
LastObservation,VoIThresholdSense_lambda0.01,90,0.5,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.674444,0.640852,0.489733,44.076,0.558133,50.232,0.720664,0.009378,
