belief,policy,budget,n,task_accuracy,senses_per_question,forced_answer_rate,recalls_per_question,answered_from_memory_rate,answer_overridden_rate,unparseable,illegal,fallbacks,step_cap_hits
LastObservation,NeverSense,24,200,0.575,0.0,0.0,,,,,,,
LastObservation,NeverSense,90,200,0.515,0.0,0.0,,,,,,,
LastObservation,SequentialSearch,24,200,0.495,0.065,0.0,,,,,,,
LastObservation,SequentialSearch,90,200,0.565,2.38,0.0,,,,,,,
LastObservation,StarScripted,24,200,0.565,0.16,0.0,1.0,0.1,0.905,0,0,0,0
LastObservation,StarScripted,90,200,0.46,0.165,0.0,1.0,0.085,0.905,0,0,0,0
LastObservation,VoIBest,24,200,0.515,0.245,0.0,,,,,,,
LastObservation,VoIBest,90,200,0.605,2.205,0.0,,,,,,,
PerpetuaStar,NeverSense,24,200,0.46,0.0,0.0,,,,,,,
PerpetuaStar,NeverSense,90,200,0.365,0.0,0.0,,,,,,,
PerpetuaStar,SequentialSearch,24,200,0.455,0.09,0.0,,,,,,,
PerpetuaStar,SequentialSearch,90,200,0.455,2.29,0.0,,,,,,,
PerpetuaStar,StarScripted,24,200,0.515,0.16,0.0,1.0,0.1,0.905,0,0,0,0
PerpetuaStar,StarScripted,90,200,0.415,0.165,0.0,1.0,0.085,0.905,0,0,0,0
PerpetuaStar,VoIBest,24,200,0.535,0.265,0.0,,,,,,,
PerpetuaStar,VoIBest,90,200,0.51,1.065,0.0,,,,,,,
