t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,jacket_mara,headphones_mara,glasses_mara,charger_mara,notebook_mara,pen_mara,lunchbox_mara,water_bottle_mara,umbrella_mara,mug_mara,mug_shared_1,bowl_shared_1,bowl_shared_2,plate_shared_1,plate_shared_2,book_mara,tablet_mara,remote_shared_1,blanket_mara,yoga_mat_mara,towel_mara,laundry_basket_mara,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,hairbrush_mara,makeup_kit_mara,medication_bottle_mara,suitcase_mara,watering_can_mara
0,d00 Mon 00:00,kitchen_table_k1,nightstand_b1,entry_table_e1,entry_table_e1,entry_hook_e1,entry_hook_e1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,counter_k1,counter_k1,entry_floor_e1,cupboard_k1,cupboard_k1,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,bookshelf_l1,coffee_table_l1,coffee_table_l1,couch_l1,couch_l1,towel_rack_ba1,bedroom_floor_b1,bedroom_floor_b1,cupboard_k1,cupboard_k1,bathroom_shelf_ba1,bathroom_shelf_ba1,bathroom_shelf_ba1,bedroom_floor_b1,sink_k1
60,d00 Mon 01:00,kitchen_table_k1,nightstand_b1,entry_table_e1,entry_table_e1,entry_hook_e1,entry_hook_e1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,counter_k1,counter_k1,entry_floor_e1,cupboard_k1,cupboard_k1,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,bookshelf_l1,coffee_table_l1,coffee_table_l1,couch_l1,couch_l1,towel_rack_ba1,bedroom_floor_b1,bedroom_floor_b1,cupboard_k1,cupboard_k1,bathroom_shelf_ba1,bathroom_shelf_ba1,bathroom_shelf_ba1,bedroom_floor_b1,sink_k1
120,d00 Mon 02:00,kitchen_table_k1,nightstand_b1,entry_table_e1,entry_table_e1,entry_hook_e1,entry_hook_e1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,counter_k1,counter_k1,entry_floor_e1,cupboard_k1,cupboard_k1,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,bookshelf_l1,coffee_table_l1,coffee_table_l1,couch_l1,couch_l1,towel_rack_ba1,bedroom_floor_b1,bedroom_floor_b1,cupboard_k1,cupboard_k1,bathroom_shelf_ba1,bathroom_shelf_ba1,bathroom_shelf_ba1,bedroom_floor_b1,sink_k1
180,d00 Mon 03:00,kitchen_table_k1,nightstand_b1,entry_table_e1,entry_table_e1,entry_hook_e1,entry_hook_e1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,counter_k1,counter_k1,entry_floor_e1,cupboard_k1,cupboard_k1,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,bookshelf_l1,coffee_table_l1,coffee_table_l1,couch_l1,couch_l1,towel_rack_ba1,bedroom_floor_b1,bedroom_floor_b1,cupboard_k1,cupboard_k1,bathroom_shelf_ba1,bathroom_shelf_ba1,bathroom_shelf_ba1,bedroom_floor_b1,sink_k1
240,d00 Mon 04:00,kitchen_table_k1,nightstand_b1,entry_table_e1,entry_table_e1,entry_hook_e1,entry_hook_e1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,counter_k1,counter_k1,entry_floor_e1,cupboard_k1,cupboard_k1,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,bookshelf_l1,coffee_table_l1,coffee_table_l1,couch_l1,couch_l1,towel_rack_ba1,bedroom_floor_b1,bedroom_floor_b1,cupboard_k1,cupboard_k1,bathroom_shelf_ba1,bathroom_shelf_ba1,bathroom_shelf_ba1,bedroom_floor_b1,sink_k1
300,d00 Mon 05:00,kitchen_table_k1,nightstand_b1,entry_table_e1,entry_table_e1,entry_hook_e1,entry_hook_e1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,counter_k1,counter_k1,entry_floor_e1,cupboard_k1,cupboard_k1,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,bookshelf_l1,coffee_table_l1,cupboard_k1,couch_l1,couch_l1,towel_rack_ba1,bedroom_floor_b1,bedroom_floor_b1,cupboard_k1,cupboard_k1,bathroom_shelf_ba1,bathroom_shelf_ba1,bathroom_shelf_ba1,bedroom_floor_b1,sink_k1
360,d00 Mon 06:00,kitchen_table_k1,nightstand_b1,entry_table_e1,entry_table_e1,entry_hook_e1,entry_hook_e1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,dish_rack_k1,kitchen_table_k1,counter_k1,counter_k1,entry_floor_e1,counter_k1,cupboard_k1,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,bookshelf_l1,coffee_table_l1,cupboard_k1,couch_l1,couch_l1,towel_rack_ba1,bedroom_floor_b1,bedroom_floor_b1,cupboard_k1,cupboard_k1,bathroom_shelf_ba1,kitchen_table_k1,counter_k1,bedroom_floor_b1,sink_k1
420,d00 Mon 07:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,kitchen_table_k1,person:resident_1,person:resident_1,kitchen_table_k1,person:resident_1,person:resident_1,person:resident_1,counter_k1,cupboard_k1,entry_table_e1,sink_k1,cupboard_k1,counter_k1,person:resident_1,person:resident_1,cupboard_k1,couch_l1,person:resident_1,person:resident_1,person:resident_1,bedroom_floor_b1,cupboard_k1,counter_k1,bathroom_shelf_ba1,person:resident_1,counter_k1,person:resident_1,sink_k1
480,d00 Mon 08:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,kitchen_table_k1,person:resident_1,person:resident_1,kitchen_table_k1,person:resident_1,person:resident_1,person:resident_1,counter_k1,cupboard_k1,entry_table_e1,sink_k1,cupboard_k1,counter_k1,person:resident_1,person:resident_1,cupboard_k1,couch_l1,person:resident_1,person:resident_1,person:resident_1,bedroom_floor_b1,cupboard_k1,counter_k1,bathroom_shelf_ba1,person:resident_1,counter_k1,person:resident_1,sink_k1
540,d00 Mon 09:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,kitchen_table_k1,person:resident_1,person:resident_1,kitchen_table_k1,person:resident_1,person:resident_1,person:resident_1,counter_k1,cupboard_k1,entry_table_e1,sink_k1,cupboard_k1,counter_k1,person:resident_1,person:resident_1,cupboard_k1,couch_l1,person:resident_1,person:resident_1,person:resident_1,bedroom_floor_b1,cupboard_k1,counter_k1,bathroom_shelf_ba1,person:resident_1,counter_k1,person:resident_1,sink_k1
