t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,jacket_mara,headphones_mara,glasses_mara,charger_mara,notebook_mara,pen_mara,lunchbox_mara,water_bottle_mara,umbrella_mara,mug_mara,mug_shared_1,bowl_shared_1,bowl_shared_2,plate_shared_1,plate_shared_2,book_mara,tablet_mara,remote_shared_1,blanket_mara,yoga_mat_mara,towel_mara,laundry_basket_mara,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,hairbrush_mara,makeup_kit_mara,medication_bottle_mara,suitcase_mara,watering_can_mara
0,d00 Mon 00:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,living,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
60,d00 Mon 01:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,living,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
120,d00 Mon 02:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,living,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
180,d00 Mon 03:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,living,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
240,d00 Mon 04:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,living,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
300,d00 Mon 05:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
360,d00 Mon 06:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,kitchen
420,d00 Mon 07:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
