t,stamp,glasses_elena,book_elena,mug_elena,blanket_elena,medication_bottle_elena_1,notebook_elena,watering_can_elena,phone_elena,keys_elena,wallet_elena,laptop_marco,phone_marco,keys_marco,wallet_marco,backpack_marco,lunchbox_marco,water_bottle_marco,jacket_marco,phone_priya,keys_priya,wallet_priya,backpack_priya,lunchbox_priya,water_bottle_priya,jacket_priya,makeup_kit_priya,hairbrush_priya,notebook_priya,laptop_sofia,phone_sofia,keys_sofia,backpack_sofia,water_bottle_sofia,headphones_sofia,notebook_sofia,pen_sofia,jacket_sofia,gaming_controller_sofia,phone_leo,keys_leo,backpack_leo,lunchbox_leo,water_bottle_leo,tablet_leo,toy_leo_1,blanket_leo,notebook_leo,pen_leo,jacket_leo,remote_shared_1,gaming_controller_shared_1,charger_shared_1,bowl_shared_1,plate_shared_1,pot_shared_1,pan_shared_1,vacuum_cleaner_shared_1,laundry_basket_shared_1,umbrella_shared_1,suitcase_shared_1
0,d00 Mon 00:00,reading_table_l1,reading_table_l1,cupboard_k1,armchair_l1,medicine_cabinet_ba1,counter_k1,entry_floor_e1,reading_table_l1,entry_table_e1,desk_b1,desk_b2,coffee_table_l1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,counter_k1,entry_hook_e1,counter_k1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,sink_k1,entry_hook_e1,desk_b2,desk_b2,kitchen_table_k1,desk_b3,nightstand_b3,desk_b3,desk_b3,sink_k1,desk_b3,desk_b3,desk_b3,chair_k2,game_shelf_l1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,coffee_table_l1,toy_chest_l1,bed_b4,desk_b4,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
60,d00 Mon 01:00,reading_table_l1,reading_table_l1,cupboard_k1,armchair_l1,medicine_cabinet_ba1,counter_k1,entry_floor_e1,reading_table_l1,entry_table_e1,desk_b1,desk_b2,coffee_table_l1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,counter_k1,entry_hook_e1,counter_k1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,sink_k1,entry_hook_e1,desk_b2,desk_b2,kitchen_table_k1,desk_b3,nightstand_b3,desk_b3,desk_b3,sink_k1,desk_b3,desk_b3,desk_b3,chair_k2,game_shelf_l1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,coffee_table_l1,toy_chest_l1,bed_b4,desk_b4,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
120,d00 Mon 02:00,reading_table_l1,reading_table_l1,cupboard_k1,armchair_l1,medicine_cabinet_ba1,counter_k1,entry_floor_e1,reading_table_l1,entry_table_e1,desk_b1,desk_b2,coffee_table_l1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,counter_k1,entry_hook_e1,counter_k1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,sink_k1,entry_hook_e1,desk_b2,desk_b2,kitchen_table_k1,desk_b3,nightstand_b3,desk_b3,desk_b3,sink_k1,desk_b3,desk_b3,desk_b3,chair_k2,game_shelf_l1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,coffee_table_l1,toy_chest_l1,bed_b4,desk_b4,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
180,d00 Mon 03:00,reading_table_l1,reading_table_l1,cupboard_k1,armchair_l1,medicine_cabinet_ba1,counter_k1,entry_floor_e1,reading_table_l1,entry_table_e1,desk_b1,desk_b2,coffee_table_l1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,counter_k1,entry_hook_e1,counter_k1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,sink_k1,entry_hook_e1,desk_b2,desk_b2,kitchen_table_k1,desk_b3,nightstand_b3,desk_b3,desk_b3,sink_k1,desk_b3,desk_b3,desk_b3,chair_k2,game_shelf_l1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,coffee_table_l1,toy_chest_l1,bed_b4,desk_b4,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
240,d00 Mon 04:00,reading_table_l1,reading_table_l1,cupboard_k1,armchair_l1,medicine_cabinet_ba1,counter_k1,entry_floor_e1,reading_table_l1,entry_table_e1,desk_b1,desk_b2,coffee_table_l1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,counter_k1,entry_hook_e1,counter_k1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,sink_k1,entry_hook_e1,desk_b2,desk_b2,kitchen_table_k1,desk_b3,nightstand_b3,desk_b3,desk_b3,sink_k1,desk_b3,desk_b3,desk_b3,chair_k2,game_shelf_l1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,coffee_table_l1,toy_chest_l1,bed_b4,desk_b4,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
300,d00 Mon 05:00,reading_table_l1,reading_table_l1,cupboard_k1,armchair_l1,medicine_cabinet_ba1,counter_k1,entry_floor_e1,reading_table_l1,entry_table_e1,desk_b1,desk_b2,coffee_table_l1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,counter_k1,entry_hook_e1,counter_k1,entry_table_e1,desk_b2,entry_floor_e1,cupboard_k1,sink_k1,entry_hook_e1,bedroom_floor_b2,desk_b2,kitchen_table_k1,desk_b3,desk_b3,desk_b3,desk_b3,sink_k1,desk_b3,desk_b3,desk_b3,chair_k2,counter_k1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,coffee_table_l1,toy_chest_l1,bed_b4,desk_b4,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
360,d00 Mon 06:00,reading_table_l1,reading_table_l1,sink_k1,armchair_l1,counter_k1,counter_k1,entry_floor_e1,reading_table_l1,entry_table_e1,desk_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,counter_k1,entry_table_e1,desk_b2,entry_floor_e1,counter_k1,sink_k1,entry_hook_e1,bathroom_shelf_ba1,bathroom_shelf_ba1,kitchen_table_k1,desk_b3,person:resident_4,desk_b3,desk_b3,sink_k1,desk_b3,desk_b3,desk_b3,chair_k2,counter_k1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,coffee_table_l1,toy_chest_l1,bed_b4,desk_b4,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
420,d00 Mon 07:00,reading_table_l1,reading_table_l1,armchair_l1,armchair_l1,medicine_cabinet_ba1,counter_k1,entry_floor_e1,reading_table_l1,entry_table_e1,desk_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,counter_k1,entry_table_e1,desk_b2,entry_floor_e1,counter_k1,sink_k1,entry_hook_e1,desk_b2,bathroom_shelf_ba1,kitchen_table_k1,desk_b3,person:resident_4,desk_b3,desk_b3,sink_k1,desk_b3,desk_b3,desk_b3,chair_k2,counter_k1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,counter_k1,toy_chest_l1,bed_b4,desk_b4,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
480,d00 Mon 08:00,person:resident_1,person:resident_1,dish_rack_k1,armchair_l1,medicine_cabinet_ba1,person:resident_1,entry_floor_e1,person:resident_1,person:resident_1,person:resident_1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_floor_e1,bathroom_shelf_ba1,kitchen_table_k1,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,desk_b3,desk_b3,person:resident_4,counter_k1,counter_k1,entry_table_e1,entry_floor_e1,cupboard_k1,sink_k1,counter_k1,toy_chest_l1,bed_b4,chair_k1,desk_b4,entry_hook_e1,tv_stand_l1,game_shelf_l1,coffee_table_l1,sink_k1,cupboard_k1,cupboard_k1,counter_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
540,d00 Mon 09:00,person:resident_1,person:resident_1,dish_rack_k1,armchair_l1,medicine_cabinet_ba1,person:resident_1,entry_floor_e1,person:resident_1,person:resident_1,person:resident_1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,desk_b2,bathroom_shelf_ba1,kitchen_table_k1,person:resident_4,person:resident_4,person:resident_4,person:resident_4,person:resident_4,desk_b3,desk_b3,desk_b3,person:resident_4,counter_k1,person:resident_5,person:resident_5,person:resident_5,person:resident_5,person:resident_5,person:resident_5,toy_chest_l1,bed_b4,chair_k1,desk_b4,person:resident_5,tv_stand_l1,dish_rack_k1,dish_rack_k1,sink_k1,cupboard_k1,cupboard_k1,counter_k1,entry_floor_e1,bedroom_floor_b2,entry_hook_e1,bedroom_floor_b2
