t,stamp,glasses_elena,book_elena,mug_elena,blanket_elena,medication_bottle_elena_1,notebook_elena,watering_can_elena,phone_elena,keys_elena,wallet_elena,laptop_marco,phone_marco,keys_marco,wallet_marco,backpack_marco,lunchbox_marco,water_bottle_marco,jacket_marco,phone_priya,keys_priya,wallet_priya,backpack_priya,lunchbox_priya,water_bottle_priya,jacket_priya,makeup_kit_priya,hairbrush_priya,notebook_priya,laptop_sofia,phone_sofia,keys_sofia,backpack_sofia,water_bottle_sofia,headphones_sofia,notebook_sofia,pen_sofia,jacket_sofia,gaming_controller_sofia,phone_leo,keys_leo,backpack_leo,lunchbox_leo,water_bottle_leo,tablet_leo,toy_leo_1,blanket_leo,notebook_leo,pen_leo,jacket_leo,remote_shared_1,gaming_controller_shared_1,charger_shared_1,bowl_shared_1,plate_shared_1,pot_shared_1,pan_shared_1,vacuum_cleaner_shared_1,laundry_basket_shared_1,umbrella_shared_1,suitcase_shared_1
0,d00 Mon 00:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,entry,kitchen,kitchen,living,living,bedroom_4,bedroom_4,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
60,d00 Mon 01:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,entry,kitchen,kitchen,living,living,bedroom_4,bedroom_4,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
120,d00 Mon 02:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,entry,kitchen,kitchen,living,living,bedroom_4,bedroom_4,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
180,d00 Mon 03:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,entry,kitchen,kitchen,living,living,bedroom_4,bedroom_4,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
240,d00 Mon 04:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,entry,kitchen,kitchen,living,living,bedroom_4,bedroom_4,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
300,d00 Mon 05:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,living,living,bedroom_4,bedroom_4,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
360,d00 Mon 06:00,living,living,kitchen,living,kitchen,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bathroom,bathroom,kitchen,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,living,living,bedroom_4,bedroom_4,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
420,d00 Mon 07:00,living,living,living,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,living,bedroom_4,bedroom_4,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
480,d00 Mon 08:00,outside,outside,kitchen,living,bathroom,outside,entry,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,entry,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,kitchen,kitchen,entry,entry,kitchen,kitchen,kitchen,living,bedroom_4,kitchen,bedroom_4,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
540,d00 Mon 09:00,outside,outside,kitchen,living,bathroom,outside,entry,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_4,kitchen,bedroom_4,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
