t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,lunchbox_mara,water_bottle_mara,mug_mara,notebook_mara,pen_mara,book_mara,glasses_mara,charger_mara,jacket_mara,yoga_mat_mara,phone_darren,keys_darren,wallet_darren,backpack_darren,lunchbox_darren,water_bottle_darren,jacket_darren,headphones_darren,book_darren,glasses_darren,charger_darren,gaming_controller_darren,mug_shared_1,bowl_shared_1,plate_shared_1,remote_shared_1,blanket_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,towel_shared_1
0,d00 Mon 00:00,living,bedroom_1,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,living,entry,entry,entry,kitchen,kitchen,entry,living,living,living,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
60,d00 Mon 01:00,living,bedroom_1,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
120,d00 Mon 02:00,living,bedroom_1,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
180,d00 Mon 03:00,living,bedroom_1,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
240,d00 Mon 04:00,living,bedroom_1,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
300,d00 Mon 05:00,living,bathroom,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
360,d00 Mon 06:00,living,kitchen,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
420,d00 Mon 07:00,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
