t,stamp,laptop_nia,phone_nia,keys_nia,wallet_nia,backpack_nia,water_bottle_nia,notebook_nia,pen_nia,mug_nia,book_nia,blanket_nia,charger_nia,jacket_nia,laundry_basket_nia,laptop_mateo,phone_mateo,keys_mateo,wallet_mateo,backpack_mateo,headphones_mateo,notebook_mateo,pen_mateo,mug_mateo,gaming_controller_mateo,charger_mateo,jacket_mateo,phone_priya,keys_priya,wallet_priya,backpack_priya,water_bottle_priya,jacket_priya,umbrella_priya,yoga_mat_priya,lunchbox_priya,hairbrush_priya,medication_bottle_priya,bowl_shared_1,plate_shared_1,plate_shared_2,pot_shared_1,pan_shared_1,remote_shared_1,vacuum_cleaner_shared_1,towel_shared_1,laundry_basket_shared_1
0,d00 Mon 00:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,chair_k1,sink_k1,desk_b1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,desk_b2,nightstand_b2,entry_table_e1,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,desk_b2,cupboard_k1,game_shelf_l1,desk_b2,chair_k2,entry_table_e1,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
60,d00 Mon 01:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,chair_k1,sink_k1,desk_b1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,desk_b2,nightstand_b2,entry_table_e1,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,desk_b2,cupboard_k1,game_shelf_l1,desk_b2,chair_k2,entry_table_e1,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
120,d00 Mon 02:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,chair_k1,sink_k1,desk_b1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,desk_b2,nightstand_b2,entry_table_e1,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,desk_b2,cupboard_k1,game_shelf_l1,desk_b2,chair_k2,entry_table_e1,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
180,d00 Mon 03:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,chair_k1,sink_k1,desk_b1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,desk_b2,nightstand_b2,entry_table_e1,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,desk_b2,cupboard_k1,game_shelf_l1,desk_b2,chair_k2,person:resident_3,person:resident_3,desk_b3,person:resident_3,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
240,d00 Mon 04:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,chair_k1,sink_k1,desk_b1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,desk_b2,nightstand_b2,entry_table_e1,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,desk_b2,cupboard_k1,game_shelf_l1,desk_b2,chair_k2,entry_table_e1,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
300,d00 Mon 05:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,chair_k1,sink_k1,desk_b1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,desk_b2,nightstand_b2,entry_table_e1,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,desk_b2,cupboard_k1,game_shelf_l1,desk_b2,chair_k2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
360,d00 Mon 06:00,desk_b1,desk_b1,entry_table_e1,desk_b1,chair_k1,sink_k1,desk_b1,desk_b1,counter_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,desk_b2,nightstand_b2,entry_table_e1,desk_b2,bedroom_floor_b2,desk_b2,desk_b2,desk_b2,counter_k1,game_shelf_l1,desk_b2,chair_k2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,nightstand_b1,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
420,d00 Mon 07:00,desk_b1,desk_b1,entry_table_e1,desk_b1,chair_k1,sink_k1,desk_b1,desk_b1,counter_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,counter_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
480,d00 Mon 08:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,sink_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
540,d00 Mon 09:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,sink_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
