t,stamp,phone_elias,keys_elias,wallet_elias,laptop_elias,charger_elias,backpack_elias,mug_elias,water_bottle_elias,notebook_elias,pen_elias,headphones_elias,jacket_elias,phone_priya,keys_priya,wallet_priya,backpack_priya,lunchbox_priya,water_bottle_priya,mug_priya,jacket_priya,yoga_mat_priya,hairbrush_priya,makeup_kit_priya,blanket_noa,water_bottle_noa,backpack_noa,toy_noa,book_noa,towel_noa,medication_bottle_noa,plate_shared_1,bowl_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,tablet_shared_1,charger_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,umbrella_shared_1,suitcase_shared_1
0,d00 Mon 00:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,living,entry,living,living,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
60,d00 Mon 01:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,living,entry,living,living,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
120,d00 Mon 02:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,living,entry,living,living,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
180,d00 Mon 03:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,living,entry,living,living,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
240,d00 Mon 04:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,living,entry,living,living,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
300,d00 Mon 05:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,bedroom_2,living,entry,living,living,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
360,d00 Mon 06:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,entry,entry,bedroom_2,kitchen,entry,living,living,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
420,d00 Mon 07:00,entry,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,entry,bedroom_2,kitchen,entry,living,living,bathroom,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,bedroom_2,kitchen,entry,living,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
