t,stamp,mug_nikhil,laptop_nikhil,phone_nikhil,keys_nikhil,wallet_nikhil,backpack_nikhil,charger_nikhil,notebook_nikhil,glasses_nikhil,jacket_nikhil,mug_marisol,laptop_marisol,phone_marisol,keys_marisol,wallet_marisol,backpack_marisol,water_bottle_marisol,book_marisol,glasses_marisol,makeup_kit_marisol,hairbrush_marisol,phone_tessa,keys_tessa,backpack_tessa,laptop_tessa,charger_tessa,headphones_tessa,water_bottle_tessa,notebook_tessa,pen_tessa,book_tessa,gaming_controller_tessa,phone_owen,backpack_owen,lunchbox_owen,water_bottle_owen,tablet_owen,blanket_owen,toy_owen,notebook_owen,pen_owen,jacket_owen,gaming_controller_owen,plate_shared_1,bowl_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,charger_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,umbrella_shared_1,towel_shared_1,yoga_mat_shared_1
0,d00 Mon 00:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
60,d00 Mon 01:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
120,d00 Mon 02:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
180,d00 Mon 03:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
240,d00 Mon 04:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
300,d00 Mon 05:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
360,d00 Mon 06:00,kitchen,bedroom_1,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bathroom,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,entry,kitchen,bedroom_3,entry,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
420,d00 Mon 07:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
