t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,mug_mara,water_bottle_mara,headphones_mara,notebook_mara,pen_mara,book_mara,charger_mara,backpack_mara,jacket_mara,glasses_mara,yoga_mat_mara,laptop_leon,phone_leon,keys_leon,wallet_leon,tablet_leon,headphones_leon,notebook_leon,pen_leon,water_bottle_leon,backpack_leon,jacket_leon,gaming_controller_leon,mug_shared_1,bowl_shared_1,plate_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,blanket_shared_1,towel_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,watering_can_shared_1,umbrella_shared_1
0,d00 Mon 00:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
60,d00 Mon 01:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
120,d00 Mon 02:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
180,d00 Mon 03:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
240,d00 Mon 04:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
300,d00 Mon 05:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
360,d00 Mon 06:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
420,d00 Mon 07:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
480,d00 Mon 08:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
540,d00 Mon 09:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
