t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,charger_mara,headphones_mara,notebook_mara,pen_mara,mug_mara,water_bottle_mara,glasses_mara,book_mara,jacket_mara,umbrella_mara,lunchbox_mara,yoga_mat_mara,gaming_controller_mara,remote_shared_1,blanket_shared_1,plate_shared_1,bowl_shared_1,mug_shared_1,pot_shared_1,pan_shared_1,laundry_basket_mara,towel_mara,vacuum_cleaner_shared_1,watering_can_mara,hairbrush_mara,medication_bottle_mara,suitcase_mara
0,d00 Mon 00:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
60,d00 Mon 01:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
120,d00 Mon 02:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
180,d00 Mon 03:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
240,d00 Mon 04:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
300,d00 Mon 05:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
360,d00 Mon 06:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
420,d00 Mon 07:00,desk_b1,counter_k1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
480,d00 Mon 08:00,desk_b1,counter_k1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
540,d00 Mon 09:00,desk_b1,counter_k1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
600,d00 Mon 10:00,desk_b1,counter_k1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
660,d00 Mon 11:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,desk_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
720,d00 Mon 12:00,desk_b1,desk_b1,entry_hook_e1,entry_table_e1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,desk_b1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
