t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,charger_mara,headphones_mara,notebook_mara,pen_mara,mug_mara,water_bottle_mara,glasses_mara,book_mara,jacket_mara,umbrella_mara,lunchbox_mara,yoga_mat_mara,gaming_controller_mara,remote_shared_1,blanket_shared_1,plate_shared_1,bowl_shared_1,mug_shared_1,pot_shared_1,pan_shared_1,laundry_basket_mara,towel_mara,vacuum_cleaner_shared_1,watering_can_mara,hairbrush_mara,medication_bottle_mara,suitcase_mara
0,d00 Mon 00:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
60,d00 Mon 01:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
120,d00 Mon 02:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
180,d00 Mon 03:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
240,d00 Mon 04:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
300,d00 Mon 05:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
360,d00 Mon 06:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
420,d00 Mon 07:00,bedroom,kitchen,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
480,d00 Mon 08:00,bedroom,kitchen,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
540,d00 Mon 09:00,bedroom,kitchen,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
600,d00 Mon 10:00,bedroom,kitchen,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
660,d00 Mon 11:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
720,d00 Mon 12:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
780,d00 Mon 13:00,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
840,d00 Mon 14:00,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
900,d00 Mon 15:00,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
