t,stamp,phone_marisol,keys_marisol,wallet_marisol,laptop_marisol,mug_marisol,water_bottle_marisol,jacket_marisol,book_marisol,glasses_marisol,medication_bottle_marisol,hairbrush_marisol,yoga_mat_marisol,phone_nia,backpack_nia,tablet_nia,notebook_nia,headphones_nia,water_bottle_nia,lunchbox_nia,blanket_nia,phone_tessa,keys_tessa,wallet_tessa,backpack_tessa,laptop_tessa,charger_tessa,water_bottle_tessa,jacket_tessa,towel_tessa,makeup_kit_tessa,remote_1,gaming_controller_1,laundry_basket_1,vacuum_cleaner_1,pot_1,pan_1,umbrella_1
0,d00 Mon 00:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
60,d00 Mon 01:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
120,d00 Mon 02:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
180,d00 Mon 03:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
240,d00 Mon 04:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
300,d00 Mon 05:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
360,d00 Mon 06:00,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
420,d00 Mon 07:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,entry,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
480,d00 Mon 08:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
540,d00 Mon 09:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
600,d00 Mon 10:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
660,d00 Mon 11:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
720,d00 Mon 12:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
780,d00 Mon 13:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
840,d00 Mon 14:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
900,d00 Mon 15:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,bedroom_2,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
