t,stamp,mug_marie,mug_1,bowl_marie,plate_1,laptop_marie,phone_marie,tablet_marie,keys_marie,wallet_marie,book_marie,book_1,water_bottle_marie,remote_marie,charger_marie,backpack_marie,jacket_marie,glasses_marie,notebook_marie,pen_marie,medication_bottle_marie,blanket_marie,towel_marie,gaming_controller_marie,umbrella_marie,laundry_basket_marie,vacuum_cleaner_1,pot_1,pan_1,suitcase_marie,watering_can_marie
0,d00 Mon 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
60,d00 Mon 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
120,d00 Mon 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
180,d00 Mon 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
240,d00 Mon 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
300,d00 Mon 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
360,d00 Mon 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
420,d00 Mon 07:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,living,outside,outside,kitchen,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
480,d00 Mon 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,living,outside,outside,kitchen,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
540,d00 Mon 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,living,outside,outside,kitchen,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
600,d00 Mon 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,living,outside,outside,kitchen,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
660,d00 Mon 11:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
720,d00 Mon 12:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
780,d00 Mon 13:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
840,d00 Mon 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
900,d00 Mon 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
960,d00 Mon 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1020,d00 Mon 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1080,d00 Mon 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1140,d00 Mon 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1200,d00 Mon 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1260,d00 Mon 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1320,d00 Mon 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1380,d00 Mon 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1440,d01 Tue 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
