t,stamp,laptop_elena,phone_elena,keys_elena,wallet_elena,backpack_elena,charger_elena,notebook_elena,pen_elena,water_bottle_elena,mug_elena,book_elena,glasses_elena,jacket_elena,lunchbox_elena,hairbrush_elena,makeup_kit_elena,yoga_mat_elena,phone_marcus,keys_marcus,wallet_marcus,backpack_marcus,water_bottle_marcus,jacket_marcus,mug_marcus,charger_marcus,headphones_marcus,lunchbox_marcus,umbrella_marcus,medication_bottle_marcus,remote_shared,blanket_shared,plate_shared_1,plate_shared_2,bowl_shared_1,pot_shared_1,pan_shared_1,towel_shared_1,laundry_basket_shared,vacuum_cleaner_shared,watering_can_shared,suitcase_shared
0,d00 Mon 00:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
60,d00 Mon 01:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
120,d00 Mon 02:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
180,d00 Mon 03:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
240,d00 Mon 04:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
300,d00 Mon 05:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
360,d00 Mon 06:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,entry,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
420,d00 Mon 07:00,bedroom_2,bathroom,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,kitchen,bedroom_2,entry,entry,entry,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
