t,stamp,phone_leena,keys_leena,wallet_leena,laptop_leena,charger_leena,backpack_leena,jacket_leena,headphones_leena,glasses_leena,notebook_leena,pen_leena,water_bottle_leena,lunchbox_leena,mug_leena,mug_shared_1,bowl_leena,plate_leena,pot_shared_1,pan_shared_1,book_leena,remote_shared_1,blanket_leena,yoga_mat_leena,laundry_basket_leena,towel_leena,vacuum_cleaner_shared_1,watering_can_leena,medication_bottle_leena,hairbrush_leena,makeup_kit_leena,suitcase_leena,umbrella_leena
0,d00 Mon 00:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
60,d00 Mon 01:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
120,d00 Mon 02:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
180,d00 Mon 03:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
240,d00 Mon 04:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
300,d00 Mon 05:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
360,d00 Mon 06:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
420,d00 Mon 07:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
900,d00 Mon 15:00,entry,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
960,d00 Mon 16:00,entry,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1020,d00 Mon 17:00,entry,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1080,d00 Mon 18:00,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1140,d00 Mon 19:00,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1200,d00 Mon 20:00,outside,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,outside
1260,d00 Mon 21:00,outside,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,outside
1320,d00 Mon 22:00,outside,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,outside
1380,d00 Mon 23:00,outside,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,outside
1440,d01 Tue 00:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
1500,d01 Tue 01:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
1560,d01 Tue 02:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
1620,d01 Tue 03:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
1680,d01 Tue 04:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
1740,d01 Tue 05:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
1800,d01 Tue 06:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
1860,d01 Tue 07:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
1920,d01 Tue 08:00,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
2340,d01 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
2400,d01 Tue 16:00,outside,entry,outside,kitchen,kitchen,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
2460,d01 Tue 17:00,outside,entry,outside,kitchen,kitchen,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
2520,d01 Tue 18:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
