t,stamp,phone_marie,keys_marie,wallet_marie,laptop_marie,backpack_marie,lunchbox_marie,water_bottle_marie,jacket_marie,headphones_marie,glasses_marie,charger_marie,notebook_marie,pen_marie,book_marie,mug_marie,bowl_marie,plate_marie,pot_shared_1,pan_shared_1,remote_shared_1,blanket_marie,towel_marie,laundry_basket_marie,medication_bottle_marie,hairbrush_marie,makeup_kit_marie,umbrella_marie,suitcase_marie,watering_can_marie,yoga_mat_marie
0,d00 Mon 00:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,bedroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
60,d00 Mon 01:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom,bedroom,outside,bedroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
120,d00 Mon 02:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom,bedroom,outside,bedroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
180,d00 Mon 03:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
240,d00 Mon 04:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
300,d00 Mon 05:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,bedroom,outside,bedroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
360,d00 Mon 06:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,bedroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
420,d00 Mon 07:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,bedroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
480,d00 Mon 08:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
540,d00 Mon 09:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
