t,stamp,bowl_1,bowl_2,plate_1,mug_1,mug_2,phone_marisol,charger_1,keys_marisol,wallet_marisol,water_bottle_1,book_1,headphones_1,medication_bottle_1,blanket_1,jacket_marisol,remote_1,umbrella_1
0,d00 Mon 00:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
60,d00 Mon 01:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
120,d00 Mon 02:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
180,d00 Mon 03:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
240,d00 Mon 04:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
300,d00 Mon 05:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
360,d00 Mon 06:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
420,d00 Mon 07:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
480,d00 Mon 08:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
540,d00 Mon 09:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,person:resident_1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,nightstand_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
600,d00 Mon 10:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,counter_k1,entry_table_e1,entry_table_e1,counter_k1,bed_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
660,d00 Mon 11:00,entry_table_e1,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,counter_k1,entry_table_e1,entry_table_e1,coffee_table_l1,bed_b1,counter_k1,nightstand_b1,couch_l1,entry_hook_e1,coffee_table_l1,entry_floor_e1
