t,stamp,mug_1,laptop_1,phone_1,keys_1,book_1,water_bottle_1,remote_1,charger_1,backpack_1,jacket_1,headphones_1,glasses_1,notebook_1,pen_1,blanket_1,towel_1,wallet_1
0,d00 Mon 00:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
60,d00 Mon 01:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
120,d00 Mon 02:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
180,d00 Mon 03:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
240,d00 Mon 04:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
300,d00 Mon 05:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
360,d00 Mon 06:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
420,d00 Mon 07:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
480,d00 Mon 08:00,dish_rack_k1,desk_b1,counter_k1,entry_hook_e1,bookshelf_l1,counter_k1,tv_stand_l1,desk_b1,entry_floor_e1,entry_hook_e1,desk_b1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,counter_k1
540,d00 Mon 09:00,dish_rack_k1,desk_b1,counter_k1,person:resident_1,desk_b1,person:resident_1,tv_stand_l1,desk_b1,person:resident_1,person:resident_1,person:resident_1,desk_b1,desk_b1,desk_b1,couch_l1,towel_rack_ba1,person:resident_1
