t,stamp,mug_1,mug_2,glasses_1,medication_bottle_1,laptop_1,watering_can_1,blanket_1,book_1,toy_1,phone_1,phone_2,keys_1,keys_2,towel_1,towel_2
0,d00 Mon 00:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
60,d00 Mon 01:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
120,d00 Mon 02:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
180,d00 Mon 03:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
240,d00 Mon 04:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
300,d00 Mon 05:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
360,d00 Mon 06:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
420,d00 Mon 07:00,kitchen,kitchen,living,bathroom,entry,entry,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
480,d00 Mon 08:00,kitchen,living,living,living,entry,kitchen,living,bedroom_1,living,living,living,living,living,kitchen,living
540,d00 Mon 09:00,kitchen,kitchen,living,kitchen,entry,kitchen,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
600,d00 Mon 10:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
660,d00 Mon 11:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
720,d00 Mon 12:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
780,d00 Mon 13:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
840,d00 Mon 14:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
900,d00 Mon 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen
