t,stamp,mug_1,mug_2,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,water_bottle_2,remote_1,charger_1,charger_2,glasses_1,glasses_2,notebook_1,pen_1,medication_bottle_1,medication_bottle_2,jacket_1,jacket_2,wallet_1,wallet_2
0,d00 Mon 00:00,cupboard_k1,cupboard_k1,tv_stand_l1,person:resident_1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,person:resident_1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
60,d00 Mon 01:00,cupboard_k1,cupboard_k1,tv_stand_l1,person:resident_1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,person:resident_1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
120,d00 Mon 02:00,cupboard_k1,cupboard_k1,tv_stand_l1,person:resident_1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,person:resident_1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
180,d00 Mon 03:00,cupboard_k1,cupboard_k1,tv_stand_l1,person:resident_1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,person:resident_1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
240,d00 Mon 04:00,cupboard_k1,cupboard_k1,tv_stand_l1,person:resident_1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,person:resident_1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
300,d00 Mon 05:00,cupboard_k1,cupboard_k1,tv_stand_l1,person:resident_1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,person:resident_1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
360,d00 Mon 06:00,cupboard_k1,cupboard_k1,tv_stand_l1,person:resident_1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,person:resident_1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
420,d00 Mon 07:00,cupboard_k1,cupboard_k1,tv_stand_l1,person:resident_1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,person:resident_1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
480,d00 Mon 08:00,sink_k1,kitchen_table_k1,tv_stand_l1,armchair_l1,person:resident_2,entry_hook_e1,entry_hook_e1,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,entry_hook_e1,entry_hook_e1
540,d00 Mon 09:00,kitchen_table_k1,kitchen_table_k1,tv_stand_l1,armchair_l1,person:resident_2,person:resident_1,person:resident_2,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
600,d00 Mon 10:00,sink_k1,kitchen_table_k1,tv_stand_l1,armchair_l1,person:resident_2,person:resident_1,person:resident_2,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
660,d00 Mon 11:00,sink_k1,kitchen_table_k1,tv_stand_l1,armchair_l1,entry_table_e1,person:resident_1,person:resident_2,armchair_l1,kitchen_table_k1,couch_l1,entry_table_e1,couch_l1,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
720,d00 Mon 12:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,entry_table_e1,person:resident_1,person:resident_2,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
780,d00 Mon 13:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,entry_table_e1,person:resident_1,person:resident_2,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
840,d00 Mon 14:00,sink_k1,counter_k1,desk_b2,armchair_l1,entry_table_e1,person:resident_1,person:resident_2,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
900,d00 Mon 15:00,sink_k1,counter_k1,desk_b2,armchair_l1,desk_b2,person:resident_1,person:resident_2,armchair_l1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
960,d00 Mon 16:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1020,d00 Mon 17:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1080,d00 Mon 18:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1140,d00 Mon 19:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1200,d00 Mon 20:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1260,d00 Mon 21:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1320,d00 Mon 22:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1380,d00 Mon 23:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1440,d01 Tue 00:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1500,d01 Tue 01:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
1560,d01 Tue 02:00,sink_k1,counter_k1,tv_stand_l1,armchair_l1,desk_b2,person:resident_1,person:resident_2,nightstand_b1,kitchen_table_k1,couch_l1,kitchen_table_k1,person:resident_2,tv_stand_l1,nightstand_b1,armchair_l1,counter_k1,cupboard_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,entry_hook_e1,entry_hook_e1,person:resident_1,person:resident_2
