t,stamp,mug_1,mug_2,bowl_1,plate_1,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,water_bottle_1,remote_1,charger_1,jacket_1,headphones_1,glasses_1,notebook_1,pen_1,toy_1,blanket_1,towel_1,lunchbox_1,wallet_1,wallet_2
0,d00 Mon 00:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,outside,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,outside
60,d00 Mon 01:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
120,d00 Mon 02:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
180,d00 Mon 03:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
240,d00 Mon 04:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,outside,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
300,d00 Mon 05:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,outside,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
360,d00 Mon 06:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,outside,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
420,d00 Mon 07:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
480,d00 Mon 08:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
540,d00 Mon 09:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
600,d00 Mon 10:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,living,bedroom_1,kitchen,kitchen,kitchen,kitchen
660,d00 Mon 11:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
720,d00 Mon 12:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,living,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
780,d00 Mon 13:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,outside,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,living,kitchen,kitchen,outside,kitchen
840,d00 Mon 14:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,living,kitchen,kitchen,entry,kitchen
900,d00 Mon 15:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,kitchen
960,d00 Mon 16:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,living,kitchen,kitchen,living,kitchen
1020,d00 Mon 17:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen
1080,d00 Mon 18:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,kitchen
