t,stamp,mug_1,mug_2,mug_3,mug_4,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,remote_1,charger_1,backpack_1,jacket_1,headphones_1,glasses_1,notebook_1,pen_1,toy_1,blanket_1,towel_1,lunchbox_1,wallet_1,wallet_2
0,d00 Mon 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,kitchen,entry,outside
60,d00 Mon 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,kitchen,entry,outside
120,d00 Mon 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,kitchen,entry,outside
180,d00 Mon 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,kitchen,entry,outside
240,d00 Mon 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,kitchen,entry,outside
300,d00 Mon 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,kitchen,entry,outside
360,d00 Mon 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,outside,living,kitchen,outside,outside,kitchen,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,outside,outside,outside
420,d00 Mon 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,outside,living,kitchen,outside,outside,outside,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,outside,outside,outside
480,d00 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,outside,living,kitchen,outside,outside,outside,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,outside,outside,outside
540,d00 Mon 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,outside,living,kitchen,outside,outside,outside,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,bathroom,outside,outside,outside
