t,stamp,mug_1,mug_2,laptop_leo,phone_maya,keys_leo,book_jade,water_bottle_maya,remote_shared,charger_maya,backpack_maya,jacket_leo,headphones_leo,glasses_sam,notebook_jade,pen_jade,medication_bottle_sam,gaming_controller_sam,umbrella_jade,wallet_jade
0,d00 Mon 00:00,cupboard_k1,cupboard_k1,desk_b1,person:resident_2,person:resident_1,desk_b4,cupboard_k1,tv_stand_l1,desk_b2,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,desk_b4,desk_b4,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
60,d00 Mon 01:00,cupboard_k1,cupboard_k1,desk_b1,person:resident_2,person:resident_1,desk_b4,cupboard_k1,tv_stand_l1,desk_b2,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,desk_b4,desk_b4,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
120,d00 Mon 02:00,cupboard_k1,cupboard_k1,desk_b1,person:resident_2,person:resident_1,desk_b4,cupboard_k1,tv_stand_l1,desk_b2,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,desk_b4,desk_b4,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
180,d00 Mon 03:00,cupboard_k1,cupboard_k1,desk_b1,person:resident_2,person:resident_1,desk_b4,cupboard_k1,tv_stand_l1,desk_b2,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,desk_b4,desk_b4,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
240,d00 Mon 04:00,cupboard_k1,cupboard_k1,desk_b1,nightstand_b2,person:resident_1,desk_b4,cupboard_k1,tv_stand_l1,desk_b2,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,desk_b4,desk_b4,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
300,d00 Mon 05:00,cupboard_k1,cupboard_k1,desk_b1,nightstand_b2,person:resident_1,desk_b4,cupboard_k1,tv_stand_l1,desk_b2,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,desk_b4,desk_b4,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
360,d00 Mon 06:00,cupboard_k1,cupboard_k1,desk_b1,nightstand_b2,person:resident_1,desk_b4,cupboard_k1,tv_stand_l1,desk_b2,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,desk_b4,desk_b4,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
420,d00 Mon 07:00,cupboard_k1,cupboard_k1,desk_b1,nightstand_b2,person:resident_1,desk_b4,cupboard_k1,tv_stand_l1,desk_b2,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,desk_b4,desk_b4,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
480,d00 Mon 08:00,desk_b1,cupboard_k1,desk_b1,nightstand_b2,desk_b1,couch_l1,counter_k1,tv_stand_l1,desk_b1,desk_b2,entry_hook_e1,desk_b1,bathroom_shelf_ba1,couch_l1,couch_l1,nightstand_b3,tv_stand_l1,entry_hook_e1,person:resident_4
540,d00 Mon 09:00,desk_b1,cupboard_k1,desk_b1,nightstand_b2,desk_b1,couch_l1,counter_k1,tv_stand_l1,desk_b1,desk_b2,entry_floor_e1,desk_b1,bathroom_shelf_ba1,couch_l1,couch_l1,desk_b3,tv_stand_l1,entry_hook_e1,person:resident_4
