t,stamp,mug_1,mug_2,laptop_leo,phone_maya,keys_leo,book_jade,water_bottle_maya,remote_shared,charger_maya,backpack_maya,jacket_leo,headphones_leo,glasses_sam,notebook_jade,pen_jade,medication_bottle_sam,gaming_controller_sam,umbrella_jade,wallet_jade
0,d00 Mon 00:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_2,entry,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
60,d00 Mon 01:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_2,entry,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
120,d00 Mon 02:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_2,entry,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
180,d00 Mon 03:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_2,entry,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
240,d00 Mon 04:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_2,entry,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
300,d00 Mon 05:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_2,entry,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
360,d00 Mon 06:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_2,entry,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
420,d00 Mon 07:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_2,bedroom_2,entry,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
480,d00 Mon 08:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,entry,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
540,d00 Mon 09:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,entry,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
600,d00 Mon 10:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,entry,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
660,d00 Mon 11:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,entry,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
720,d00 Mon 12:00,bedroom_1,kitchen,bedroom_1,living,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,entry,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
780,d00 Mon 13:00,bedroom_1,kitchen,bedroom_1,living,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,entry,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
840,d00 Mon 14:00,bedroom_1,kitchen,bedroom_1,living,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,entry,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,living
900,d00 Mon 15:00,bedroom_1,kitchen,bedroom_1,living,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,entry,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,living
960,d00 Mon 16:00,bedroom_1,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,living
1020,d00 Mon 17:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,kitchen
1080,d00 Mon 18:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,kitchen
1140,d00 Mon 19:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,living
1200,d00 Mon 20:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,living
1260,d00 Mon 21:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
1320,d00 Mon 22:00,kitchen,kitchen,bedroom_1,living,living,bedroom_4,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
1380,d00 Mon 23:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
1440,d01 Tue 00:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
1500,d01 Tue 01:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
1560,d01 Tue 02:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
1620,d01 Tue 03:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
1680,d01 Tue 04:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
1740,d01 Tue 05:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
1800,d01 Tue 06:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
1860,d01 Tue 07:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
1920,d01 Tue 08:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
1980,d01 Tue 09:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,entry
2040,d01 Tue 10:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,entry
2100,d01 Tue 11:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,entry
2160,d01 Tue 12:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,entry
2220,d01 Tue 13:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,entry
2280,d01 Tue 14:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
2340,d01 Tue 15:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
2400,d01 Tue 16:00,bedroom_1,kitchen,bedroom_1,living,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
2460,d01 Tue 17:00,bedroom_1,kitchen,bedroom_1,living,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
2520,d01 Tue 18:00,bedroom_1,kitchen,bedroom_1,living,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
2580,d01 Tue 19:00,bedroom_1,kitchen,bedroom_1,living,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
