t,stamp,mug_1,mug_2,mug_3,mug_4,laptop_1,laptop_2,phone_1,phone_2,phone_3,phone_4,keys_1,keys_2,book_1,book_2,book_3,book_4,water_bottle_1,water_bottle_2,water_bottle_3,water_bottle_4,remote_1,charger_1,charger_2,backpack_1,backpack_2,jacket_1,jacket_2,jacket_3,jacket_4,headphones_1,headphones_2,glasses_1,glasses_2,notebook_1,notebook_2,notebook_3,notebook_4,pen_1,pen_2,pen_3
0,d00 Mon 00:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,outside,bedroom_2,entry,entry,bedroom_1,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside
60,d00 Mon 01:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,outside,bedroom_2,entry,entry,bedroom_1,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside
120,d00 Mon 02:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,outside,bedroom_2,entry,entry,bedroom_1,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside
180,d00 Mon 03:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,outside,bedroom_2,entry,entry,bedroom_1,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside
240,d00 Mon 04:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,outside,bedroom_2,entry,entry,bedroom_1,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside
300,d00 Mon 05:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,outside,bedroom_2,entry,entry,bedroom_1,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside
360,d00 Mon 06:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,outside,bedroom_2,entry,entry,bedroom_1,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside
420,d00 Mon 07:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,outside,bedroom_2,entry,entry,bedroom_1,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,outside,living,bedroom_1,bedroom_2,outside
480,d00 Mon 08:00,kitchen,kitchen,entry,kitchen,kitchen,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,kitchen,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
540,d00 Mon 09:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
