t,stamp,mug_1,laptop_1,phone_1,keys_1,book_1,water_bottle_1,remote_1,charger_1,backpack_1,jacket_1,headphones_1,glasses_1,notebook_1,pen_1,blanket_1,towel_1,wallet_1
0,d00 Mon 00:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
60,d00 Mon 01:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
120,d00 Mon 02:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
180,d00 Mon 03:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
240,d00 Mon 04:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
300,d00 Mon 05:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
360,d00 Mon 06:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
420,d00 Mon 07:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
480,d00 Mon 08:00,kitchen,bedroom,kitchen,entry,living,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
540,d00 Mon 09:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
600,d00 Mon 10:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
660,d00 Mon 11:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
720,d00 Mon 12:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
780,d00 Mon 13:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
840,d00 Mon 14:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
900,d00 Mon 15:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
960,d00 Mon 16:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1020,d00 Mon 17:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1080,d00 Mon 18:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1140,d00 Mon 19:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1200,d00 Mon 20:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1260,d00 Mon 21:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1320,d00 Mon 22:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1380,d00 Mon 23:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1440,d01 Tue 00:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1500,d01 Tue 01:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1560,d01 Tue 02:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1620,d01 Tue 03:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1680,d01 Tue 04:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1740,d01 Tue 05:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1800,d01 Tue 06:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
