t,stamp,mug_sarah,mug_david,mug_shared_1,bowl_shared_1,bowl_shared_2,plate_shared_1,plate_shared_2,laptop_sarah,laptop_leo,phone_sarah,phone_david,phone_leo,phone_mia,tablet_david,keys_sarah,keys_david,keys_leo,wallet_sarah,wallet_david,backpack_leo,backpack_mia,headphones_leo,gaming_controller_leo,glasses_sarah,notebook_mia,pen_mia,toy_mia,blanket_mia,water_bottle_shared,jacket_david,vacuum_cleaner_shared,laundry_basket_shared,remote_shared
0,d00 Mon 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,living,entry,bedroom_1,living
60,d00 Mon 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,living,entry,bedroom_1,living
120,d00 Mon 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,living,entry,bedroom_1,living
180,d00 Mon 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,living,entry,bedroom_1,living
240,d00 Mon 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,living,entry,bedroom_1,living
300,d00 Mon 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,living,entry,bedroom_1,living
360,d00 Mon 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,entry,bedroom_1,living
420,d00 Mon 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,kitchen,bedroom_3,bedroom_2,living,entry,entry,kitchen,entry,entry,bedroom_3,entry,living,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,entry,bedroom_1,living
480,d00 Mon 08:00,outside,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,bedroom_3,outside,living,outside,kitchen,kitchen,outside,outside,bedroom_3,outside,living,living,kitchen,kitchen,outside,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
540,d00 Mon 09:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
600,d00 Mon 10:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
660,d00 Mon 11:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
720,d00 Mon 12:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
780,d00 Mon 13:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
840,d00 Mon 14:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
900,d00 Mon 15:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
