t,stamp,laptop_elias,phone_elias,keys_elias,wallet_elias,backpack_elias,jacket_elias,mug_elias,notebook_elias,pen_elias,water_bottle_elias,yoga_mat_elias,book_elias,glasses_elias,charger_elias,blanket_elias,towel_elias,hairbrush_elias,laundry_basket_elias,vacuum_cleaner_elias,pot_elias
0,d00 Mon 00:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
60,d00 Mon 01:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
120,d00 Mon 02:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
180,d00 Mon 03:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
240,d00 Mon 04:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
300,d00 Mon 05:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
360,d00 Mon 06:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
420,d00 Mon 07:00,bedroom,bedroom,entry,entry,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
480,d00 Mon 08:00,bedroom,bedroom,entry,entry,bedroom,entry,kitchen,bedroom,bedroom,kitchen,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
