t,stamp,mug_elara,tablet_elara,laptop_elara,phone_elara,keys_elara,wallet_elara,book_elara,water_bottle_elara,remote_elara,charger_elara,backpack_elara,jacket_elara,headphones_elara,glasses_elara,notebook_elara,pen_elara,medication_bottle_elara,blanket_elara,towel_elara,lunchbox_elara
0,d00 Mon 00:00,sink_k1,nightstand_b1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
60,d00 Mon 01:00,sink_k1,nightstand_b1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
120,d00 Mon 02:00,sink_k1,nightstand_b1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
180,d00 Mon 03:00,sink_k1,nightstand_b1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
240,d00 Mon 04:00,sink_k1,nightstand_b1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
300,d00 Mon 05:00,sink_k1,nightstand_b1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
360,d00 Mon 06:00,sink_k1,nightstand_b1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
420,d00 Mon 07:00,counter_k1,counter_k1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
480,d00 Mon 08:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
540,d00 Mon 09:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
