t,stamp,mug_elara,tablet_elara,laptop_elara,phone_elara,keys_elara,wallet_elara,book_elara,water_bottle_elara,remote_elara,charger_elara,backpack_elara,jacket_elara,headphones_elara,glasses_elara,notebook_elara,pen_elara,medication_bottle_elara,blanket_elara,towel_elara,lunchbox_elara
0,d00 Mon 00:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
60,d00 Mon 01:00,kitchen,bedroom,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
120,d00 Mon 02:00,kitchen,bedroom,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
180,d00 Mon 03:00,kitchen,bedroom,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
240,d00 Mon 04:00,kitchen,bedroom,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
300,d00 Mon 05:00,kitchen,bedroom,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
360,d00 Mon 06:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,entry
420,d00 Mon 07:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
480,d00 Mon 08:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
540,d00 Mon 09:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
