t,stamp,mug_elena,mug_marcus,laptop_elena,laptop_marcus,phone_elena,phone_marcus,keys_elena,keys_marcus,wallet_elena,wallet_marcus,book_elena,book_marcus,water_bottle_elena,water_bottle_marcus,remote_shared,charger_elena,charger_marcus,backpack_elena,backpack_marcus,jacket_elena,jacket_marcus,headphones_elena,glasses_elena,notebook_marcus,pen_marcus,blanket_shared,towel_shared,laundry_basket_shared,pot_shared,pan_shared,lunchbox_marcus,umbrella_shared
0,d00 Mon 00:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
60,d00 Mon 01:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
120,d00 Mon 02:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
180,d00 Mon 03:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
240,d00 Mon 04:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
300,d00 Mon 05:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
360,d00 Mon 06:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
420,d00 Mon 07:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,living,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
480,d00 Mon 08:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
540,d00 Mon 09:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
600,d00 Mon 10:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
660,d00 Mon 11:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
720,d00 Mon 12:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
780,d00 Mon 13:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
