t,stamp,mug_sarah,mug_david,mug_shared_1,bowl_shared_1,bowl_shared_2,plate_shared_1,plate_shared_2,laptop_sarah,laptop_leo,phone_sarah,phone_david,phone_leo,phone_mia,tablet_david,keys_sarah,keys_david,keys_leo,wallet_sarah,wallet_david,backpack_leo,backpack_mia,headphones_leo,gaming_controller_leo,glasses_sarah,notebook_mia,pen_mia,toy_mia,blanket_mia,water_bottle_shared,jacket_david,vacuum_cleaner_shared,laundry_basket_shared,remote_shared
0,d00 Mon 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bedroom_1,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_1,entry,bedroom_2,entry,living,living,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
60,d00 Mon 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bedroom_1,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_1,entry,bedroom_2,entry,living,living,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
120,d00 Mon 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bedroom_1,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_1,entry,bedroom_2,entry,living,living,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
180,d00 Mon 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bedroom_1,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_1,entry,bedroom_2,entry,living,living,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
240,d00 Mon 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bedroom_1,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_1,entry,bedroom_2,entry,living,living,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
300,d00 Mon 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bedroom_1,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_1,entry,bedroom_2,entry,living,living,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
360,d00 Mon 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,bedroom_1,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_1,entry,bedroom_2,entry,living,living,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
420,d00 Mon 07:00,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,bedroom_2,bedroom_2,bedroom_2,bedroom_3,bedroom_3,kitchen,bedroom_2,kitchen,entry,living
480,d00 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living
540,d00 Mon 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,kitchen,entry,living
600,d00 Mon 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,kitchen,entry,living
660,d00 Mon 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,kitchen,entry,living
720,d00 Mon 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,kitchen,entry,living
780,d00 Mon 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,kitchen,entry,living
840,d00 Mon 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,kitchen,entry,living
900,d00 Mon 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,kitchen,entry,living
960,d00 Mon 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,kitchen,entry,living
1020,d00 Mon 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living
1080,d00 Mon 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living
1140,d00 Mon 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,living,kitchen,living,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,living
1200,d00 Mon 20:00,living,kitchen,living,living,living,kitchen,kitchen,living,bedroom_3,kitchen,living,kitchen,kitchen,living,kitchen,living,bedroom_3,kitchen,living,bedroom_3,kitchen,bedroom_3,bedroom_3,living,living,kitchen,living,living,bedroom_3,living,living,living,living
1260,d00 Mon 21:00,kitchen,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,living,living,bedroom_1,living,bedroom_2,living,bedroom_2,bedroom_2,living,bedroom_3,bedroom_1,bedroom_2,bedroom_2,kitchen,bedroom_1,bedroom_1,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,living
1320,d00 Mon 22:00,kitchen,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_1,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,bedroom_1,bedroom_2,bedroom_2,kitchen,bedroom_1,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1380,d00 Mon 23:00,kitchen,living,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_1,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,bedroom_1,bedroom_2,bedroom_2,kitchen,bedroom_1,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1440,d01 Tue 00:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,entry,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1500,d01 Tue 01:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,entry,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1560,d01 Tue 02:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,entry,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1620,d01 Tue 03:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,entry,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1680,d01 Tue 04:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,entry,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1740,d01 Tue 05:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,entry,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1800,d01 Tue 06:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,living,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_3,entry,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_1,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
