t,stamp,mug_elena,mug_leo,mug_maya,bowl_1,bowl_2,plate_1,plate_2,laptop_leo,laptop_maya,phone_elena,phone_leo,phone_maya,keys_elena,keys_leo,keys_maya,wallet_elena,book_maya,notebook_elena,headphones_leo,water_bottle_maya,towel_maya,jacket_leo,backpack_leo,backpack_maya,gaming_controller_leo,blanket_elena,lunchbox_bag_maya
0,d00 Mon 00:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
60,d00 Mon 01:00,outside,kitchen,bedroom_3,outside,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,outside,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,outside
120,d00 Mon 02:00,outside,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,outside,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,outside
180,d00 Mon 03:00,outside,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,outside,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,outside
240,d00 Mon 04:00,outside,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,outside,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,outside
300,d00 Mon 05:00,outside,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,outside,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,outside
360,d00 Mon 06:00,outside,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,outside,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,outside
420,d00 Mon 07:00,outside,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,outside,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,outside
480,d00 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
540,d00 Mon 09:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,outside,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,outside,outside,outside,bedroom_2,living,bedroom_3
600,d00 Mon 10:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
660,d00 Mon 11:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
720,d00 Mon 12:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
780,d00 Mon 13:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
840,d00 Mon 14:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
900,d00 Mon 15:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,living,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
960,d00 Mon 16:00,kitchen,kitchen,bedroom_3,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,kitchen,kitchen,bedroom_3,bedroom_2,living,bedroom_3
1020,d00 Mon 17:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,entry,bedroom_3,bedroom_1,bedroom_3,entry,kitchen,bedroom_3,bathroom,kitchen,entry,entry,bedroom_2,living,entry
