t,stamp,mug_1,mug_2,laptop_alex,laptop_bella,laptop_chad,laptop_dana,phone_alex,phone_bella,phone_chad,phone_dana,keys_alex,keys_bella,keys_chad,keys_dana,wallet_alex,wallet_bella,wallet_chad,wallet_dana,book_alex,book_bella,book_chad,book_dana,water_bottle_alex,water_bottle_bella,water_bottle_chad,water_bottle_dana,remote_1,charger_alex,charger_bella,charger_chad,charger_dana,backpack_alex,backpack_bella,backpack_chad,backpack_dana,jacket_alex,jacket_bella,jacket_chad,jacket_dana,headphones_bella,headphones_chad,glasses_alex,glasses_dana,notebook_bella,notebook_dana,pen_1,pen_2,medication_bottle_alex,toy_chad,blanket_1,towel_1,towel_2,gaming_controller_chad,dog_leash_none,lunchbox_alex,lunchbox_dana,umbrella_dana,laundry_basket_1,laundry_basket_2,vacuum_cleaner_1
0,d00 Mon 00:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
60,d00 Mon 01:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
120,d00 Mon 02:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
180,d00 Mon 03:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
240,d00 Mon 04:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
300,d00 Mon 05:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
360,d00 Mon 06:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,living,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
420,d00 Mon 07:00,bedroom_4,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,entry,entry,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_4,bedroom_4,bedroom_1,bedroom_3,bedroom_4,bedroom_4,bedroom_4,bedroom_3,entry,kitchen,kitchen,entry,bedroom_4,bedroom_4,bedroom_4
480,d00 Mon 08:00,kitchen,kitchen,outside,bedroom_2,bedroom_3,bedroom_4,outside,bedroom_2,bedroom_3,bedroom_4,outside,entry,entry,entry,outside,bedroom_2,bedroom_3,bedroom_4,outside,bedroom_2,bedroom_3,bedroom_4,outside,bedroom_2,bedroom_3,bedroom_4,bedroom_4,bedroom_2,bedroom_2,bedroom_3,bedroom_4,outside,entry,bedroom_3,bedroom_4,outside,kitchen,kitchen,bedroom_4,bedroom_2,bedroom_3,outside,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_2,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,outside,kitchen,entry,entry,entry,entry
540,d00 Mon 09:00,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,entry,entry,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,bedroom_4,bedroom_2,bedroom_2,bedroom_3,outside,outside,entry,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,outside,kitchen,bedroom_4,bedroom_2,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
